region,marginal_price,total_demand
BASN,27.173523544802073,104415840.0
CASO,30.774483322026782,106247405.0
CANO,30.75862603874803,164112380.0
FRCC,29.726541304273248,254835658.0
ISNE,28.633621515735243,132079030.0
MISC,22.566191729055863,186790489.0
MISE,25.994347152187057,102056388.0
MISS,23.175228376518845,175440371.0
MISW,20.662126178657424,225553160.0
NWPP,26.87441462426252,195981047.0
NYCW,41.61793032186408,76993625.0
NYUP,20.354280161690163,70257166.0
PJMC,22.177683521741095,118765758.0
PJMD,26.34361051844114,110841999.0
PJME,23.92192057333637,289082184.0
PJMW,23.885527960399546,310165370.0
RMRG,18.649873448911602,88883482.0
SPPC,18.56629932271154,78239307.0
SPPN,18.28819444734447,49626459.0
SPPS,19.424001417293404,122178131.0
SRCA,25.798865738239662,218636717.0
SRCE,24.260456780013552,214888614.0
SRSE,28.22472030819014,242597067.0
SRSG,27.031530646377945,137828950.0
TRE,21.60094275304949,426645124.0
TREW,18.916039253822504,19988250.0
