Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,710073.442290707,935.8,0.0
BASN_biomass_2,1,179961.59999999273,20.6,0.9999999999999596
BASN_conventional_hydroelectric_1,1,8.400996942827102e6,2489.6,0.3862679066724857
BASN_conventional_steam_coal_1,1,9.022829875009125e6,1178.2,0.8766194959158384
BASN_conventional_steam_coal_2,1,1.4291155174101768e7,1822.0,0.8978552715300584
BASN_geothermal_1,1,3.7398749133193754e6,432.9,0.9889102207975556
BASN_natural_gas_fired_combined_cycle_1,1,166966.43300484255,925.2,0.020657650227497902
BASN_natural_gas_fired_combined_cycle_2,1,1.1711912811172137e7,7294.0,0.18380166715837962
BASN_natural_gas_fired_combustion_turbine_1,1,1230.66978024807,1946.8,7.236150209633427e-5
BASN_natural_gas_fired_combustion_turbine_2,1,1587.7083909646988,236.2,0.0007694461330288611
BASN_natural_gas_internal_combustion_engine_1,1,7009.5882891842875,221.4,0.0036241174880631243
BASN_natural_gas_steam_turbine_1,1,603.5520004271181,242.5,0.0002848986067497064
BASN_onshore_wind_turbine_1,1,3.9260580840203417e6,2030.1,0.22137402626304825
BASN_petroleum_liquids_1,1,174.23591918430768,25.8,0.0007730460394851372
BASN_small_hydroelectric_1,1,1.5122015999999626e6,173.1,0.9999999999999752
BASN_solar_photovoltaic_1,1,1.993423742706941e7,8006.2,0.2850103073030119
CANO_batteries_1,2,2.3703470875000022e6,2650.6,0.0
CANO_biomass_1,2,1.291180799999947e6,147.8,0.9999999999999588
CANO_biomass_2,2,624624.0,71.5,1.0
CANO_conventional_hydroelectric_1,2,1.845197967366466e7,6972.7,0.3029209861957294
CANO_hydroelectric_pumped_storage_1,2,1.9668148695129442e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,350550.2612798558,3112.8,0.012890995357224634
CANO_natural_gas_fired_combined_cycle_2,2,3.895551751935313e7,8296.9,0.5374530071758499
CANO_natural_gas_fired_combustion_turbine_1,2,2065.56633301786,2248.7,0.00010514654361438644
CANO_natural_gas_fired_combustion_turbine_2,2,2314.989439049776,2421.2,0.0001094474691662983
CANO_natural_gas_internal_combustion_engine_1,2,28895.94764261985,444.4,0.00744303851125665
CANO_onshore_wind_turbine_1,2,2.4443309104733104e6,1442.0,0.19403591103191778
CANO_petroleum_liquids_1,2,187.79588391938626,177.3,0.00012124524300157262
CANO_small_hydroelectric_1,2,1.8861024000000705e6,215.9,1.0000000000000373
CANO_solar_photovoltaic_1,2,1.5347657825150054e7,6328.2,0.2776190644261573
CASO_batteries_1,3,9.912158449013038e6,8920.2,0.0
CASO_biomass_1,3,1.0247327999999595e6,117.3,0.9999999999999605
CASO_biomass_2,3,107452.79999999593,12.3,0.9999999999999621
CASO_conventional_hydroelectric_1,3,2.4111308084074208e6,971.0,0.28424243637929214
CASO_geothermal_1,3,204561.6039603771,23.6,0.9922006152234718
CASO_hydroelectric_pumped_storage_1,3,1.900419472634446e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,5759.39881833055,2104.9,0.00031320815371638455
CASO_natural_gas_fired_combined_cycle_2,3,3.2896159999167886e7,7481.6,0.5033129384745014
CASO_natural_gas_fired_combustion_turbine_1,3,2303.403723620359,1872.1,0.000140840771676821
CASO_natural_gas_fired_combustion_turbine_2,3,2528.1287995870184,4573.4,6.327721890054653e-5
CASO_natural_gas_internal_combustion_engine_1,3,45581.470369072485,50.2,0.10393743334599442
CASO_onshore_wind_turbine_1,3,1.211749892112368e7,3944.9,0.35161254827846533
CASO_petroleum_liquids_1,3,251.12282390537342,14.1,0.002038705283309412
CASO_small_hydroelectric_1,3,588806.3999999758,67.4,0.9999999999999588
CASO_solar_photovoltaic_1,3,3.1595207017062634e7,13797.3,0.26212863892949045
FRCC_batteries_1,4,285913.9437935044,555.2,0.0
FRCC_biomass_1,4,470870.39999998244,53.9,0.9999999999999627
FRCC_biomass_2,4,996777.6000000351,114.1,1.0000000000000353
FRCC_conventional_hydroelectric_1,4,116740.54737824661,43.5,0.3071990320887716
FRCC_conventional_steam_coal_1,4,2.702880812307272e7,3135.0,0.9869081256124256
FRCC_conventional_steam_coal_2,4,2812.696155200132,442.0,0.0007284301696418554
FRCC_natural_gas_fired_combined_cycle_1,4,1.4044017467341438e8,29926.2,0.5371890624494498
FRCC_natural_gas_fired_combined_cycle_2,4,523447.1714625396,2698.7,0.022202691416888097
