model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2027,Results_p1,MW,0.0672797
GenX,2,BASN_to_CASO,2027,Results_p1,MW,7.89522
GenX,3,BASN_to_NWPP,2027,Results_p1,MW,10.7048
GenX,4,BASN_to_RMRG,2027,Results_p1,MW,10.7242
GenX,5,BASN_to_SRSG,2027,Results_p1,MW,0.158458
GenX,6,CANO_to_CASO,2027,Results_p1,MW,2.72726
GenX,7,CANO_to_NWPP,2027,Results_p1,MW,1.65868
GenX,8,CASO_to_NWPP,2027,Results_p1,MW,4.88364
GenX,9,CASO_to_SRSG,2027,Results_p1,MW,9.16137
GenX,10,FRCC_to_SRSE,2027,Results_p1,MW,0.0985168
GenX,11,ISNE_to_NYCW,2027,Results_p1,MW,1.96296
GenX,12,ISNE_to_NYUP,2027,Results_p1,MW,1959.98
GenX,13,MISC_to_MISE,2027,Results_p1,MW,472.434
GenX,14,MISC_to_MISS,2027,Results_p1,MW,0.485376
GenX,15,MISC_to_MISW,2027,Results_p1,MW,2.10966
GenX,16,MISC_to_PJMC,2027,Results_p1,MW,3.84658
GenX,17,MISC_to_PJMW,2027,Results_p1,MW,30.5065
GenX,18,MISC_to_SPPC,2027,Results_p1,MW,2986.9
GenX,19,MISC_to_SPPN,2027,Results_p1,MW,1115.55
GenX,20,MISC_to_SPPS,2027,Results_p1,MW,13.9381
GenX,21,MISC_to_SRCE,2027,Results_p1,MW,8.0128
GenX,22,MISE_to_MISW,2027,Results_p1,MW,485.265
GenX,23,MISE_to_PJMW,2027,Results_p1,MW,0.248301
GenX,24,MISS_to_SPPC,2027,Results_p1,MW,2195.58
GenX,25,MISS_to_SPPS,2027,Results_p1,MW,10798.2
GenX,26,MISS_to_SRCE,2027,Results_p1,MW,2.07814
GenX,27,MISS_to_SRSE,2027,Results_p1,MW,1715.25
GenX,28,MISW_to_NWPP,2027,Results_p1,MW,3.5939
GenX,29,MISW_to_PJMC,2027,Results_p1,MW,11.9394
GenX,30,MISW_to_SPPC,2027,Results_p1,MW,271.252
GenX,31,MISW_to_SPPN,2027,Results_p1,MW,26.4814
GenX,32,NWPP_to_RMRG,2027,Results_p1,MW,250.067
GenX,33,NYCW_to_NYUP,2027,Results_p1,MW,2462.32
GenX,34,NYCW_to_PJME,2027,Results_p1,MW,1277.94
GenX,35,NYUP_to_PJME,2027,Results_p1,MW,4121.14
GenX,36,PJMC_to_PJMW,2027,Results_p1,MW,0.166024
GenX,37,PJMD_to_PJME,2027,Results_p1,MW,1459.85
GenX,38,PJMD_to_PJMW,2027,Results_p1,MW,1.95467
GenX,39,PJMD_to_SRCA,2027,Results_p1,MW,2.00509
GenX,40,PJME_to_PJMW,2027,Results_p1,MW,2.01677
GenX,41,PJMW_to_SRCA,2027,Results_p1,MW,0.00783607
GenX,42,PJMW_to_SRCE,2027,Results_p1,MW,0.0874044
GenX,43,RMRG_to_SPPC,2027,Results_p1,MW,1356.34
GenX,44,RMRG_to_SPPN,2027,Results_p1,MW,1734.23
GenX,45,RMRG_to_SRSG,2027,Results_p1,MW,2105.78
GenX,46,SPPC_to_SPPN,2027,Results_p1,MW,533.875
GenX,47,SPPC_to_SPPS,2027,Results_p1,MW,30.5146
GenX,48,SPPN_to_SPPS,2027,Results_p1,MW,2992.16
GenX,49,SPPS_to_SRSG,2027,Results_p1,MW,2546.81
GenX,50,SPPS_to_TRE,2027,Results_p1,MW,2138.05
GenX,51,SPPS_to_TREW,2027,Results_p1,MW,3551.84
GenX,52,SRCA_to_SRCE,2027,Results_p1,MW,0.865127
GenX,53,SRCA_to_SRSE,2027,Results_p1,MW,0.481963
GenX,54,SRCE_to_SRSE,2027,Results_p1,MW,0.0407154
GenX,55,TRE_to_TREW,2027,Results_p1,MW,0.556987
GenX,56,NWPP_to_SPPN,2027,Results_p1,MW,374.817
GenX,57,SRSG_to_TRE,2027,Results_p1,MW,637.092
GenX,1,BASN_to_CANO,2030,Results_p2,MW,1.20367
GenX,2,BASN_to_CASO,2030,Results_p2,MW,0.149991
GenX,3,BASN_to_NWPP,2030,Results_p2,MW,1.16145
GenX,4,BASN_to_RMRG,2030,Results_p2,MW,0.0449087
GenX,5,BASN_to_SRSG,2030,Results_p2,MW,2.50289
GenX,6,CANO_to_CASO,2030,Results_p2,MW,0.211082
GenX,7,CANO_to_NWPP,2030,Results_p2,MW,5.83552
GenX,8,CASO_to_NWPP,2030,Results_p2,MW,4.48511
GenX,9,CASO_to_SRSG,2030,Results_p2,MW,0.0443893
GenX,10,FRCC_to_SRSE,2030,Results_p2,MW,0.293951
GenX,11,ISNE_to_NYCW,2030,Results_p2,MW,0.231558
GenX,12,ISNE_to_NYUP,2030,Results_p2,MW,2235.59
GenX,13,MISC_to_MISE,2030,Results_p2,MW,2.84158
GenX,14,MISC_to_MISS,2030,Results_p2,MW,0.102467
GenX,15,MISC_to_MISW,2030,Results_p2,MW,0.0295939
GenX,16,MISC_to_PJMC,2030,Results_p2,MW,1.48678
GenX,17,MISC_to_PJMW,2030,Results_p2,MW,1.16756
GenX,18,MISC_to_SPPC,2030,Results_p2,MW,2793.99
GenX,19,MISC_to_SPPN,2030,Results_p2,MW,2.76255
GenX,20,MISC_to_SPPS,2030,Results_p2,MW,9.34711
GenX,21,MISC_to_SRCE,2030,Results_p2,MW,0.132722
GenX,22,MISE_to_MISW,2030,Results_p2,MW,33.031
GenX,23,MISE_to_PJMW,2030,Results_p2,MW,0.153387
GenX,24,MISS_to_SPPC,2030,Results_p2,MW,1.25252
GenX,25,MISS_to_SPPS,2030,Results_p2,MW,4115.17
GenX,26,MISS_to_SRCE,2030,Results_p2,MW,0.159087
GenX,27,MISS_to_SRSE,2030,Results_p2,MW,1697.58
GenX,28,MISW_to_NWPP,2030,Results_p2,MW,0.244898
