region,marginal_price,total_demand
BASN,32.01422442995493,117622650.0
CASO,35.999829791744105,115510879.0
CANO,36.28587302479358,178550343.0
FRCC,31.908767722682192,263664150.0
ISNE,28.95733048528237,149354094.0
MISC,23.726868512017205,200796305.0
MISE,30.27461480498528,108618551.0
MISS,27.29669503654699,185407544.0
MISW,27.805812171341827,244560055.0
NWPP,33.818750596275805,213747716.0
NYCW,34.14791080724584,83015898.0
NYUP,21.616346596537934,74762455.0
PJMC,24.247256499487218,125041636.0
PJMD,28.356475962534013,116835353.0
PJME,24.361747978984525,308414943.0
PJMW,25.85912065558709,328889729.0
RMRG,21.87432131484994,100288099.0
SPPC,21.425092860617443,83557695.0
SPPN,24.089057350008108,54220969.0
SPPS,21.62354032519658,131322851.0
SRCA,26.976370206618284,228687588.0
SRCE,27.493212452821805,225061849.0
SRSE,30.125234944531663,255962582.0
SRSG,32.54902269758393,147664933.0
TRE,23.327490735824284,442846698.0
TREW,21.15789709942283,20819394.0
