Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,144668.1600000026,16.56,1.000000000000018
BASN_conventional_hydroelectric_1,1,4.703357284479611e6,1697.6,0.31714654073146975
BASN_conventional_steam_coal_1,1,4.772190648268592e6,728.2,0.7501610059547376
BASN_conventional_steam_coal_2,1,8.99674382194486e6,1363.0,0.7555737705174614
BASN_geothermal_1,1,2.108971129655042e6,287.09,0.8408914640329898
BASN_natural_gas_fired_combined_cycle_1,1,1.5960219274523226e6,735.2,0.24849675966114765
BASN_natural_gas_fired_combined_cycle_2,1,2.3821514842289023e7,6794.0,0.4013573379342104
BASN_natural_gas_fired_combustion_turbine_1,1,482034.2019487405,1824.7,0.030239440857251946
BASN_natural_gas_fired_combustion_turbine_2,1,95806.00149167796,236.2,0.04643016172758134
BASN_natural_gas_internal_combustion_engine_1,1,303837.7443912118,221.48,0.15703432175926996
BASN_onshore_wind_turbine_1,1,2.0011595132092892e6,1454.0,0.15754501863695525
BASN_petroleum_liquids_1,1,1597.5813776273799,13.6,0.013446568102471348
BASN_small_hydroelectric_1,1,1.4147078400000178e6,161.94,1.0000000000000124
BASN_solar_photovoltaic_1,1,1.0191473914701566e7,7934.0,0.14703887651625172
CANO_biomass_1,2,590903.0400000097,67.64,1.0000000000000164
CANO_biomass_2,2,554386.5600000195,63.46,1.000000000000035
CANO_conventional_hydroelectric_1,2,1.6437430860064598e7,6903.7,0.2725457429113468
CANO_hydroelectric_pumped_storage_1,2,5.822836573461736e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,9.166037529119149e6,3185.2,0.3294066016693662
CANO_natural_gas_fired_combined_cycle_2,2,4.6204142523446105e7,8296.9,0.6374592592915969
CANO_natural_gas_fired_combustion_turbine_1,2,1.402660786110541e6,1999.7,0.08029253759117788
CANO_natural_gas_fired_combustion_turbine_2,2,1.796645304405528e6,1502.8,0.13685117636985503
CANO_natural_gas_internal_combustion_engine_1,2,1.0654596143161622e6,444.4,0.27444183660712285
CANO_onshore_wind_turbine_1,2,935988.2683720473,698.0,0.1534978713993224
CANO_petroleum_liquids_1,2,22972.788716764222,169.6,0.015505124045348718
CANO_small_hydroelectric_1,2,1.8606806399999473e6,212.99,0.9999999999999717
CANO_solar_photovoltaic_1,2,8.700477842937907e6,6289.33,0.15835292773914195
CASO_batteries_1,3,141007.84432414468,95.0,0.0
CASO_biomass_1,3,672235.2000000083,76.95,1.0000000000000122
CASO_conventional_hydroelectric_1,3,2.0759642658910123e6,955.0,0.24883065151254868
CASO_geothermal_1,3,179904.44702016647,23.67,0.8700235641443786
CASO_hydroelectric_pumped_storage_1,3,4.364213367022188e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,4.978004523564784e6,1986.9,0.28679174851946826
CASO_natural_gas_fired_combined_cycle_2,3,4.255501860631088e7,7481.6,0.6510939715189006
CASO_natural_gas_fired_combustion_turbine_1,3,4.197041742173585e6,5320.5,0.0902980175462898
CASO_natural_gas_fired_combustion_turbine_2,3,9.085568654907176e6,5408.9,0.1922784164952454
CASO_natural_gas_internal_combustion_engine_1,3,161343.7359343047,50.2,0.36790506457299166
CASO_onshore_wind_turbine_1,3,8.703888443812773e6,3464.4,0.2875892583497633
