region,marginal_price,total_demand
BASN,31.092693804314127,117622650.0
CASO,35.54533053252868,115510879.0
CANO,35.89968602394521,178550343.0
FRCC,32.128775240805716,263664150.0
ISNE,35.77805026590959,149354094.0
MISC,26.16037689971444,200796305.0
MISE,35.27375440897867,108618551.0
MISS,27.831287645581344,185407544.0
MISW,28.35688446559019,244560055.0
NWPP,31.84175184466085,213747716.0
NYCW,41.389122192245125,83015898.0
NYUP,20.315009733548713,74762455.0
PJMC,25.66155898516757,125041636.0
PJMD,29.013487975164896,116835353.0
PJME,25.46595108369884,308414943.0
PJMW,26.74546980946206,328889729.0
RMRG,22.206557212119677,100288099.0
SPPC,21.803820825242383,83557695.0
SPPN,25.520976000822916,54220969.0
SPPS,21.501756909366755,131322851.0
SRCA,27.663467992214088,228687588.0
SRCE,28.53690863728271,225061849.0
SRSE,30.493608887551023,255962582.0
SRSG,31.73567097835891,147664933.0
TRE,24.288365124957483,442846698.0
TREW,21.574045098935013,20819394.0
