Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,801320.6792355608,926.44,0.0
BASN_biomass_2,1,167469.11999999094,19.17,0.9999999999999458
BASN_conventional_hydroelectric_1,1,8.283606296131648e6,2476.85,0.3828310177949113
BASN_conventional_steam_coal_1,1,9.652790545829153e6,1178.19,0.9378317357445348
BASN_conventional_steam_coal_2,1,1.5030866398716392e7,1821.99,0.944333508221382
BASN_geothermal_1,1,4.267266264654923e6,496.7,0.9834288779974673
BASN_natural_gas_fired_combined_cycle_1,1,1.8574423320907739e6,735.17,0.2892110866477554
BASN_natural_gas_fired_combined_cycle_2,1,2.8486247230707075e7,7221.08,0.45156519156114794
BASN_natural_gas_fired_combustion_turbine_1,1,325777.473210611,1824.61,0.020437999039769898
BASN_natural_gas_fired_combustion_turbine_2,1,68868.50910841044,236.1,0.03338966554554593
BASN_natural_gas_internal_combustion_engine_1,1,207551.824772139,219.22,0.10837615956622336
BASN_onshore_wind_turbine_1,1,3.81758250774909e6,2019.57,0.21637989011435024
BASN_petroleum_liquids_1,1,1340.449817481588,25.8,0.005947277848240853
BASN_small_hydroelectric_1,1,1.626905279999968e6,186.23,0.9999999999999802
BASN_solar_photovoltaic_1,1,1.97989669762e7,8006.24,0.2830748600369413
CANO_batteries_1,2,3.4637097301330636e6,2624.08,0.0
CANO_biomass_1,2,1.2356198400000175e6,141.44,1.0000000000000142
CANO_biomass_2,2,609073.9200000088,69.72,1.0000000000000144
CANO_conventional_hydroelectric_1,2,1.8063221714169364e7,6834.68,0.3025271817071615
CANO_hydroelectric_pumped_storage_1,2,4.022984734138952e6,2274.12,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.0095417261400701e7,3112.66,0.3712615416563042
CANO_natural_gas_fired_combined_cycle_2,2,5.5048503934565686e7,8296.88,0.7594830509901979
CANO_natural_gas_fired_combustion_turbine_1,2,647456.7798003023,2226.2,0.033291547199895896
CANO_natural_gas_fired_combustion_turbine_2,2,1.380257729817977e6,2314.14,0.06827440647784341
CANO_natural_gas_internal_combustion_engine_1,2,946833.8004074451,443.35,0.24446371934900124
CANO_onshore_wind_turbine_1,2,2.1326153218891616e6,1261.99,0.19343897673163354
CANO_petroleum_liquids_1,2,2333.12651510915,174.82,0.001527687580635759
CANO_small_hydroelectric_1,2,1.972326720000055e6,225.77,1.000000000000028
CANO_solar_photovoltaic_1,2,1.533455582111166e7,6328.22,0.277381189651603
CASO_batteries_1,3,1.0722730936818797e7,8438.42,0.0
CASO_biomass_2,3,180573.1199999905,20.67,0.9999999999999474
CASO_conventional_hydroelectric_1,3,2.3301256656401115e6,945.46,0.282113298305143
CASO_geothermal_1,3,201707.33741062717,23.73,0.9729966231956425
CASO_hydroelectric_pumped_storage_1,3,3.551997342669429e6,1663.48,0.0
CASO_natural_gas_fired_combined_cycle_1,3,4.926544816555848e6,2083.85,0.2706221613389247
CASO_natural_gas_fired_combined_cycle_2,3,4.880230490740436e7,7481.57,0.7466807670333726
CASO_natural_gas_fired_combustion_turbine_1,3,1.0717447532308782e6,1711.98,0.07166053628126612
CASO_natural_gas_fired_combustion_turbine_2,3,4.806450790432493e6,4222.73,0.1302922431948724
CASO_natural_gas_internal_combustion_engine_1,3,168676.98942606704,50.2,0.3846267617854293
CASO_onshore_wind_turbine_1,3,1.1239870449199269e7,3670.88,0.3504923089550696
CASO_petroleum_liquids_1,3,1033.4785136904447,14.1,0.008390149781213831
CASO_small_hydroelectric_1,3,575527.6800000175,65.88,1.0000000000000304
CASO_solar_photovoltaic_1,3,3.1564985268046062e7,13795.8,0.2619063787971461
FRCC_batteries_1,4,286095.70763301605,512.65,0.0
FRCC_biomass_1,4,740987.5200000386,84.82,1.000000000000052
FRCC_biomass_2,4,886616.6399999786,101.49,0.9999999999999758
FRCC_conventional_hydroelectric_1,4,116602.78678403885,43.5,0.30683651947296653
FRCC_conventional_steam_coal_1,4,2.4817716113242563e7,2841.96,0.9996114590611821
FRCC_conventional_steam_coal_2,4,1.1173695906101333e6,437.58,0.29229861563412846
FRCC_natural_gas_fired_combined_cycle_1,4,1.765767255593428e8,28738.2,0.7033334469941851
FRCC_natural_gas_fired_combined_cycle_2,4,8.010514865556989e6,2671.71,0.34320885892228836
FRCC_natural_gas_fired_combustion_turbine_1,4,6.951964051433418e6,7785.73,0.10221050958560725
FRCC_natural_gas_fired_combustion_turbine_2,4,51890.20736034695,927.07,0.00640708157268904
FRCC_natural_gas_internal_combustion_engine_1,4,451941.6619741552,250.45000000000002,0.20656118527591508
FRCC_nuclear_1,4,3.264497295467641e7,3736.95,0.9999686869609173
FRCC_petroleum_liquids_1,4,5746.777112045577,345.13,0.001906026860520724
FRCC_solar_photovoltaic_1,4,1.8572255298893943e7,9458.54,0.22476460158652822
ISNE_batteries_1,5,209709.7063223605,244.45,0.0
ISNE_biomass_2,5,1.2892588799999864e6,147.58,0.9999999999999893
ISNE_conventional_hydroelectric_1,5,2.0441334857923426e6,563.35,0.415353934395014
ISNE_hydroelectric_pumped_storage_1,5,3.199354595628154e6,1800.87,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.219479383568201e6,3262.38,0.042788522575617424
ISNE_natural_gas_fired_combined_cycle_2,5,9.84840412167124e6,10513.3,0.10722947472612705
ISNE_natural_gas_fired_combustion_turbine_1,5,205253.46320409083,1338.4,0.017554640512009962
ISNE_natural_gas_fired_combustion_turbine_2,5,33821.778847521855,437.77,0.008843777826239546
ISNE_natural_gas_internal_combustion_engine_1,5,36200.44046984586,63.62,0.0651339722391698
ISNE_natural_gas_steam_turbine_1,5,21738.70365967012,41.9,0.059389134199226416
ISNE_nuclear_1,5,2.5552631362709202e7,3321.95,0.8805011202097609
ISNE_offshore_wind_turbine_1,5,88918.10119124237,29.3,0.3473840980917781
ISNE_onshore_wind_turbine_1,5,2.828620867849625e6,1542.1,0.20996629191082328
ISNE_petroleum_liquids_1,5,23612.990002520288,982.21,0.0027519086064112016
ISNE_small_hydroelectric_1,5,2.1959683199999654e6,251.36999999999998,0.9999999999999843
ISNE_solar_photovoltaic_1,5,4.781499272824073e6,2681.89,0.20408472838888728
MISC_batteries_1,6,30784.898941284686,36.3,0.0
MISC_biomass_1,6,302702.40000000095,34.65,1.000000000000003
MISC_biomass_2,6,300867.8400000093,34.44,1.0000000000000309
MISC_conventional_hydroelectric_1,6,904534.6962997308,276.81,0.3740510081215251
MISC_conventional_steam_coal_1,6,9.252898406690756e6,1323.63,0.8002000360067814
MISC_conventional_steam_coal_2,6,7.905623742711328e7,10445.6,0.8663435061138278
MISC_hydroelectric_pumped_storage_1,6,1.0139186103225399e6,466.31,0.0
MISC_natural_gas_fired_combined_cycle_1,6,3.7015426304437676e6,1583.54,0.26757226321405947
MISC_natural_gas_fired_combined_cycle_2,6,1.3377880004393455e7,3192.47,0.47967584130896973
MISC_natural_gas_fired_combustion_turbine_1,6,792943.3809176785,571.83,0.15873131595360318
MISC_natural_gas_fired_combustion_turbine_2,6,6.710373768557851e6,8899.75,0.08630903850652794
MISC_natural_gas_internal_combustion_engine_1,6,112573.15971559945,76.7,0.16800680263776777
MISC_natural_gas_steam_turbine_1,6,348804.1459170475,191.28,0.2087370059868075
