region,marginal_price,total_demand
BASN,74.91392087384042,154373402.0
CASO,71.15260297594975,141559023.0
CANO,82.21521706206448,219102255.0
FRCC,55.61074126899284,305390926.0
ISNE,37.759140408233925,185912448.0
MISC,65.86078260700306,243790194.0
MISE,59.05824952540987,126030936.0
MISS,51.95015947323186,223677305.0
MISW,73.04016344541884,294141188.0
NWPP,101.53069764580036,260888430.0
NYCW,62.82934239002759,97972883.0
NYUP,30.82568138621978,85901025.0
PJMC,66.10721197142267,142659266.0
PJMD,55.37339848897878,134294097.0
PJME,55.2839785515695,361596414.0
PJMW,58.940075436377874,381430632.0
RMRG,46.61125016970801,129535560.0
SPPC,52.82274133408516,101870818.0
SPPN,50.413020665567025,67540119.0
SPPS,45.66080429150047,162787259.0
SRCA,40.1164125104062,263347390.0
SRCE,64.1465085941296,264512199.0
SRSE,45.073523965008,303257618.0
SRSG,75.32764201676235,183293864.0
TRE,75.60517536577629,515960435.0
TREW,68.74019538475171,24676479.0
