model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2027,current_policies_20_week_foresight,MW,118.486,103.221
TEMOA,2,BASN_to_CASO,2027,current_policies_20_week_foresight,MW,5939.03,5922.91
TEMOA,3,BASN_to_NWPP,2027,current_policies_20_week_foresight,MW,3359.33,3351.61
TEMOA,4,BASN_to_RMRG,2027,current_policies_20_week_foresight,MW,4154.08,3765.4
TEMOA,5,BASN_to_SRSG,2027,current_policies_20_week_foresight,MW,5400.2,5387.86
TEMOA,6,CANO_to_CASO,2027,current_policies_20_week_foresight,MW,3702.36,3679.65
TEMOA,7,CANO_to_NWPP,2027,current_policies_20_week_foresight,MW,3699.65,3678.79
TEMOA,8,CASO_to_NWPP,2027,current_policies_20_week_foresight,MW,2875.86,2860.84
TEMOA,9,CASO_to_SRSG,2027,current_policies_20_week_foresight,MW,6595.21,4366.57
TEMOA,10,FRCC_to_SRSE,2027,current_policies_20_week_foresight,MW,3767.68,3607.74
TEMOA,11,ISNE_to_NYCW,2027,current_policies_20_week_foresight,MW,814.876,767.473
TEMOA,12,ISNE_to_NYUP,2027,current_policies_20_week_foresight,MW,6575.66,2453.16
TEMOA,13,MISC_to_MISE,2027,current_policies_20_week_foresight,MW,2689.34,13.4433
TEMOA,14,MISC_to_MISS,2027,current_policies_20_week_foresight,MW,1073.66,1045.2
TEMOA,15,MISC_to_MISW,2027,current_policies_20_week_foresight,MW,1685.25,1660.45
TEMOA,16,MISC_to_PJMC,2027,current_policies_20_week_foresight,MW,5325.35,5256.66
TEMOA,17,MISC_to_PJMW,2027,current_policies_20_week_foresight,MW,7711.3,5453.73
TEMOA,18,MISC_to_SPPC,2027,current_policies_20_week_foresight,MW,9932.45,1469.98
TEMOA,19,MISC_to_SPPN,2027,current_policies_20_week_foresight,MW,5155.26,24.8696
TEMOA,20,MISC_to_SPPS,2027,current_policies_20_week_foresight,MW,5150.48,1195.47
TEMOA,21,MISC_to_SRCE,2027,current_policies_20_week_foresight,MW,3784.43,3751.22
TEMOA,22,MISE_to_MISW,2027,current_policies_20_week_foresight,MW,133.843,10.7343
TEMOA,23,MISE_to_PJMW,2027,current_policies_20_week_foresight,MW,2697.27,2669.3
TEMOA,24,MISS_to_SPPC,2027,current_policies_20_week_foresight,MW,1886.36,36.8507
TEMOA,25,MISS_to_SPPS,2027,current_policies_20_week_foresight,MW,24096.6,1759.85
TEMOA,26,MISS_to_SRCE,2027,current_policies_20_week_foresight,MW,4150.73,4100.61
TEMOA,27,MISS_to_SRSE,2027,current_policies_20_week_foresight,MW,9461.3,907.089
TEMOA,28,MISW_to_NWPP,2027,current_policies_20_week_foresight,MW,225.84,203.341
TEMOA,29,MISW_to_PJMC,2027,current_policies_20_week_foresight,MW,5072.04,3227.04
TEMOA,30,MISW_to_SPPC,2027,current_policies_20_week_foresight,MW,111.502,12.016
TEMOA,31,MISW_to_SPPN,2027,current_policies_20_week_foresight,MW,5638.27,5525.68
