Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,712683.8149806891,936.0,0.0
BASN_biomass_2,1,183456.0,21.0,1.0
BASN_conventional_hydroelectric_1,1,8.315363153108861e6,2490.0,0.38226914770385856
BASN_conventional_steam_coal_1,1,9.02165689427196e6,1178.0,0.8766543466171594
BASN_conventional_steam_coal_2,1,1.4242129882633781e7,1822.0,0.8947752114616745
BASN_geothermal_1,1,3.726207573703093e6,433.0,0.9850687060902441
BASN_natural_gas_fired_combined_cycle_1,1,252208.45283008824,925.0,0.031210827248550666
BASN_natural_gas_fired_combined_cycle_2,1,1.595753211810706e7,7294.0,0.25043057050797213
BASN_natural_gas_fired_combustion_turbine_1,1,3332.4897829142137,1947.0,0.0001959251778655792
BASN_natural_gas_fired_combustion_turbine_2,1,3334.0948796222287,236.0,0.0016171612495839488
BASN_natural_gas_internal_combustion_engine_1,1,15370.820475972183,221.0,0.007961449619182383
BASN_natural_gas_steam_turbine_1,1,1313.32466051177,242.0,0.0006212181097840464
BASN_onshore_wind_turbine_1,1,3.799408600809433e6,2029.9999999999998,0.21424334393492267
BASN_petroleum_liquids_1,1,277.5682772290217,26.0,0.0012220355964225032
BASN_small_hydroelectric_1,1,1.511328e6,173.0,1.0
BASN_solar_photovoltaic_1,1,1.9804324748502415e7,8006.0,0.2831599507286661
CANO_batteries_1,2,3.159002715510131e6,2651.0,0.0
CANO_biomass_1,2,1.292928e6,148.0,1.0
CANO_biomass_2,2,628992.0,72.0,1.0
CANO_conventional_hydroelectric_1,2,1.8372317369369928e7,6973.0,0.30160021610976206
CANO_hydroelectric_pumped_storage_1,2,3.1663288406313774e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,402620.0993472933,3113.0,0.014804839571033106
CANO_natural_gas_fired_combined_cycle_2,2,3.862153552665636e7,8297.0,0.5328387749524239
CANO_natural_gas_fired_combustion_turbine_1,2,5000.187649302693,2249.0,0.00025449791122584257
CANO_natural_gas_fired_combustion_turbine_2,2,5260.493364606138,2421.0,0.0002487247839704506
CANO_natural_gas_internal_combustion_engine_1,2,55407.085571231466,444.0,0.014284653533486647
CANO_onshore_wind_turbine_1,2,2.403704528435594e6,1442.0,0.19081090699631745
CANO_petroleum_liquids_1,2,459.4314550021419,177.0,0.00029712201669702476
CANO_small_hydroelectric_1,2,1.886976e6,216.0,1.0
CANO_solar_photovoltaic_1,2,1.5291474348102542e7,6328.0,0.27661152096745695
CASO_batteries_1,3,1.092627059753403e7,8920.0,0.0
CASO_biomass_1,3,1.022112e6,117.0,1.0
CASO_biomass_2,3,104832.0,12.0,1.0
CASO_conventional_hydroelectric_1,3,2.370546897422062e6,971.0,0.2794580963111155
CASO_geothermal_1,3,204157.0284733478,24.0,0.9737343009450731
CASO_hydroelectric_pumped_storage_1,3,2.9285861646416737e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,35866.339979643606,2105.0,0.0019503939240494248
CASO_natural_gas_fired_combined_cycle_2,3,3.6121655796959616e7,7482.0,0.5526336436531867
CASO_natural_gas_fired_combustion_turbine_1,3,5394.051617566657,1872.0,0.0003298349164259064
CASO_natural_gas_fired_combustion_turbine_2,3,6132.95349642422,4573.0,0.0001535167772963115
CASO_natural_gas_internal_combustion_engine_1,3,54040.899260809216,50.0,0.12372000746522256
CASO_onshore_wind_turbine_1,3,1.2000327043935696e7,3945.0,0.34820375411262966
CASO_petroleum_liquids_1,3,330.3794770962641,14.0,0.002701297399073326
CASO_small_hydroelectric_1,3,585312.0,67.0,1.0
CASO_solar_photovoltaic_1,3,3.1500678200138144e7,13797.0,0.2613500662150414
FRCC_batteries_1,4,286359.7108647152,555.0,0.0
FRCC_biomass_1,4,471744.0,54.0,1.0
FRCC_biomass_2,4,995904.0,114.0,1.0
FRCC_conventional_hydroelectric_1,4,117756.87309670466,44.0,0.30635217151781724
FRCC_conventional_steam_coal_1,4,2.6273405733081438e7,3135.0,0.959325971290458
FRCC_conventional_steam_coal_2,4,18060.930491382584,442.0,0.0046774077027141505
FRCC_natural_gas_fired_combined_cycle_1,4,1.3711391248335406e8,29926.0,0.5244694868961037
FRCC_natural_gas_fired_combined_cycle_2,4,469360.2518147565,2699.0,0.01990631161617468
FRCC_natural_gas_fired_combustion_turbine_1,4,34216.63277048005,7864.0,0.0004980593971496678
FRCC_natural_gas_fired_combustion_turbine_2,4,2820.198631257715,939.0,0.0003437965227867055
FRCC_natural_gas_internal_combustion_engine_1,4,55859.242937938674,251.0,0.02547467772588158
FRCC_natural_gas_steam_turbine_1,4,2132.2654982697604,232.0,0.001052060389366711
FRCC_nuclear_1,4,3.2492593865897525e7,3737.0,0.9952877504622105
FRCC_petroleum_liquids_1,4,398.39427272005645,452.0,0.00010089323010876985
FRCC_solar_photovoltaic_1,4,1.855490267312593e7,9458.0,0.22456741798720906
ISNE_batteries_1,5,250968.537943282,366.0,0.0
ISNE_biomass_1,5,358176.0,41.0,1.0
ISNE_biomass_2,5,978432.0,112.0,1.0
ISNE_conventional_hydroelectric_1,5,2.1644691813252573e6,593.0,0.41781505794967105
ISNE_conventional_steam_coal_2,5,2.6356779631467173e6,330.0,0.9142517077182253
ISNE_hydroelectric_pumped_storage_1,5,2.9300969801171897e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,495234.11395180796,3371.0,0.016816637991785136
ISNE_natural_gas_fired_combined_cycle_2,5,1.6175394756363854e7,10513.0,0.17612280701004424
ISNE_natural_gas_fired_combustion_turbine_1,5,32408.639456368488,1338.0,0.0027726309099785785
ISNE_natural_gas_fired_combustion_turbine_2,5,10037.86509069099,438.0,0.002623340225166787
ISNE_natural_gas_internal_combustion_engine_1,5,27531.550019104772,60.0,0.05252508779591112
ISNE_natural_gas_steam_turbine_1,5,13878.0404009076,21.0,0.07564778694023418
ISNE_nuclear_1,5,2.531705409693167e7,3356.0,0.8635323105401017
ISNE_offshore_wind_turbine_1,5,87713.37659530832,29.0,0.3462224350894765
ISNE_onshore_wind_turbine_1,5,2.8024087880061953e6,1542.0,0.20803408024684558
ISNE_petroleum_liquids_1,5,5530.942184916406,1042.0,0.0006076014120444542
ISNE_small_hydroelectric_1,5,2.218944e6,254.0,1.0
