model,zone,planning_year,case,unit,value
USENSYS,BASN,2027,20-week-foresight-current-policy,tons,25593986
USENSYS,BASN,2030,20-week-foresight-current-policy,tons,26315350
USENSYS,BASN,2035,20-week-foresight-current-policy,tons,29511402
USENSYS,BASN,2040,20-week-foresight-current-policy,tons,26414703
USENSYS,BASN,2045,20-week-foresight-current-policy,tons,29964906
USENSYS,BASN,2050,20-week-foresight-current-policy,tons,26855680
USENSYS,CANO,2027,20-week-foresight-current-policy,tons,14232247
USENSYS,CANO,2030,20-week-foresight-current-policy,tons,16954327
USENSYS,CANO,2035,20-week-foresight-current-policy,tons,20372616
USENSYS,CANO,2040,20-week-foresight-current-policy,tons,20085813
USENSYS,CANO,2045,20-week-foresight-current-policy,tons,26045718
USENSYS,CANO,2050,20-week-foresight-current-policy,tons,27240155
USENSYS,CASO,2027,20-week-foresight-current-policy,tons,11053390
USENSYS,CASO,2030,20-week-foresight-current-policy,tons,12529883
USENSYS,CASO,2035,20-week-foresight-current-policy,tons,17557605
USENSYS,CASO,2040,20-week-foresight-current-policy,tons,28178047
USENSYS,CASO,2045,20-week-foresight-current-policy,tons,49148927
USENSYS,CASO,2050,20-week-foresight-current-policy,tons,51706663
USENSYS,FRCC,2027,20-week-foresight-current-policy,tons,66730453
USENSYS,FRCC,2030,20-week-foresight-current-policy,tons,61154394
USENSYS,FRCC,2035,20-week-foresight-current-policy,tons,59832549
USENSYS,FRCC,2040,20-week-foresight-current-policy,tons,60865972
USENSYS,FRCC,2045,20-week-foresight-current-policy,tons,69021152
USENSYS,FRCC,2050,20-week-foresight-current-policy,tons,60341402
USENSYS,ISNE,2027,20-week-foresight-current-policy,tons,17317513
USENSYS,ISNE,2030,20-week-foresight-current-policy,tons,19278953
USENSYS,ISNE,2035,20-week-foresight-current-policy,tons,23192874
USENSYS,ISNE,2040,20-week-foresight-current-policy,tons,26210115
USENSYS,ISNE,2045,20-week-foresight-current-policy,tons,27780321
USENSYS,ISNE,2050,20-week-foresight-current-policy,tons,24189566
USENSYS,MISC,2027,20-week-foresight-current-policy,tons,61280302
USENSYS,MISC,2030,20-week-foresight-current-policy,tons,65888811
USENSYS,MISC,2035,20-week-foresight-current-policy,tons,72189819
USENSYS,MISC,2040,20-week-foresight-current-policy,tons,59961153
USENSYS,MISC,2045,20-week-foresight-current-policy,tons,67779957
USENSYS,MISC,2050,20-week-foresight-current-policy,tons,70990427
USENSYS,MISE,2027,20-week-foresight-current-policy,tons,40769268
USENSYS,MISE,2030,20-week-foresight-current-policy,tons,34277056
USENSYS,MISE,2035,20-week-foresight-current-policy,tons,38943331
USENSYS,MISE,2040,20-week-foresight-current-policy,tons,25118971
USENSYS,MISE,2045,20-week-foresight-current-policy,tons,30762815
USENSYS,MISE,2050,20-week-foresight-current-policy,tons,33871083
USENSYS,MISS,2027,20-week-foresight-current-policy,tons,46328780
USENSYS,MISS,2030,20-week-foresight-current-policy,tons,48426529
USENSYS,MISS,2035,20-week-foresight-current-policy,tons,59347450
USENSYS,MISS,2040,20-week-foresight-current-policy,tons,62239163
USENSYS,MISS,2045,20-week-foresight-current-policy,tons,68926847
USENSYS,MISS,2050,20-week-foresight-current-policy,tons,41245544
USENSYS,MISW,2027,20-week-foresight-current-policy,tons,53770138
USENSYS,MISW,2030,20-week-foresight-current-policy,tons,55136284
USENSYS,MISW,2035,20-week-foresight-current-policy,tons,66074845
USENSYS,MISW,2040,20-week-foresight-current-policy,tons,74803059
USENSYS,MISW,2045,20-week-foresight-current-policy,tons,82775921
USENSYS,MISW,2050,20-week-foresight-current-policy,tons,84651164
USENSYS,NWPP,2027,20-week-foresight-current-policy,tons,15492214
USENSYS,NWPP,2030,20-week-foresight-current-policy,tons,14811812
USENSYS,NWPP,2035,20-week-foresight-current-policy,tons,20334359
USENSYS,NWPP,2040,20-week-foresight-current-policy,tons,30111059
USENSYS,NWPP,2045,20-week-foresight-current-policy,tons,49224793
USENSYS,NWPP,2050,20-week-foresight-current-policy,tons,54642931
USENSYS,NYCW,2027,20-week-foresight-current-policy,tons,11902799
USENSYS,NYCW,2030,20-week-foresight-current-policy,tons,13555757
USENSYS,NYCW,2035,20-week-foresight-current-policy,tons,19496184
USENSYS,NYCW,2040,20-week-foresight-current-policy,tons,23576093
USENSYS,NYCW,2045,20-week-foresight-current-policy,tons,26414821
USENSYS,NYCW,2050,20-week-foresight-current-policy,tons,27069611
USENSYS,NYUP,2027,20-week-foresight-current-policy,tons,4519387
USENSYS,NYUP,2030,20-week-foresight-current-policy,tons,2919458
USENSYS,NYUP,2035,20-week-foresight-current-policy,tons,4429136
USENSYS,NYUP,2040,20-week-foresight-current-policy,tons,3456218
USENSYS,NYUP,2045,20-week-foresight-current-policy,tons,2668357
USENSYS,NYUP,2050,20-week-foresight-current-policy,tons,2624724
USENSYS,PJMC,2027,20-week-foresight-current-policy,tons,4354968
USENSYS,PJMC,2030,20-week-foresight-current-policy,tons,7481178
USENSYS,PJMC,2035,20-week-foresight-current-policy,tons,15205740
USENSYS,PJMC,2040,20-week-foresight-current-policy,tons,7462752
USENSYS,PJMC,2045,20-week-foresight-current-policy,tons,6626949
USENSYS,PJMC,2050,20-week-foresight-current-policy,tons,4565057
USENSYS,PJMD,2027,20-week-foresight-current-policy,tons,3291871
USENSYS,PJMD,2030,20-week-foresight-current-policy,tons,3727625
USENSYS,PJMD,2035,20-week-foresight-current-policy,tons,6391278
USENSYS,PJMD,2040,20-week-foresight-current-policy,tons,5435367
USENSYS,PJMD,2045,20-week-foresight-current-policy,tons,3049568
USENSYS,PJMD,2050,20-week-foresight-current-policy,tons,2483644
USENSYS,PJME,2027,20-week-foresight-current-policy,tons,68676234
USENSYS,PJME,2030,20-week-foresight-current-policy,tons,76898190
USENSYS,PJME,2035,20-week-foresight-current-policy,tons,62870510
USENSYS,PJME,2040,20-week-foresight-current-policy,tons,57702189
USENSYS,PJME,2045,20-week-foresight-current-policy,tons,56466915
USENSYS,PJME,2050,20-week-foresight-current-policy,tons,60012436
USENSYS,PJMW,2027,20-week-foresight-current-policy,tons,166723851
USENSYS,PJMW,2030,20-week-foresight-current-policy,tons,155302425
USENSYS,PJMW,2035,20-week-foresight-current-policy,tons,154964946
USENSYS,PJMW,2040,20-week-foresight-current-policy,tons,101169724
USENSYS,PJMW,2045,20-week-foresight-current-policy,tons,118854584
USENSYS,PJMW,2050,20-week-foresight-current-policy,tons,116685993
USENSYS,RMRG,2027,20-week-foresight-current-policy,tons,31746594
USENSYS,RMRG,2030,20-week-foresight-current-policy,tons,28365073
USENSYS,RMRG,2035,20-week-foresight-current-policy,tons,35207916
USENSYS,RMRG,2040,20-week-foresight-current-policy,tons,20997305
USENSYS,RMRG,2045,20-week-foresight-current-policy,tons,31099868
USENSYS,RMRG,2050,20-week-foresight-current-policy,tons,14790784
USENSYS,SPPC,2027,20-week-foresight-current-policy,tons,42473444
USENSYS,SPPC,2030,20-week-foresight-current-policy,tons,39906172
USENSYS,SPPC,2035,20-week-foresight-current-policy,tons,38040090
USENSYS,SPPC,2040,20-week-foresight-current-policy,tons,29769772
USENSYS,SPPC,2045,20-week-foresight-current-policy,tons,24710941
USENSYS,SPPC,2050,20-week-foresight-current-policy,tons,14706821
USENSYS,SPPN,2027,20-week-foresight-current-policy,tons,27366170
USENSYS,SPPN,2030,20-week-foresight-current-policy,tons,25852633
USENSYS,SPPN,2035,20-week-foresight-current-policy,tons,24582850
USENSYS,SPPN,2040,20-week-foresight-current-policy,tons,21429992
USENSYS,SPPN,2045,20-week-foresight-current-policy,tons,19398928
USENSYS,SPPN,2050,20-week-foresight-current-policy,tons,13112282
USENSYS,SPPS,2027,20-week-foresight-current-policy,tons,27016079
USENSYS,SPPS,2030,20-week-foresight-current-policy,tons,28067564
USENSYS,SPPS,2035,20-week-foresight-current-policy,tons,34724363
USENSYS,SPPS,2040,20-week-foresight-current-policy,tons,26308504
USENSYS,SPPS,2045,20-week-foresight-current-policy,tons,27200970
USENSYS,SPPS,2050,20-week-foresight-current-policy,tons,19054239
USENSYS,SRCA,2027,20-week-foresight-current-policy,tons,56152614
USENSYS,SRCA,2030,20-week-foresight-current-policy,tons,60003291
