model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2027,20-week-foresight-current-policy,MWh,374413
USENSYS,BASN,BASN_batteries_1,Battery,2030,20-week-foresight-current-policy,MWh,443922
USENSYS,BASN,BASN_batteries_1,Battery,2035,20-week-foresight-current-policy,MWh,656373
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,20-week-foresight-current-policy,MWh,638167
USENSYS,BASN,BASN_battery_moderate_0,Battery,2045,20-week-foresight-current-policy,MWh,620185
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,20-week-foresight-current-policy,MWh,1196233
USENSYS,BASN,BASN_biomass_1,Other,2027,20-week-foresight-current-policy,MWh,59547
USENSYS,BASN,BASN_biomass_1,Other,2030,20-week-foresight-current-policy,MWh,57373
USENSYS,BASN,BASN_biomass_1,Other,2035,20-week-foresight-current-policy,MWh,56604
USENSYS,BASN,BASN_biomass_1,Other,2040,20-week-foresight-current-policy,MWh,49993
USENSYS,BASN,BASN_biomass_1,Other,2045,20-week-foresight-current-policy,MWh,44048
USENSYS,BASN,BASN_biomass_1,Other,2050,20-week-foresight-current-policy,MWh,25123
USENSYS,BASN,BASN_biomass_2,Other,2027,20-week-foresight-current-policy,MWh,176949
USENSYS,BASN,BASN_biomass_2,Other,2030,20-week-foresight-current-policy,MWh,175147
USENSYS,BASN,BASN_biomass_2,Other,2035,20-week-foresight-current-policy,MWh,135083
USENSYS,BASN,BASN_biomass_2,Other,2040,20-week-foresight-current-policy,MWh,132216
USENSYS,BASN,BASN_biomass_2,Other,2045,20-week-foresight-current-policy,MWh,145948
USENSYS,BASN,BASN_biomass_2,Other,2050,20-week-foresight-current-policy,MWh,102539
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,20-week-foresight-current-policy,MWh,8657807
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,20-week-foresight-current-policy,MWh,8634068
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2035,20-week-foresight-current-policy,MWh,8890823
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,20-week-foresight-current-policy,MWh,6067337
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2045,20-week-foresight-current-policy,MWh,5689817
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,20-week-foresight-current-policy,MWh,5137193
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2027,20-week-foresight-current-policy,MWh,8996571
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2030,20-week-foresight-current-policy,MWh,8863921
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2035,20-week-foresight-current-policy,MWh,8998884
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,20-week-foresight-current-policy,MWh,5530970
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2045,20-week-foresight-current-policy,MWh,6210474
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,20-week-foresight-current-policy,MWh,6203288
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2027,20-week-foresight-current-policy,MWh,14569152
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2030,20-week-foresight-current-policy,MWh,14304698
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2035,20-week-foresight-current-policy,MWh,14263998
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,20-week-foresight-current-policy,MWh,10498399
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2045,20-week-foresight-current-policy,MWh,4032613
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2027,20-week-foresight-current-policy,MWh,2801618
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,20-week-foresight-current-policy,MWh,3854614
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2035,20-week-foresight-current-policy,MWh,4668654
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,20-week-foresight-current-policy,MWh,4533289
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2045,20-week-foresight-current-policy,MWh,4447682
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,20-week-foresight-current-policy,MWh,4529241
USENSYS,BASN,BASN_geothermal_1,Geothermal,2027,20-week-foresight-current-policy,MWh,4036032
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,20-week-foresight-current-policy,MWh,3782688
USENSYS,BASN,BASN_geothermal_1,Geothermal,2035,20-week-foresight-current-policy,MWh,3616704
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,20-week-foresight-current-policy,MWh,2507232
USENSYS,BASN,BASN_geothermal_1,Geothermal,2045,20-week-foresight-current-policy,MWh,1327872
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,20-week-foresight-current-policy,MWh,489216
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight-current-policy,MWh,29955768
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight-current-policy,MWh,29955768
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,20-week-foresight-current-policy,MWh,29267935
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,20-week-foresight-current-policy,MWh,29267935
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,20-week-foresight-current-policy,MWh,28884813
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,20-week-foresight-current-policy,MWh,28884813
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-foresight-current-policy,MWh,24013090
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2030,20-week-foresight-current-policy,MWh,30615847
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2035,20-week-foresight-current-policy,MWh,29647808
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2040,20-week-foresight-current-policy,MWh,29647808
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2045,20-week-foresight-current-policy,MWh,29328914
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2050,20-week-foresight-current-policy,MWh,29328914
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight-current-policy,MWh,20256761
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight-current-policy,MWh,21478401
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight-current-policy,MWh,21284393
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight-current-policy,MWh,21284393
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,20-week-foresight-current-policy,MWh,157648
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,20-week-foresight-current-policy,MWh,331048
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2035,20-week-foresight-current-policy,MWh,988426
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,20-week-foresight-current-policy,MWh,518141
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2045,20-week-foresight-current-policy,MWh,369141
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,20-week-foresight-current-policy,MWh,253351
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,20-week-foresight-current-policy,MWh,11846278
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,20-week-foresight-current-policy,MWh,15533863
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2035,20-week-foresight-current-policy,MWh,24215123
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2040,20-week-foresight-current-policy,MWh,11906171
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2045,20-week-foresight-current-policy,MWh,7973850
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2050,20-week-foresight-current-policy,MWh,4747286
