model,line_name,planning_year,case,unit,value
USENSYS,MISC_to_SPPC,2040,20-week-foresight-current-policy,MW,131
USENSYS,MISC_to_SPPC,2050,20-week-foresight-current-policy,MW,287
USENSYS,MISS_to_SPPS,2040,20-week-foresight-current-policy,MW,1352
USENSYS,MISS_to_SPPS,2045,20-week-foresight-current-policy,MW,379
USENSYS,MISS_to_SPPS,2050,20-week-foresight-current-policy,MW,22
USENSYS,NYCW_to_PJME,2027,20-week-foresight-current-policy,MW,928
USENSYS,PJMC_to_PJMW,2040,20-week-foresight-current-policy,MW,521
USENSYS,PJMC_to_PJMW,2050,20-week-foresight-current-policy,MW,756
USENSYS,PJMD_to_PJME,2035,20-week-foresight-current-policy,MW,1149
USENSYS,PJMD_to_PJME,2040,20-week-foresight-current-policy,MW,722
USENSYS,PJMD_to_PJME,2045,20-week-foresight-current-policy,MW,288
USENSYS,RMRG_to_SPPC,2040,20-week-foresight-current-policy,MW,2124
USENSYS,RMRG_to_SPPC,2050,20-week-foresight-current-policy,MW,255
USENSYS,RMRG_to_SPPN,2035,20-week-foresight-current-policy,MW,2419
USENSYS,RMRG_to_SPPN,2040,20-week-foresight-current-policy,MW,1614
USENSYS,RMRG_to_SPPN,2045,20-week-foresight-current-policy,MW,764
USENSYS,RMRG_to_SPPN,2050,20-week-foresight-current-policy,MW,384
USENSYS,SPPC_to_SPPN,2035,20-week-foresight-current-policy,MW,125
USENSYS,SPPS_to_SRSG,2040,20-week-foresight-current-policy,MW,1445
USENSYS,SPPS_to_TREW,2035,20-week-foresight-current-policy,MW,1121
USENSYS,SPPS_to_TREW,2040,20-week-foresight-current-policy,MW,1143
USENSYS,SPPS_to_TREW,2045,20-week-foresight-current-policy,MW,1261
USENSYS,MISS_to_SPPC,2040,20-week-foresight-current-policy,MW,1
USENSYS,SPPN_to_SPPS,2035,20-week-foresight-current-policy,MW,1
USENSYS,SPPN_to_SPPS,2040,20-week-foresight-current-policy,MW,355
