region,marginal_price,total_demand
BASN,45.01485562149704,177158138.0
CASO,53.50703566351063,158791938.0
CANO,51.67950313484911,245898072.0
FRCC,49.52254828242474,334048179.0
ISNE,61.33883940550748,210413923.0
MISC,39.78136662798725,264171318.0
MISE,45.35844241453109,137137308.0
MISS,40.85762597568795,242486982.0
MISW,37.340637566557824,324181570.0
NWPP,49.76196260081865,300529644.0
NYCW,63.00949820125964,106442119.0
NYUP,52.2990944860723,92400602.0
PJMC,40.91590022875911,152682741.0
PJMD,53.62869915782415,145712440.0
PJME,55.59908554140821,389826566.0
PJMW,44.94372241929068,412215498.0
RMRG,35.61094865543749,150676430.0
SPPC,36.54834426182501,108907378.0
SPPN,35.23025121872066,74985567.0
SPPS,35.73294075567998,177543457.0
SRCA,49.19126905028688,287884867.0
SRCE,43.777706950124376,285639456.0
SRSE,46.15036365605789,333542368.0
SRSG,44.73961226703606,204888767.0
TRE,36.60658805916574,555402906.0
TREW,33.11981532380663,26667903.0
