model,zone,planning_year,case,unit,value
GenX,BASN,2027,Results_p1,tons,2.46795e+07
GenX,CANO,2027,Results_p1,tons,1.57647e+07
GenX,CASO,2027,Results_p1,tons,1.5128e+07
GenX,FRCC,2027,Results_p1,tons,7.19512e+07
GenX,ISNE,2027,Results_p1,tons,2.7394e+07
GenX,MISC,2027,Results_p1,tons,4.68645e+07
GenX,MISE,2027,Results_p1,tons,3.85821e+07
GenX,MISS,2027,Results_p1,tons,5.21581e+07
GenX,MISW,2027,Results_p1,tons,4.48371e+07
GenX,NWPP,2027,Results_p1,tons,1.11441e+07
GenX,NYCW,2027,Results_p1,tons,1.09021e+07
GenX,NYUP,2027,Results_p1,tons,1.55613e+07
GenX,PJMC,2027,Results_p1,tons,1.32019e+07
GenX,PJMD,2027,Results_p1,tons,1.44355e+07
GenX,PJME,2027,Results_p1,tons,8.48636e+07
GenX,PJMW,2027,Results_p1,tons,1.07249e+08
GenX,RMRG,2027,Results_p1,tons,1.82969e+07
GenX,SPPC,2027,Results_p1,tons,2.15749e+07
GenX,SPPN,2027,Results_p1,tons,1.61678e+07
GenX,SPPS,2027,Results_p1,tons,1.51537e+07
GenX,SRCA,2027,Results_p1,tons,4.02755e+07
GenX,SRCE,2027,Results_p1,tons,3.79893e+07
GenX,SRSE,2027,Results_p1,tons,3.49537e+07
GenX,SRSG,2027,Results_p1,tons,3.36147e+07
GenX,TRE,2027,Results_p1,tons,5.38853e+07
GenX,TREW,2027,Results_p1,tons,6.29145e+06
GenX,BASN,2030,Results_p2,tons,2.50863e+06
GenX,CANO,2030,Results_p2,tons,5.09123e+06
GenX,CASO,2030,Results_p2,tons,6.45856e+06
GenX,FRCC,2030,Results_p2,tons,1.19209e+07
GenX,ISNE,2030,Results_p2,tons,9.36869e+06
GenX,MISC,2030,Results_p2,tons,3.58149e+06
GenX,MISE,2030,Results_p2,tons,2.65868e+06
GenX,MISS,2030,Results_p2,tons,1.29018e+07
GenX,MISW,2030,Results_p2,tons,5.80541e+06
GenX,NWPP,2030,Results_p2,tons,624523
GenX,NYCW,2030,Results_p2,tons,3.33992e+06
GenX,NYUP,2030,Results_p2,tons,4.76291e+06
GenX,PJMC,2030,Results_p2,tons,5.24669e+06
GenX,PJMD,2030,Results_p2,tons,4.26552e+06
GenX,PJME,2030,Results_p2,tons,3.23218e+07
GenX,PJMW,2030,Results_p2,tons,1.66243e+07
GenX,RMRG,2030,Results_p2,tons,427912
GenX,SPPC,2030,Results_p2,tons,756302
GenX,SPPN,2030,Results_p2,tons,176225
GenX,SPPS,2030,Results_p2,tons,4.56092e+06
GenX,SRCA,2030,Results_p2,tons,6.58506e+06
GenX,SRCE,2030,Results_p2,tons,7.61671e+06
GenX,SRSE,2030,Results_p2,tons,1.61355e+07
GenX,SRSG,2030,Results_p2,tons,5.06201e+06
GenX,TRE,2030,Results_p2,tons,1.45997e+07
GenX,TREW,2030,Results_p2,tons,2.60078e+06
GenX,BASN,2035,Results_p3,tons,2.28414e+06
GenX,CANO,2035,Results_p3,tons,3.51093e+06
GenX,CASO,2035,Results_p3,tons,4.70317e+06
GenX,FRCC,2035,Results_p3,tons,9.28616e+06
GenX,ISNE,2035,Results_p3,tons,1.03705e+07
GenX,MISC,2035,Results_p3,tons,2.72694e+06
GenX,MISE,2035,Results_p3,tons,2.23902e+06
GenX,MISS,2035,Results_p3,tons,7.77546e+06
GenX,MISW,2035,Results_p3,tons,4.31154e+06
GenX,NWPP,2035,Results_p3,tons,987503
GenX,NYCW,2035,Results_p3,tons,2.06616e+06
GenX,NYUP,2035,Results_p3,tons,2.75196e+06
GenX,PJMC,2035,Results_p3,tons,3.70144e+06
GenX,PJMD,2035,Results_p3,tons,3.67656e+06
GenX,PJME,2035,Results_p3,tons,2.20437e+07
GenX,PJMW,2035,Results_p3,tons,1.31195e+07
GenX,RMRG,2035,Results_p3,tons,319645
GenX,SPPC,2035,Results_p3,tons,569728
GenX,SPPN,2035,Results_p3,tons,223218
GenX,SPPS,2035,Results_p3,tons,2.77598e+06
GenX,SRCA,2035,Results_p3,tons,4.62697e+06
GenX,SRCE,2035,Results_p3,tons,4.89834e+06
GenX,SRSE,2035,Results_p3,tons,1.01318e+07
GenX,SRSG,2035,Results_p3,tons,3.35008e+06
GenX,TRE,2035,Results_p3,tons,5.98848e+06
GenX,TREW,2035,Results_p3,tons,1.57331e+06
GenX,BASN,2040,Results_p4,tons,2.4643e+06
GenX,CANO,2040,Results_p4,tons,3.23595e+06
GenX,CASO,2040,Results_p4,tons,3.86359e+06
GenX,FRCC,2040,Results_p4,tons,7.08572e+06
GenX,ISNE,2040,Results_p4,tons,9.5112e+06
GenX,MISC,2040,Results_p4,tons,2.50787e+06
GenX,MISE,2040,Results_p4,tons,1.7279e+06
GenX,MISS,2040,Results_p4,tons,6.13443e+06
GenX,MISW,2040,Results_p4,tons,3.38073e+06
GenX,NWPP,2040,Results_p4,tons,1.45929e+06
GenX,NYCW,2040,Results_p4,tons,1.03379e+06
GenX,NYUP,2040,Results_p4,tons,1.67848e+06
GenX,PJMC,2040,Results_p4,tons,2.46214e+06
GenX,PJMD,2040,Results_p4,tons,2.73789e+06
GenX,PJME,2040,Results_p4,tons,1.40333e+07
GenX,PJMW,2040,Results_p4,tons,1.01208e+07
