region,marginal_price,total_demand
BASN,36.966359489245995,117622650.0
CASO,43.15802512156981,115510879.0
CANO,43.43834476964434,178550343.0
FRCC,43.11823704072207,263664150.0
ISNE,47.98050510710722,149354094.0
MISC,36.72196948258748,200796305.0
MISE,40.64876037603815,108618551.0
MISS,35.89833456788004,185407544.0
MISW,33.65607686985788,244560055.0
NWPP,36.77441100352939,213747716.0
NYCW,47.26746988133103,83015898.0
NYUP,36.47146790532776,74762455.0
PJMC,37.11613231295402,125041636.0
PJMD,43.15766201800765,116835353.0
PJME,43.391348939045145,308414943.0
PJMW,39.60686657175667,328889729.0
RMRG,29.565235958886184,100288099.0
SPPC,32.01094022468324,83557695.0
SPPN,30.259155492783155,54220969.0
SPPS,31.419171395977212,131322851.0
SRCA,42.371205277062565,228687588.0
SRCE,37.76778664695987,225061849.0
SRSE,42.52890614605353,255962582.0
SRSG,37.449341674604256,147664933.0
TRE,32.679784526118056,442846698.0
TREW,30.052815057702713,20819394.0
