Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,110073.59999999792,12.6,0.9999999999999812
BASN_biomass_2,1,225388.80000000415,25.8,1.0000000000000184
BASN_conventional_hydroelectric_1,1,5.164145962571322e6,1570.6,0.3763745856914621
BASN_conventional_steam_coal_1,1,1318.2509673409606,733.2,0.0002058083624065765
BASN_conventional_steam_coal_2,1,75155.00496201767,917.0,0.00938157914629666
BASN_geothermal_1,1,3.0043497908267146e6,363.7,0.9455719247269851
BASN_natural_gas_fired_combined_cycle_1,1,452323.0149068783,735.2,0.07042560104668608
BASN_natural_gas_fired_combined_cycle_2,1,8.276066992489799e6,6970.0,0.13591850658515892
BASN_natural_gas_fired_combustion_turbine_1,1,114744.3071801417,1458.7,0.009004353566310682
BASN_natural_gas_fired_combustion_turbine_2,1,23095.10344462277,236.2,0.011192507477125017
BASN_natural_gas_internal_combustion_engine_1,1,100695.63677749071,221.4,0.0520619476011228
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,806885.5027975594,583.8,0.15821046122237992
BASN_petroleum_liquids_1,1,449.1924256588954,12.0,0.004284878907765715
BASN_small_hydroelectric_1,1,3.005184e6,344.0,1.0
BASN_solar_photovoltaic_1,1,1.6796605608032484e7,7466.1,0.2575224509292454
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,1.7201184000000332e6,196.9,1.0000000000000193
CANO_biomass_2,2,1.611792e6,184.5,1.0
CANO_conventional_hydroelectric_1,2,1.75366880459488e7,6455.7,0.31095075160934815
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.437165416316396e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,517081.8038576038,3112.8,0.019014959819163457
CANO_natural_gas_fired_combined_cycle_2,2,5.424791402241024e6,8296.9,0.07484358155395257
CANO_natural_gas_fired_combustion_turbine_1,2,37733.85198426219,1999.7,0.0021599995942764923
CANO_natural_gas_fired_combustion_turbine_2,2,16186.996189695112,1206.8,0.0015353886915779212
