resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_batteries_1,BASN,Battery,SWITCH,2027,base_20_week,MW,935.8,935.8,1978.933333,1978.93
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_20_week,MW,935.8,935.8,1978.933333,1978.93
BASN_batteries_1,BASN,Battery,SWITCH,2035,base_20_week,MW,935.8,935.8,1978.933333,1978.93
BASN_biomass_1,BASN,Other,SWITCH,2027,base_20_week,MW,12.6,12.6,0.0,0.0
BASN_biomass_1,BASN,Other,SWITCH,2030,base_20_week,MW,12.6,12.6,0.0,0.0
BASN_biomass_1,BASN,Other,SWITCH,2035,base_20_week,MW,12.6,12.6,0.0,0.0
BASN_biomass_1,BASN,Other,SWITCH,2040,base_20_week,MW,12.6,12.6,0.0,0.0
BASN_biomass_1,BASN,Other,SWITCH,2045,base_20_week,MW,12.6,12.6,0.0,0.0
BASN_biomass_1,BASN,Other,SWITCH,2050,base_20_week,MW,11.3,7.2,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2027,base_20_week,MW,32.0,32.0,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2030,base_20_week,MW,32.0,32.0,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2035,base_20_week,MW,32.0,25.8,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2040,base_20_week,MW,25.8,25.8,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2045,base_20_week,MW,25.8,25.8,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2050,base_20_week,MW,25.8,18.3,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2027,base_20_week,MW,2489.6,2489.6,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_20_week,MW,2489.6,2489.6,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2035,base_20_week,MW,2489.6,2489.6,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2040,base_20_week,MW,2480.0,1697.6,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2045,base_20_week,MW,1697.6,1570.6,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2050,base_20_week,MW,1570.6,1483.9,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2027,base_20_week,MW,1705.2,1183.2,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_20_week,MW,1183.2,1183.2,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2035,base_20_week,MW,1183.2,1183.2,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2040,base_20_week,MW,1183.2,733.2,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2045,base_20_week,MW,733.2,733.2,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2050,base_20_week,MW,733.2,733.2,0.0,0.0
