model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
USENSYS,BASN,Battery,2027,True,MW,935.8,1552,0.0,616.2
USENSYS,BASN,Battery,2027,True,MWh,2195.6,3428,0.0,1232.4
USENSYS,BASN,Battery,2030,True,MW,1552.0,936,616.0,0.0
USENSYS,BASN,Battery,2030,True,MWh,3428.0,2196,1232.0,0.0
USENSYS,BASN,Battery,2035,True,MW,936.0,935,1.0,0.0
USENSYS,BASN,Battery,2035,True,MWh,2196.0,2195,1.0,0.0
USENSYS,BASN,Battery,2040,False,MW,0.0,3,0.0,0.0
USENSYS,BASN,Battery,2040,False,MWh,0.0,11,0.0,0.0
USENSYS,BASN,Battery,2045,False,MW,3.0,3484,0.0,3481.0
USENSYS,BASN,Battery,2045,False,MWh,11.0,15148,0.0,15137.0
USENSYS,BASN,Battery,2050,False,MW,3484.0,7938,0.0,4454.0
USENSYS,BASN,Battery,2050,False,MWh,15148.0,30154,0.0,15006.0
USENSYS,BASN,Coal,2027,True,MW,3000.2,3000,0.2,0.0
USENSYS,BASN,Coal,2030,True,MW,3000.0,3000,0.0,0.0
USENSYS,BASN,Coal,2035,True,MW,3000.0,3000,0.0,0.0
USENSYS,BASN,Coal,2040,True,MW,3000.0,2091,909.0,0.0
USENSYS,BASN,Coal,2045,True,MW,2091.0,1199,892.0,0.0
USENSYS,BASN,Coal,2050,True,MW,728.0,728,0.0,0.0
USENSYS,BASN,Distributed Solar,2027,True,MW,1193.0,1193,0.0,0.0
USENSYS,BASN,Distributed Solar,2030,True,MW,1193.0,1642,0.0,449.0
USENSYS,BASN,Distributed Solar,2035,True,MW,1642.0,2008,0.0,366.0
USENSYS,BASN,Distributed Solar,2040,True,MW,2008.0,2011,0.0,3.0
USENSYS,BASN,Distributed Solar,2045,True,MW,2011.0,2029,0.0,18.0
USENSYS,BASN,Distributed Solar,2050,True,MW,2029.0,2057,0.0,28.0
USENSYS,BASN,Geothermal,2027,True,MW,462.4,473,0.0,10.6
USENSYS,BASN,Geothermal,2030,True,MW,473.0,433,40.0,0.0
USENSYS,BASN,Geothermal,2035,True,MW,433.0,414,19.0,0.0
USENSYS,BASN,Geothermal,2040,True,MW,414.0,287,127.0,0.0
USENSYS,BASN,Geothermal,2045,True,MW,287.0,152,135.0,0.0
USENSYS,BASN,Geothermal,2050,True,MW,152.0,56,96.0,0.0
USENSYS,BASN,Hydro,2027,True,MW,2662.7,3663,0.1,0.4
USENSYS,BASN,Hydro,2027,True,MWh,0.0,15500,0.0,0.0
USENSYS,BASN,Hydro,2030,True,MW,3663.0,3663,0.0,0.0
USENSYS,BASN,Hydro,2030,True,MWh,15500.0,15500,0.0,0.0
USENSYS,BASN,Hydro,2035,True,MW,3663.0,3653,10.0,0.0
USENSYS,BASN,Hydro,2035,True,MWh,15500.0,15500,0.0,0.0
USENSYS,BASN,Hydro,2040,True,MW,3653.0,2860,793.0,0.0
USENSYS,BASN,Hydro,2040,True,MWh,15500.0,15500,0.0,0.0
USENSYS,BASN,Hydro,2045,True,MW,2860.0,2731,129.0,0.0
USENSYS,BASN,Hydro,2045,True,MWh,15500.0,15500,0.0,0.0
USENSYS,BASN,Hydro,2050,True,MW,2731.0,2561,170.0,0.0
USENSYS,BASN,Hydro,2050,True,MWh,15500.0,15500,0.0,0.0
USENSYS,BASN,Natural Gas CC,2027,True,MW,8312.3,8312,0.3,0.0
USENSYS,BASN,Natural Gas CC,2030,True,MW,8312.0,8219,93.0,0.0
USENSYS,BASN,Natural Gas CC,2035,True,MW,8219.0,8029,190.0,0.0
USENSYS,BASN,Natural Gas CC,2040,True,MW,8029.0,7529,500.0,0.0
USENSYS,BASN,Natural Gas CC,2045,True,MW,7529.0,7529,0.0,0.0
USENSYS,BASN,Natural Gas CC,2050,True,MW,7529.0,7529,0.0,0.0
USENSYS,BASN,Natural Gas CT,2027,True,MW,2183.0,2183,0.2,0.2
USENSYS,BASN,Natural Gas CT,2030,True,MW,2183.0,2183,0.0,0.0
USENSYS,BASN,Natural Gas CT,2035,True,MW,2183.0,2061,122.0,0.0
USENSYS,BASN,Natural Gas CT,2040,True,MW,2061.0,2061,0.0,0.0
USENSYS,BASN,Natural Gas CT,2045,True,MW,2061.0,1619,442.0,0.0
USENSYS,BASN,Natural Gas CT,2050,True,MW,1619.0,1619,0.0,0.0
USENSYS,BASN,Natural Gas Other,2027,True,MW,689.9,689,0.9,0.0
USENSYS,BASN,Natural Gas Other,2030,True,MW,689.0,463,226.0,0.0
USENSYS,BASN,Natural Gas Other,2035,True,MW,463.0,226,237.0,0.0
USENSYS,BASN,Natural Gas Other,2040,True,MW,226.0,226,0.0,0.0
USENSYS,BASN,Natural Gas Other,2045,True,MW,221.0,221,0.0,0.0
USENSYS,BASN,Natural Gas Other,2050,True,MW,221.0,204,17.0,0.0
USENSYS,BASN,Nuclear,2027,True,MW,0.0,436,0.0,0.0
USENSYS,BASN,Nuclear,2030,True,MW,436.0,436,0.0,0.0
USENSYS,BASN,Nuclear,2035,True,MW,436.0,436,0.0,0.0
USENSYS,BASN,Nuclear,2040,True,MW,436.0,436,0.0,0.0
USENSYS,BASN,Nuclear,2045,True,MW,436.0,436,0.0,0.0
USENSYS,BASN,Nuclear,2050,True,MW,436.0,436,0.0,0.0
USENSYS,BASN,Other,2027,True,MW,54.5,55,0.1,0.6
USENSYS,BASN,Other,2030,True,MW,55.0,55,0.0,0.0
USENSYS,BASN,Other,2035,True,MW,55.0,51,4.0,0.0
USENSYS,BASN,Other,2040,True,MW,51.0,39,12.0,0.0
USENSYS,BASN,Other,2045,True,MW,39.0,36,3.0,0.0
USENSYS,BASN,Other,2050,True,MW,24.0,17,7.0,0.0
USENSYS,BASN,Solar,2027,True,MW,8006.2,12912,0.0,4905.8
USENSYS,BASN,Solar,2030,True,MW,12912.0,8006,4906.0,0.0
USENSYS,BASN,Solar,2035,False,MW,0.0,5768,0.0,0.0
USENSYS,BASN,Solar,2035,True,MW,8006.0,8006,0.0,0.0
USENSYS,BASN,Solar,2040,False,MW,5768.0,11941,0.0,5587.0
USENSYS,BASN,Solar,2040,True,MW,8006.0,7934,72.0,0.0
USENSYS,BASN,Solar,2045,False,MW,11941.0,20065,0.0,8124.0
USENSYS,BASN,Solar,2045,True,MW,7934.0,7065,869.0,0.0
USENSYS,BASN,Solar,2050,False,MW,20065.0,23471,0.0,0.0
USENSYS,BASN,Solar,2050,True,MW,7065.0,4272,2793.0,0.0
USENSYS,BASN,Wind,2027,True,MW,2030.1,2030,0.1,0.0
USENSYS,BASN,Wind,2030,False,MW,0.0,21969,0.0,0.0
USENSYS,BASN,Wind,2030,True,MW,2030.0,2030,0.0,0.0
USENSYS,BASN,Wind,2035,False,MW,21969.0,33370,0.0,3794.0
USENSYS,BASN,Wind,2035,True,MW,2030.0,2020,10.0,0.0
USENSYS,BASN,Wind,2040,False,MW,33370.0,33814,0.0,0.0
