model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,BASN,BASN_battery_moderate_0,Battery,2045,20-week-foresight,MW,4,3484
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,20-week-foresight,MW,3483,7938
USENSYS,CANO,CANO_battery_moderate_0,Battery,2050,20-week-foresight,MW,-1,324
USENSYS,CASO,CASO_battery_moderate_0,Battery,2040,20-week-foresight,MW,-2,3
USENSYS,CASO,CASO_battery_moderate_0,Battery,2045,20-week-foresight,MW,4,3919
USENSYS,CASO,CASO_battery_moderate_0,Battery,2050,20-week-foresight,MW,3918,10923
USENSYS,FRCC,FRCC_battery_moderate_0,Battery,2045,20-week-foresight,MW,1,416
USENSYS,FRCC,FRCC_battery_moderate_0,Battery,2050,20-week-foresight,MW,418,3278
USENSYS,ISNE,ISNE_battery_moderate_0,Battery,2035,20-week-foresight,MW,-2,1133
USENSYS,ISNE,ISNE_battery_moderate_0,Battery,2040,20-week-foresight,MW,1136,5746
USENSYS,ISNE,ISNE_battery_moderate_0,Battery,2045,20-week-foresight,MW,5747,9022
USENSYS,ISNE,ISNE_battery_moderate_0,Battery,2050,20-week-foresight,MW,7889,10309
USENSYS,MISC,MISC_battery_moderate_0,Battery,2050,20-week-foresight,MW,-1,4
USENSYS,MISE,MISE_battery_moderate_0,Battery,2050,20-week-foresight,MW,2,997
USENSYS,MISW,MISW_battery_moderate_0,Battery,2045,20-week-foresight,MW,-1,2949
USENSYS,MISW,MISW_battery_moderate_0,Battery,2050,20-week-foresight,MW,2951,11051
USENSYS,NWPP,NWPP_battery_moderate_0,Battery,2050,20-week-foresight,MW,3,6663
USENSYS,NYCW,NYCW_battery_moderate_0,Battery,2040,20-week-foresight,MW,-2,123
USENSYS,NYCW,NYCW_battery_moderate_0,Battery,2045,20-week-foresight,MW,121,1446
USENSYS,NYCW,NYCW_battery_moderate_0,Battery,2050,20-week-foresight,MW,1445,2490
USENSYS,NYUP,NYUP_battery_moderate_0,Battery,2050,20-week-foresight,MW,0,700
USENSYS,PJMC,PJMC_battery_moderate_0,Battery,2050,20-week-foresight,MW,0,1885
USENSYS,PJMD,PJMD_battery_moderate_0,Battery,2045,20-week-foresight,MW,0,1705
USENSYS,PJMD,PJMD_battery_moderate_0,Battery,2050,20-week-foresight,MW,1706,7146
USENSYS,PJME,PJME_battery_moderate_0,Battery,2045,20-week-foresight,MW,3,3703
USENSYS,PJME,PJME_battery_moderate_0,Battery,2050,20-week-foresight,MW,3700,11805
USENSYS,RMRG,RMRG_battery_moderate_0,Battery,2050,20-week-foresight,MW,0,2815
USENSYS,SPPC,SPPC_battery_moderate_0,Battery,2050,20-week-foresight,MW,3,1653
USENSYS,SPPN,SPPN_battery_moderate_0,Battery,2050,20-week-foresight,MW,2,1262
USENSYS,SRCA,SRCA_battery_moderate_0,Battery,2050,20-week-foresight,MW,0,3035
USENSYS,SRCE,SRCE_battery_moderate_0,Battery,2050,20-week-foresight,MW,1,2711
USENSYS,SRSE,SRSE_battery_moderate_0,Battery,2050,20-week-foresight,MW,-1,174
USENSYS,SRSG,SRSG_battery_moderate_0,Battery,2045,20-week-foresight,MW,2,2837
USENSYS,SRSG,SRSG_battery_moderate_0,Battery,2050,20-week-foresight,MW,2836,9281
USENSYS,TRE,TRE_battery_moderate_0,Battery,2050,20-week-foresight,MW,0,1080
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,2,8527
USENSYS,CASO,CASO_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,0,535
USENSYS,CASO,CASO_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,20-week-foresight,MW,533,588
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,0,2785
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,3265
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,3263,9723
USENSYS,MISC,MISC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,6115
USENSYS,MISE,MISE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,92
USENSYS,MISS,MISS_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,-2,1518
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,-1,6829
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,2,7667
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,0,340
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,-1,2194
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,-2,1248
USENSYS,PJME,PJME_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,206
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,1778
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,20-week-foresight,MW,-1,2539
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,20-week-foresight,MW,2538,10143
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,20-week-foresight,MW,10143,14473
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,20-week-foresight,MW,0,1300
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,20-week-foresight,MW,1299,5334
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,20-week-foresight,MW,5333,6708
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,1642
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,1641,6781
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,-1,7864
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,272
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,6013
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,-2,4593
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,1,4771
USENSYS,TRE,TRE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-foresight,MW,0,2842
USENSYS,TRE,TRE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-foresight,MW,2840,3240
USENSYS,TREW,TREW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,20-week-foresight,MW,-1,2154
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,-1,779
USENSYS,MISE,MISE_landbasedwind_class3_moderate_1_anyQual_0,Wind,2027,20-week-foresight,MW,0,60
USENSYS,MISW,MISW_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,-1,1164
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,0,4270
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_1_anyQual_0,Wind,2035,20-week-foresight,MW,4269,5289
USENSYS,PJME,PJME_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,2,87
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_1_anyQual_0,Wind,2027,20-week-foresight,MW,0,2221
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,2222,3297
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,0,6770
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_1_anyQual_0,Wind,2045,20-week-foresight,MW,6770,7930
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_1_anyQual_0,Wind,2030,20-week-foresight,MW,0,8865
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_1_anyQual_0,Wind,2027,20-week-foresight,MW,0,983
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2030,20-week-foresight,MW,-2,8168
