model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_CANO,2027,20-week-foresight,MW,100,100
USENSYS,BASN_to_CANO,2030,20-week-foresight,MW,100,100
USENSYS,BASN_to_CANO,2035,20-week-foresight,MW,100,100
USENSYS,BASN_to_CANO,2040,20-week-foresight,MW,100,100
USENSYS,BASN_to_CANO,2045,20-week-foresight,MW,100,100
USENSYS,BASN_to_CANO,2050,20-week-foresight,MW,100,100
USENSYS,BASN_to_CASO,2027,20-week-foresight,MW,5920,5920
USENSYS,BASN_to_CASO,2030,20-week-foresight,MW,5920,5920
USENSYS,BASN_to_CASO,2035,20-week-foresight,MW,5920,5920
USENSYS,BASN_to_CASO,2040,20-week-foresight,MW,5920,5920
USENSYS,BASN_to_CASO,2045,20-week-foresight,MW,5920,5920
USENSYS,BASN_to_CASO,2050,20-week-foresight,MW,5920,5920
USENSYS,BASN_to_NWPP,2027,20-week-foresight,MW,3350,3350
USENSYS,BASN_to_NWPP,2030,20-week-foresight,MW,3350,3350
USENSYS,BASN_to_NWPP,2035,20-week-foresight,MW,3350,3350
USENSYS,BASN_to_NWPP,2040,20-week-foresight,MW,3350,3350
USENSYS,BASN_to_NWPP,2045,20-week-foresight,MW,3350,3350
USENSYS,BASN_to_NWPP,2050,20-week-foresight,MW,3350,3350
USENSYS,BASN_to_RMRG,2027,20-week-foresight,MW,3750,3750
USENSYS,BASN_to_RMRG,2030,20-week-foresight,MW,3750,3750
USENSYS,BASN_to_RMRG,2035,20-week-foresight,MW,3750,3750
USENSYS,BASN_to_RMRG,2040,20-week-foresight,MW,3750,3750
USENSYS,BASN_to_RMRG,2045,20-week-foresight,MW,3750,3750
USENSYS,BASN_to_RMRG,2050,20-week-foresight,MW,3750,3750
USENSYS,BASN_to_SRSG,2027,20-week-foresight,MW,5385,5385
USENSYS,BASN_to_SRSG,2030,20-week-foresight,MW,5385,5385
USENSYS,BASN_to_SRSG,2035,20-week-foresight,MW,5385,5385
USENSYS,BASN_to_SRSG,2040,20-week-foresight,MW,5385,5385
USENSYS,BASN_to_SRSG,2045,20-week-foresight,MW,5385,5385
USENSYS,BASN_to_SRSG,2050,20-week-foresight,MW,5385,5385
USENSYS,CANO_to_CASO,2027,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_CASO,2030,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_CASO,2035,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_CASO,2040,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_CASO,2045,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_CASO,2050,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_NWPP,2027,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_NWPP,2030,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_NWPP,2035,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_NWPP,2040,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_NWPP,2045,20-week-foresight,MW,3675,3675
USENSYS,CANO_to_NWPP,2050,20-week-foresight,MW,3675,3675
USENSYS,CASO_to_NWPP,2027,20-week-foresight,MW,2858,2858
USENSYS,CASO_to_NWPP,2030,20-week-foresight,MW,2858,2858
USENSYS,CASO_to_NWPP,2035,20-week-foresight,MW,2858,2858
USENSYS,CASO_to_NWPP,2040,20-week-foresight,MW,2858,2858
USENSYS,CASO_to_NWPP,2045,20-week-foresight,MW,2858,2858
USENSYS,CASO_to_NWPP,2050,20-week-foresight,MW,2858,2858
USENSYS,CASO_to_SRSG,2027,20-week-foresight,MW,4354,4354
USENSYS,CASO_to_SRSG,2030,20-week-foresight,MW,4354,4354
USENSYS,CASO_to_SRSG,2035,20-week-foresight,MW,4354,4354
USENSYS,CASO_to_SRSG,2040,20-week-foresight,MW,4354,4354
USENSYS,CASO_to_SRSG,2045,20-week-foresight,MW,4354,4354
USENSYS,CASO_to_SRSG,2050,20-week-foresight,MW,4354,4354
USENSYS,FRCC_to_SRSE,2027,20-week-foresight,MW,3600,3600
USENSYS,FRCC_to_SRSE,2030,20-week-foresight,MW,3600,3600
USENSYS,FRCC_to_SRSE,2035,20-week-foresight,MW,3600,3600
USENSYS,FRCC_to_SRSE,2040,20-week-foresight,MW,3600,3600
USENSYS,FRCC_to_SRSE,2045,20-week-foresight,MW,3600,3600
USENSYS,FRCC_to_SRSE,2050,20-week-foresight,MW,3600,3600
USENSYS,ISNE_to_NYCW,2027,20-week-foresight,MW,760,760
USENSYS,ISNE_to_NYCW,2030,20-week-foresight,MW,760,760
USENSYS,ISNE_to_NYCW,2035,20-week-foresight,MW,760,760
USENSYS,ISNE_to_NYCW,2040,20-week-foresight,MW,760,800
USENSYS,ISNE_to_NYCW,2045,20-week-foresight,MW,760,800
USENSYS,ISNE_to_NYCW,2050,20-week-foresight,MW,760,800
USENSYS,ISNE_to_NYUP,2027,20-week-foresight,MW,1400,1400
USENSYS,ISNE_to_NYUP,2030,20-week-foresight,MW,1400,2678
USENSYS,ISNE_to_NYUP,2035,20-week-foresight,MW,1400,5449
USENSYS,ISNE_to_NYUP,2040,20-week-foresight,MW,1400,6255
USENSYS,ISNE_to_NYUP,2045,20-week-foresight,MW,1400,6255
USENSYS,ISNE_to_NYUP,2050,20-week-foresight,MW,1400,6255
USENSYS,MISC_to_MISS,2027,20-week-foresight,MW,1039,1039
USENSYS,MISC_to_MISS,2030,20-week-foresight,MW,1039,1039
USENSYS,MISC_to_MISS,2035,20-week-foresight,MW,1039,1039
USENSYS,MISC_to_MISS,2040,20-week-foresight,MW,1039,1039
USENSYS,MISC_to_MISS,2045,20-week-foresight,MW,1039,1039
USENSYS,MISC_to_MISS,2050,20-week-foresight,MW,1039,1039
USENSYS,MISC_to_MISW,2027,20-week-foresight,MW,1655,1655
USENSYS,MISC_to_MISW,2030,20-week-foresight,MW,1655,1655
USENSYS,MISC_to_MISW,2035,20-week-foresight,MW,1655,1655
USENSYS,MISC_to_MISW,2040,20-week-foresight,MW,1655,1655
USENSYS,MISC_to_MISW,2045,20-week-foresight,MW,1655,1655
USENSYS,MISC_to_MISW,2050,20-week-foresight,MW,1655,1655
USENSYS,MISC_to_PJMC,2027,20-week-foresight,MW,5244,5244
USENSYS,MISC_to_PJMC,2030,20-week-foresight,MW,5244,5244
USENSYS,MISC_to_PJMC,2035,20-week-foresight,MW,5244,5244
USENSYS,MISC_to_PJMC,2040,20-week-foresight,MW,5244,5244
USENSYS,MISC_to_PJMC,2045,20-week-foresight,MW,5244,5244
USENSYS,MISC_to_PJMC,2050,20-week-foresight,MW,5244,5244
USENSYS,MISC_to_PJMW,2027,20-week-foresight,MW,5441,5441
USENSYS,MISC_to_PJMW,2030,20-week-foresight,MW,5441,5441
USENSYS,MISC_to_PJMW,2035,20-week-foresight,MW,5441,5441
USENSYS,MISC_to_PJMW,2040,20-week-foresight,MW,5441,5441
USENSYS,MISC_to_PJMW,2045,20-week-foresight,MW,5441,5441
USENSYS,MISC_to_PJMW,2050,20-week-foresight,MW,5441,5441
USENSYS,MISC_to_SPPC,2027,20-week-foresight,MW,1430,1430
USENSYS,MISC_to_SPPC,2030,20-week-foresight,MW,1430,2394
USENSYS,MISC_to_SPPC,2035,20-week-foresight,MW,1430,2394
USENSYS,MISC_to_SPPC,2040,20-week-foresight,MW,1430,2394
USENSYS,MISC_to_SPPC,2045,20-week-foresight,MW,1430,2940
USENSYS,MISC_to_SPPC,2050,20-week-foresight,MW,1430,2940
USENSYS,MISC_to_SPPS,2027,20-week-foresight,MW,1172,1172
USENSYS,MISC_to_SPPS,2030,20-week-foresight,MW,1172,1172
USENSYS,MISC_to_SPPS,2035,20-week-foresight,MW,1172,1172
USENSYS,MISC_to_SPPS,2040,20-week-foresight,MW,1172,1172
USENSYS,MISC_to_SPPS,2045,20-week-foresight,MW,1172,1172
USENSYS,MISC_to_SPPS,2050,20-week-foresight,MW,1172,1172
USENSYS,MISC_to_SRCE,2027,20-week-foresight,MW,3745,3745
USENSYS,MISC_to_SRCE,2030,20-week-foresight,MW,3745,3745
USENSYS,MISC_to_SRCE,2035,20-week-foresight,MW,3745,3745
USENSYS,MISC_to_SRCE,2040,20-week-foresight,MW,3745,3745
USENSYS,MISC_to_SRCE,2045,20-week-foresight,MW,3745,3745
USENSYS,MISC_to_SRCE,2050,20-week-foresight,MW,3745,3745
USENSYS,MISE_to_PJMW,2027,20-week-foresight,MW,2662,2662
USENSYS,MISE_to_PJMW,2030,20-week-foresight,MW,2662,2662
USENSYS,MISE_to_PJMW,2035,20-week-foresight,MW,2662,2662
USENSYS,MISE_to_PJMW,2040,20-week-foresight,MW,2662,2662
USENSYS,MISE_to_PJMW,2045,20-week-foresight,MW,2662,2662
USENSYS,MISE_to_PJMW,2050,20-week-foresight,MW,2662,2662
USENSYS,MISS_to_SPPS,2027,20-week-foresight,MW,1697,1697
USENSYS,MISS_to_SPPS,2030,20-week-foresight,MW,1697,7237
USENSYS,MISS_to_SPPS,2035,20-week-foresight,MW,1697,7237
USENSYS,MISS_to_SPPS,2040,20-week-foresight,MW,1697,7764
USENSYS,MISS_to_SPPS,2045,20-week-foresight,MW,1697,8031
USENSYS,MISS_to_SPPS,2050,20-week-foresight,MW,1697,8031
USENSYS,MISS_to_SRCE,2027,20-week-foresight,MW,4092,4092
USENSYS,MISS_to_SRCE,2030,20-week-foresight,MW,4092,4092
USENSYS,MISS_to_SRCE,2035,20-week-foresight,MW,4092,4092
USENSYS,MISS_to_SRCE,2040,20-week-foresight,MW,4092,4092
USENSYS,MISS_to_SRCE,2045,20-week-foresight,MW,4092,4092
USENSYS,MISS_to_SRCE,2050,20-week-foresight,MW,4092,4092
USENSYS,MISS_to_SRSE,2027,20-week-foresight,MW,891,891
USENSYS,MISS_to_SRSE,2030,20-week-foresight,MW,891,891
USENSYS,MISS_to_SRSE,2035,20-week-foresight,MW,891,891
USENSYS,MISS_to_SRSE,2040,20-week-foresight,MW,891,891
USENSYS,MISS_to_SRSE,2045,20-week-foresight,MW,891,891
USENSYS,MISS_to_SRSE,2050,20-week-foresight,MW,891,891
USENSYS,MISW_to_NWPP,2027,20-week-foresight,MW,200,200
USENSYS,MISW_to_NWPP,2030,20-week-foresight,MW,200,200
USENSYS,MISW_to_NWPP,2035,20-week-foresight,MW,200,200
USENSYS,MISW_to_NWPP,2040,20-week-foresight,MW,200,200
USENSYS,MISW_to_NWPP,2045,20-week-foresight,MW,200,200
USENSYS,MISW_to_NWPP,2050,20-week-foresight,MW,200,200
USENSYS,MISW_to_PJMC,2027,20-week-foresight,MW,3200,3200
USENSYS,MISW_to_PJMC,2030,20-week-foresight,MW,3200,3200
USENSYS,MISW_to_PJMC,2035,20-week-foresight,MW,3200,3200
USENSYS,MISW_to_PJMC,2040,20-week-foresight,MW,3200,3200
USENSYS,MISW_to_PJMC,2045,20-week-foresight,MW,3200,3671
USENSYS,MISW_to_PJMC,2050,20-week-foresight,MW,3200,3671
USENSYS,MISW_to_SPPN,2027,20-week-foresight,MW,5512,5512
USENSYS,MISW_to_SPPN,2030,20-week-foresight,MW,5512,5512
USENSYS,MISW_to_SPPN,2035,20-week-foresight,MW,5512,5512
USENSYS,MISW_to_SPPN,2040,20-week-foresight,MW,5512,5512
USENSYS,MISW_to_SPPN,2045,20-week-foresight,MW,5512,5512
USENSYS,MISW_to_SPPN,2050,20-week-foresight,MW,5512,5512
USENSYS,NWPP_to_RMRG,2027,20-week-foresight,MW,400,400
USENSYS,NWPP_to_RMRG,2030,20-week-foresight,MW,400,400
USENSYS,NWPP_to_RMRG,2035,20-week-foresight,MW,400,486
USENSYS,NWPP_to_RMRG,2040,20-week-foresight,MW,400,757
USENSYS,NWPP_to_RMRG,2045,20-week-foresight,MW,400,1791
USENSYS,NWPP_to_RMRG,2050,20-week-foresight,MW,400,2548
USENSYS,NYCW_to_NYUP,2027,20-week-foresight,MW,2489,2489
USENSYS,NYCW_to_NYUP,2030,20-week-foresight,MW,2489,2536
USENSYS,NYCW_to_NYUP,2035,20-week-foresight,MW,2489,3189
USENSYS,NYCW_to_NYUP,2040,20-week-foresight,MW,2489,3189
USENSYS,NYCW_to_NYUP,2045,20-week-foresight,MW,2489,3189
USENSYS,NYCW_to_NYUP,2050,20-week-foresight,MW,2489,3189
USENSYS,NYCW_to_PJME,2027,20-week-foresight,MW,660,4550
USENSYS,NYCW_to_PJME,2030,20-week-foresight,MW,660,5467
USENSYS,NYCW_to_PJME,2035,20-week-foresight,MW,660,6562
