Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
9000.0,1.0,1.0,1.0,9000.0,4.0,96.0,2592.0,1,13685.0,1306.0,989.0,1960.0,224.0,1207.0,2170.0,8171.0,2595.0,19339.0,68457.0
,2.0,0.067,0.075,603.0,,,3456.0,2,12771.0,1215.0,920.0,1823.0,209.0,1123.0,2018.0,7594.0,2414.0,18686.0,66738.0
,,,,,,,2592.0,3,12281.0,1164.0,881.0,1746.0,200.0,1076.0,1933.0,7277.0,2313.0,18393.0,65681.0
,,,,,,,96.0,4,12075.0,1137.0,860.0,1705.0,195.0,1051.0,1889.0,7105.0,2259.0,18352.0,65736.0
,,,,,,,,5,11988.0,1117.0,846.0,1676.0,192.0,1032.0,1856.0,6984.0,2221.0,18607.0,67042.0
,,,,,,,,6,12344.0,1126.0,853.0,1689.0,193.0,1040.0,1872.0,7034.0,2240.0,19790.0,71279.0
,,,,,,,,7,13513.0,1185.0,898.0,1778.0,204.0,1095.0,1974.0,7388.0,2366.0,22128.0,79164.0
,,,,,,,,8,15891.0,1331.0,1007.0,1997.0,229.0,1229.0,2216.0,8295.0,2656.0,23874.0,84056.0
,,,,,,,,9,17069.0,1452.0,1099.0,2177.0,249.0,1341.0,2414.0,9061.0,2891.0,23816.0,83170.0
,,,,,,,,10,17100.0,1480.0,1121.0,2221.0,254.0,1369.0,2458.0,9261.0,2939.0,23453.0,80736.0
,,,,,,,,11,17229.0,1499.0,1134.0,2247.0,258.0,1385.0,2488.0,9374.0,2973.0,23280.0,78904.0
,,,,,,,,12,17283.0,1492.0,1130.0,2238.0,256.0,1379.0,2474.0,9343.0,2956.0,22704.0,77572.0
,,,,,,,,13,17178.0,1488.0,1127.0,2232.0,256.0,1377.0,2469.0,9324.0,2947.0,22390.0,76461.0
,,,,,,,,14,16965.0,1473.0,1115.0,2209.0,253.0,1362.0,2442.0,9229.0,2915.0,22216.0,75123.0
,,,,,,,,15,17046.0,1473.0,1115.0,2209.0,253.0,1363.0,2442.0,9233.0,2915.0,22150.0,74432.0
,,,,,,,,16,17520.0,1499.0,1135.0,2248.0,258.0,1386.0,2486.0,9392.0,2968.0,22874.0,75726.0
,,,,,,,,17,18272.0,1541.0,1167.0,2312.0,264.0,1426.0,2558.0,9647.0,3057.0,24691.0,79688.0
,,,,,,,,18,19903.0,1632.0,1236.0,2449.0,281.0,1509.0,2712.0,10208.0,3243.0,27442.0,87139.0
,,,,,,,,19,20302.0,1683.0,1275.0,2525.0,289.0,1557.0,2793.0,10539.0,3339.0,26305.0,87539.0
,,,,,,,,20,19014.0,1606.0,1216.0,2409.0,276.0,1485.0,2663.0,10064.0,3179.0,24604.0,83033.0
,,,,,,,,21,18310.0,1560.0,1181.0,2340.0,268.0,1443.0,2587.0,9774.0,3089.0,23831.0,80475.0
,,,,,,,,22,17148.0,1487.0,1126.0,2230.0,255.0,1376.0,2463.0,9330.0,2937.0,22305.0,76774.0
,,,,,,,,23,15849.0,1411.0,1068.0,2116.0,242.0,1305.0,2337.0,8852.0,2787.0,20676.0,72070.0
,,,,,,,,24,14373.0,1324.0,1003.0,1986.0,227.0,1225.0,2194.0,8304.0,2618.0,19143.0,67427.0
,,,,,,,,25,13073.0,1216.0,921.0,1825.0,209.0,1125.0,2016.0,7626.0,2405.0,17940.0,63807.0
,,,,,,,,26,12238.0,1140.0,863.0,1709.0,195.0,1055.0,1890.0,7143.0,2256.0,17420.0,62183.0
,,,,,,,,27,11800.0,1092.0,827.0,1638.0,187.0,1010.0,1811.0,6844.0,2162.0,17103.0,61285.0
,,,,,,,,28,11608.0,1069.0,809.0,1603.0,184.0,988.0,1773.0,6697.0,2118.0,17166.0,61327.0
,,,,,,,,29,11508.0,1055.0,798.0,1581.0,181.0,975.0,1749.0,6602.0,2089.0,17444.0,62652.0
