hour,resource_name,tech_type,value,zone,planning_year,model,case
289,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,410,1,2030,p4_Mod_Elect_Low_RE,Results_p1
290,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,321,1,2030,p4_Mod_Elect_Low_RE,Results_p1
291,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,295,1,2030,p4_Mod_Elect_Low_RE,Results_p1
292,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,384,1,2030,p4_Mod_Elect_Low_RE,Results_p1
293,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,473,1,2030,p4_Mod_Elect_Low_RE,Results_p1
294,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,555,1,2030,p4_Mod_Elect_Low_RE,Results_p1
295,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,643,1,2030,p4_Mod_Elect_Low_RE,Results_p1
296,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,555,1,2030,p4_Mod_Elect_Low_RE,Results_p1
297,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,466,1,2030,p4_Mod_Elect_Low_RE,Results_p1
298,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,555,1,2030,p4_Mod_Elect_Low_RE,Results_p1
299,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,606,1,2030,p4_Mod_Elect_Low_RE,Results_p1
300,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,560,1,2030,p4_Mod_Elect_Low_RE,Results_p1
301,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,497,1,2030,p4_Mod_Elect_Low_RE,Results_p1
302,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,586,1,2030,p4_Mod_Elect_Low_RE,Results_p1
303,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,675,1,2030,p4_Mod_Elect_Low_RE,Results_p1
304,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,763,1,2030,p4_Mod_Elect_Low_RE,Results_p1
305,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,675,1,2030,p4_Mod_Elect_Low_RE,Results_p1
306,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,586,1,2030,p4_Mod_Elect_Low_RE,Results_p1
307,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,538,1,2030,p4_Mod_Elect_Low_RE,Results_p1
308,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,570,1,2030,p4_Mod_Elect_Low_RE,Results_p1
309,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
310,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
311,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
312,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
313,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
314,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
315,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p4_Mod_Elect_Low_RE,Results_p1
316,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,465,1,2030,p4_Mod_Elect_Low_RE,Results_p1
317,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,465,1,2030,p4_Mod_Elect_Low_RE,Results_p1
318,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p4_Mod_Elect_Low_RE,Results_p1
319,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,642,1,2030,p4_Mod_Elect_Low_RE,Results_p1
320,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,642,1,2030,p4_Mod_Elect_Low_RE,Results_p1
321,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p4_Mod_Elect_Low_RE,Results_p1
322,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,475,1,2030,p4_Mod_Elect_Low_RE,Results_p1
323,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,406,1,2030,p4_Mod_Elect_Low_RE,Results_p1
324,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,356,1,2030,p4_Mod_Elect_Low_RE,Results_p1
325,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,356,1,2030,p4_Mod_Elect_Low_RE,Results_p1
326,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,406,1,2030,p4_Mod_Elect_Low_RE,Results_p1
327,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,474,1,2030,p4_Mod_Elect_Low_RE,Results_p1
328,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p4_Mod_Elect_Low_RE,Results_p1
329,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p4_Mod_Elect_Low_RE,Results_p1
330,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,559,1,2030,p4_Mod_Elect_Low_RE,Results_p1
331,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,648,1,2030,p4_Mod_Elect_Low_RE,Results_p1
332,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,737,1,2030,p4_Mod_Elect_Low_RE,Results_p1
333,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,711,1,2030,p4_Mod_Elect_Low_RE,Results_p1
334,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,623,1,2030,p4_Mod_Elect_Low_RE,Results_p1
