model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p4_Mod_Elect_Low_RE,1,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,4387192.926589471
p4_Mod_Elect_Low_RE,2,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,13640906.173920631
p4_Mod_Elect_Low_RE,3,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,0.0
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,221599.86219438576
p4_Mod_Elect_Low_RE,5,NY_Z_D_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,5761738.281184077
p4_Mod_Elect_Low_RE,6,NY_Z_F_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,1071499.506546582
p4_Mod_Elect_Low_RE,10,PJM_EMAC_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,2768142.8764975374
p4_Mod_Elect_Low_RE,11,PJM_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,3905300.6494596177
p4_Mod_Elect_Low_RE,1,NENG_Rest_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,3731709.134642975
p4_Mod_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,6.144111656393697
p4_Mod_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,29029224.11538853
p4_Mod_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,3.8346625691287817
p4_Mod_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,2.0623520421925963
p4_Mod_Elect_Low_RE,1,NENG_Rest_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,7402784.95016401
p4_Mod_Elect_Low_RE,2,NY_Z_A_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3.69159587146679
p4_Mod_Elect_Low_RE,2,NY_Z_A_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.561186707860046
p4_Mod_Elect_Low_RE,2,NY_Z_A_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,281361.09288287663
p4_Mod_Elect_Low_RE,3,NY_Z_B_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,2.9253425983207806
p4_Mod_Elect_Low_RE,3,NY_Z_B_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.0
p4_Mod_Elect_Low_RE,3,NY_Z_B_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,0.4409586146830145
p4_Mod_Elect_Low_RE,3,NY_Z_B_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,3.5811242376672285
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,16.069241661953402
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,1.5693639245675308
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,22387512.79315838
p4_Mod_Elect_Low_RE,5,NY_Z_D_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3.107401557938041
p4_Mod_Elect_Low_RE,5,NY_Z_D_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3.3200926729029687
p4_Mod_Elect_Low_RE,6,NY_Z_F_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,14647042.922866829
p4_Mod_Elect_Low_RE,6,NY_Z_F_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,4.545486696723699
p4_Mod_Elect_Low_RE,6,NY_Z_F_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.0
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,4760544.974495651
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,0.8586361336656196
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.4769972050062631
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,2.784649259149417
p4_Mod_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,2506510.4855704294
