region,marginal_price,total_demand
BASN,38.427783850003365,177158138.0
CASO,37.69111960319762,158791938.0
CANO,42.36256862536298,245898072.0
FRCC,50.09943769550374,334048179.0
ISNE,37.811191319706694,210413923.0
MISC,42.33268520278453,264171318.0
MISE,43.689148091010914,137137308.0
MISS,34.500771378474745,242486982.0
MISW,42.502210172684684,324181570.0
NWPP,36.16838762997652,300529644.0
NYCW,53.63476583403649,106442119.0
NYUP,28.437652679749515,92400602.0
PJMC,44.35817389138635,152682741.0
PJMD,37.62836556842007,145712440.0
PJME,37.17364324811257,389826566.0
PJMW,43.13941493488102,412215498.0
RMRG,29.189827313896338,150676430.0
SPPC,32.86431688856189,108907378.0
SPPN,30.717265713963737,74985567.0
SPPS,28.79528271687296,177543457.0
SRCA,42.5827884473866,287884867.0
SRCE,43.434453808269815,285639456.0
SRSE,37.734447655434266,333542368.0
SRSG,38.68417651975448,204888767.0
TRE,45.44061513471368,555402906.0
TREW,37.484596514109114,26667903.0
