model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,SPPC,SPPC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_20_week,MW,408.321,404.238
TEMOA,SPPS,SPPS_small_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,39.26,39.26
TEMOA,PJMW,PJMW_landbasedwind_class3_moderate_7_anyQual_1,Wind,2027,current_policies_20_week,MW,0,3324.47
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,2104.9,2083.85
TEMOA,SPPN,SPPN_solar_photovoltaic_1,Solar,2027,current_policies_20_week,MW,125.601,125.591
TEMOA,TRE,TRE_conventional_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,479.4,474.606
TEMOA,NYUP,NYUP_solar_photovoltaic_1,Solar,2027,current_policies_20_week,MW,1742.82,1742.82
TEMOA,SPPC,SPPC_conventional_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,52,52
TEMOA,SRSG,SRSG_hydroelectric_pumped_storage_1,Hydro,2027,current_policies_20_week,MW,216.3,214.137
TEMOA,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,1068.9,1058.21
TEMOA,SPPN,SPPN_nuclear_1,Nuclear,2027,current_policies_20_week,MW,770,762.3
TEMOA,SRCA,SRCA_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,current_policies_20_week,MW,0,270.18
TEMOA,NWPP,NWPP_geothermal_1,Geothermal,2027,current_policies_20_week,MW,20.528,20.528
TEMOA,NYCW,NYCW_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_20_week,MW,2828.4,2828.4
TEMOA,MISC,MISC_solar_photovoltaic_1,Solar,2027,current_policies_20_week,MW,3922.22,3922.22
TEMOA,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,current_policies_20_week,MW,1665,1648.35
TEMOA,RMRG,RMRG_conventional_steam_coal_2,Coal,2027,current_policies_20_week,MW,3321,3287.79
TEMOA,RMRG,RMRG_landbasedwind_class3_moderate_7_anyQual_1,Wind,2027,current_policies_20_week,MW,0,2679.03
TEMOA,PJME,PJME_landbasedwind_class3_moderate_4_anyQual_0,Wind,2027,current_policies_20_week,MW,0,375.881
TEMOA,MISE,MISE_landbasedwind_class3_moderate_7_anyQual_0,Wind,2027,current_policies_20_week,MW,0,14.8912
TEMOA,TRE,TRE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,7554.48,7478.93
TEMOA,NYCW,NYCW_distributed_generation_1,Distributed Solar,2027,current_policies_20_week,MW,1076,1076
TEMOA,CASO,CASO_solar_photovoltaic_1,Solar,2027,current_policies_20_week,MW,13797.3,13797.3
TEMOA,PJMW,PJMW_onshore_wind_turbine_1,Wind,2027,current_policies_20_week,MW,4454.02,4454.02
TEMOA,SPPC,SPPC_solar_photovoltaic_1,Solar,2027,current_policies_20_week,MW,101.898,101.883
TEMOA,BASN,BASN_petroleum_liquids_1,Other,2027,current_policies_20_week,MW,25.8,25.8
TEMOA,TREW,TREW_landbasedwind_class3_moderate_2_anyQual_1,Wind,2027,current_policies_20_week,MW,0,16.519
TEMOA,NYCW,NYCW_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,1084.3,1084.29
TEMOA,SRCE,SRCE_biomass_2,Other,2027,current_policies_20_week,MW,11.067,11.067
TEMOA,TREW,TREW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,current_policies_20_week,MW,0,896.973
TEMOA,TREW,TREW_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,3197.2,3165.23
TEMOA,SPPN,SPPN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,300,297.001
TEMOA,SRCA,SRCA_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,9004.2,8914.16
TEMOA,NYUP,NYUP_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_20_week,MW,19.509,19.509
TEMOA,SRCE,SRCE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,3978.1,3938.32
TEMOA,CANO,CANO_biomass_2,Other,2027,current_policies_20_week,MW,69.72,69.72
TEMOA,FRCC,FRCC_biomass_2,Other,2027,current_policies_20_week,MW,115.02,113.878
TEMOA,PJMW,PJMW_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_20_week,MW,83.292,83.292
TEMOA,NYUP,NYUP_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,57.6,57.6
TEMOA,PJMC,PJMC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,8523.93,8438.69
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_20_week,MW,7294.01,7221.07
TEMOA,PJMW,PJMW_small_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,131.976,131.976
TEMOA,PJME,PJME_biomass_1,Other,2027,current_policies_20_week,MW,89.157,89.157
TEMOA,SRCA,SRCA_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,816.608,808.442
TEMOA,PJMC,PJMC_conventional_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,11.202,11.202
TEMOA,SRCA,SRCA_nuclear_1,Nuclear,2027,current_policies_20_week,MW,12106.7,11985.6
TEMOA,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,current_policies_20_week,MW,888.404,879.52
TEMOA,MISW,MISW_natural_gas_steam_turbine_1,Natural Gas,2027,current_policies_20_week,MW,124.7,123.453
TEMOA,SPPS,SPPS_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,current_policies_20_week,MW,0,7862.72
TEMOA,SPPS,SPPS_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,2095,2074.05
TEMOA,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,current_policies_20_week,MW,0,3643.99
TEMOA,SRCA,SRCA_conventional_steam_coal_1,Coal,2027,current_policies_20_week,MW,12994,12864.1
TEMOA,PJMD,PJMD_solar_photovoltaic_1,Solar,2027,current_policies_20_week,MW,4753.58,4753.58
TEMOA,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,current_policies_20_week,MW,3135,3103.65
TEMOA,MISE,MISE_distributed_generation_1,Distributed Solar,2027,current_policies_20_week,MW,642,641.992
TEMOA,RMRG,RMRG_petroleum_liquids_1,Other,2027,current_policies_20_week,MW,21.096,21.096
TEMOA,SRSG,SRSG_petroleum_liquids_1,Other,2027,current_policies_20_week,MW,173.499,171.764
TEMOA,PJMD,PJMD_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,59.5,59.5
TEMOA,PJME,PJME_conventional_steam_coal_2,Coal,2027,current_policies_20_week,MW,868.896,860.207
TEMOA,PJME,PJME_biomass_2,Other,2027,current_policies_20_week,MW,151.664,150.147
TEMOA,SPPC,SPPC_onshore_wind_turbine_1,Wind,2027,current_policies_20_week,MW,8379.7,8379.69
TEMOA,ISNE,ISNE_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,current_policies_20_week,MW,0,273.485
TEMOA,ISNE,ISNE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,current_policies_20_week,MW,0,6585.09
TEMOA,SPPC,SPPC_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,current_policies_20_week,MW,438.204,433.823
TEMOA,PJMD,PJMD_conventional_steam_coal_2,Coal,2027,current_policies_20_week,MW,881,872.19
TEMOA,NYUP,NYUP_offshorewind_class3_moderate_fixed_0_2,Wind,2027,current_policies_20_week,MW,0,315.555
TEMOA,MISE,MISE_nuclear_1,Nuclear,2027,current_policies_20_week,MW,1161,1149.39
TEMOA,RMRG,RMRG_batteries_1,Battery,2027,current_policies_20_week,MW,240.198,237.813
TEMOA,TRE,TRE_natural_gas_steam_turbine_1,Natural Gas,2027,current_policies_20_week,MW,856.198,847.636
TEMOA,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,7864.38,7785.73
TEMOA,NYUP,NYUP_utilitypv_class1_moderate_1_anyQual_1,Solar,2027,current_policies_20_week,MW,0,5283.01
TEMOA,NYUP,NYUP_landbasedwind_class3_moderate_4_anyQual_0,Wind,2027,current_policies_20_week,MW,0,39.9704
TEMOA,PJMC,PJMC_biomass_2,Other,2027,current_policies_20_week,MW,16.016,16.016
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,7197.08,7125.11
TEMOA,CASO,CASO_distributed_generation_1,Distributed Solar,2027,current_policies_20_week,MW,6969,6969
TEMOA,PJMW,PJMW_landbasedwind_class3_moderate_5_anyQual_1,Wind,2027,current_policies_20_week,MW,0,3933.57
TEMOA,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_20_week,MW,2510.2,2485.1
TEMOA,SPPS,SPPS_distributed_generation_1,Distributed Solar,2027,current_policies_20_week,MW,824,824
TEMOA,SPPC,SPPC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,3196.5,3164.54
TEMOA,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,current_policies_20_week,MW,0,2617.88
TEMOA,MISS,MISS_batteries_1,Battery,2027,current_policies_20_week,MW,10.5,10.5
TEMOA,SRSE,SRSE_conventional_steam_coal_2,Coal,2027,current_policies_20_week,MW,3698.5,3661.52
TEMOA,MISE,MISE_biomass_2,Other,2027,current_policies_20_week,MW,48.696,48.696
TEMOA,NYUP,NYUP_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,current_policies_20_week,MW,0,3349.04
TEMOA,NWPP,NWPP_conventional_hydroelectric_1,Hydro,2027,current_policies_20_week,MW,31765,31765
TEMOA,PJMC,PJMC_natural_gas_steam_turbine_1,Natural Gas,2027,current_policies_20_week,MW,44.2,44.2
TEMOA,MISW,MISW_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,479.1,474.31
TEMOA,MISS,MISS_distributed_generation_1,Distributed Solar,2027,current_policies_20_week,MW,1876,1875.99
TEMOA,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,9055.42,8964.87
TEMOA,NWPP,NWPP_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_20_week,MW,309.792,306.694
TEMOA,MISW,MISW_landbasedwind_class3_moderate_6_anyQual_1,Wind,2027,current_policies_20_week,MW,0,1167.39
TEMOA,NYUP,NYUP_natural_gas_steam_turbine_1,Natural Gas,2027,current_policies_20_week,MW,49.2,49.2
TEMOA,NWPP,NWPP_nuclear_1,Nuclear,2027,current_policies_20_week,MW,1172,1160.28
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2027,current_policies_20_week,MW,1822,1821.99
TEMOA,MISC,MISC_biomass_1,Other,2027,current_policies_20_week,MW,34.65,34.65
TEMOA,PJMD,PJMD_hydroelectric_pumped_storage_1,Hydro,2027,current_policies_20_week,MW,3003,2972.97
TEMOA,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,4573.4,4527.66
TEMOA,SPPC,SPPC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_20_week,MW,312.8,309.672
TEMOA,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,1872.09,1853.37
TEMOA,SRCE,SRCE_conventional_steam_coal_2,Coal,2027,current_policies_20_week,MW,518.301,513.118
TEMOA,RMRG,RMRG_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_20_week,MW,243.39,240.956
TEMOA,SRSE,SRSE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_20_week,MW,1336.3,1322.94
TEMOA,MISE,MISE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,current_policies_20_week,MW,0,15.4873
TEMOA,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_20_week,MW,17522.5,17347.3
TEMOA,SPPS,SPPS_hydroelectric_pumped_storage_1,Hydro,2027,current_policies_20_week,MW,474.006,469.266
TEMOA,TREW,TREW_petroleum_liquids_1,Other,2027,current_policies_20_week,MW,54,54
TEMOA,PJME,PJME_petroleum_liquids_1,Other,2027,current_policies_20_week,MW,738.684,731.297
TEMOA,SRCE,SRCE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_20_week,MW,5858.58,5799.99
TEMOA,NYUP,NYUP_biomass_2,Other,2027,current_policies_20_week,MW,31.017,31.017
TEMOA,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_20_week,MW,2426.79,2402.52
TEMOA,SRCE,SRCE_nuclear_1,Nuclear,2027,current_policies_20_week,MW,8431.3,8346.98
TEMOA,PJME,PJME_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,current_policies_20_week,MW,0,64.3737
TEMOA,NWPP,NWPP_biomass_2,Other,2027,current_policies_20_week,MW,75.348,75.348
TEMOA,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_20_week,MW,264.77,262.123
