region,marginal_price,total_demand
BASN,95.69367194349391,177158138.0
CASO,91.20961934674868,158791938.0
CANO,108.38824519200267,245898072.0
FRCC,82.95474420609004,334048179.0
ISNE,56.56254843222554,210413923.0
MISC,71.75906297627226,264171318.0
MISE,77.30903487674266,137137308.0
MISS,54.66087281842142,242486982.0
MISW,76.75071906374703,324181570.0
NWPP,137.6330799875006,300529644.0
NYCW,65.16387077659083,106442119.0
NYUP,-277.2136834805188,92400602.0
PJMC,77.67676793340421,152682741.0
PJMD,63.01376735051718,145712440.0
PJME,65.48122960879152,389826566.0
PJMW,71.63887963092846,412215498.0
RMRG,66.51055107554615,150676430.0
SPPC,66.27712282676522,108907378.0
SPPN,62.406542473825056,74985567.0
SPPS,53.17819031334401,177543457.0
SRCA,52.60305568606023,287884867.0
SRCE,75.6408687825884,285639456.0
SRSE,58.9422853222657,333542368.0
SRSG,83.13650519868284,204888767.0
TRE,101.59522779045783,555402906.0
TREW,89.65637900656559,26667903.0
