Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,104832.0,12.0,1.0
BASN_conventional_hydroelectric_1,1,4.8283461626598025e6,1419.0,0.38949633721089977
BASN_conventional_steam_coal_1,1,5.9813717788646985e6,728.0,0.9404956531493872
BASN_geothermal_1,1,489201.3954493943,56.0,0.9999701470299301
BASN_natural_gas_fired_combined_cycle_1,1,1.3001123195913439e6,735.0,0.2024794298035409
BASN_natural_gas_fired_combined_cycle_2,1,1.3745646388281707e7,6794.0,0.23159383771815648
BASN_natural_gas_fired_combustion_turbine_1,1,491351.5488551404,1383.0,0.04066844096346038
BASN_natural_gas_fired_combustion_turbine_2,1,222667.47234575695,236.0,0.10800208776936898
BASN_natural_gas_internal_combustion_engine_1,1,308141.2405648377,204.0,0.17290479364453024
BASN_onshore_wind_turbine_1,1,1.0220074474046646e6,520.0,0.2249769845829513
BASN_small_hydroelectric_1,1,1.240512e6,142.0,1.0
BASN_solar_photovoltaic_1,1,1.0656908707482873e7,4272.0,0.28555342661374494
CANO_biomass_1,2,270816.0000000377,31.0,1.0000000000001392
CANO_biomass_2,2,227136.00000003452,26.0,1.000000000000152
CANO_conventional_hydroelectric_1,2,1.4878333826262465e7,5619.0,0.3030977003525467
CANO_hydroelectric_pumped_storage_1,2,4.735469752771462e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,4.512294600987273e6,2492.0,0.2072701601621192
CANO_natural_gas_fired_combined_cycle_2,2,2.6423606431844957e7,8297.0,0.3645510694739636
CANO_natural_gas_fired_combustion_turbine_1,2,1.2493495741660267e6,1950.0,0.07333929593817663
CANO_natural_gas_fired_combustion_turbine_2,2,847851.4173060883,997.0,0.09734462284588292
CANO_natural_gas_internal_combustion_engine_1,2,750616.6185193331,434.0,0.19797749302619097
CANO_onshore_wind_turbine_1,2,105266.23543843254,62.0,0.19435010383144377
CANO_petroleum_liquids_1,2,31551.19370860804,151.0,0.023918074943453927
CANO_small_hydroelectric_1,2,1.712256e6,196.0,1.0
CANO_solar_photovoltaic_1,2,6.069236843362563e6,2502.0,0.2776733212039601
CASO_biomass_1,3,489216.0,56.0,1.0
CASO_conventional_hydroelectric_1,3,2.2911173616147265e6,919.0,0.28537715206630954
CASO_geothermal_1,3,209678.24633309155,24.0,1.0000679483988264
CASO_hydroelectric_pumped_storage_1,3,3.414736444848611e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,2.585152874245871e6,1080.0,0.2739995499938389
CASO_natural_gas_fired_combined_cycle_2,3,2.437081257507538e7,7482.0,0.37285475028767734
