model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2027,20-week-myopic-current-policy,MWh,335458
USENSYS,BASN,BASN_batteries_1,Battery,2030,20-week-myopic-current-policy,MWh,376394
USENSYS,BASN,BASN_batteries_1,Battery,2035,20-week-myopic-current-policy,MWh,628271
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,20-week-myopic-current-policy,MWh,3946335
USENSYS,BASN,BASN_battery_moderate_0,Battery,2045,20-week-myopic-current-policy,MWh,3943453
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,20-week-myopic-current-policy,MWh,3972691
USENSYS,BASN,BASN_biomass_1,Other,2027,20-week-myopic-current-policy,MWh,50032
USENSYS,BASN,BASN_biomass_1,Other,2030,20-week-myopic-current-policy,MWh,52659
USENSYS,BASN,BASN_biomass_1,Other,2035,20-week-myopic-current-policy,MWh,57129
USENSYS,BASN,BASN_biomass_1,Other,2040,20-week-myopic-current-policy,MWh,53064
USENSYS,BASN,BASN_biomass_1,Other,2045,20-week-myopic-current-policy,MWh,54089
USENSYS,BASN,BASN_biomass_1,Other,2050,20-week-myopic-current-policy,MWh,27810
USENSYS,BASN,BASN_biomass_2,Other,2027,20-week-myopic-current-policy,MWh,178535
USENSYS,BASN,BASN_biomass_2,Other,2030,20-week-myopic-current-policy,MWh,176463
USENSYS,BASN,BASN_biomass_2,Other,2035,20-week-myopic-current-policy,MWh,136329
USENSYS,BASN,BASN_biomass_2,Other,2040,20-week-myopic-current-policy,MWh,127330
USENSYS,BASN,BASN_biomass_2,Other,2045,20-week-myopic-current-policy,MWh,145350
USENSYS,BASN,BASN_biomass_2,Other,2050,20-week-myopic-current-policy,MWh,102648
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,20-week-myopic-current-policy,MWh,8670814
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,20-week-myopic-current-policy,MWh,8581643
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2035,20-week-myopic-current-policy,MWh,8840980
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,20-week-myopic-current-policy,MWh,5866445
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2045,20-week-myopic-current-policy,MWh,5654239
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,20-week-myopic-current-policy,MWh,5114731
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2027,20-week-myopic-current-policy,MWh,9236380
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2030,20-week-myopic-current-policy,MWh,8936336
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2035,20-week-myopic-current-policy,MWh,9014086
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,20-week-myopic-current-policy,MWh,5297798
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2045,20-week-myopic-current-policy,MWh,6178424
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,20-week-myopic-current-policy,MWh,6200042
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2027,20-week-myopic-current-policy,MWh,14828534
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2030,20-week-myopic-current-policy,MWh,14428584
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2035,20-week-myopic-current-policy,MWh,14481940
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,20-week-myopic-current-policy,MWh,10034325
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2045,20-week-myopic-current-policy,MWh,4015217
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2027,20-week-myopic-current-policy,MWh,2801618
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,20-week-myopic-current-policy,MWh,3854614
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2035,20-week-myopic-current-policy,MWh,4668654
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,20-week-myopic-current-policy,MWh,4533289
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2045,20-week-myopic-current-policy,MWh,4447682
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,20-week-myopic-current-policy,MWh,4529241
USENSYS,BASN,BASN_geothermal_1,Geothermal,2027,20-week-myopic-current-policy,MWh,4036032
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,20-week-myopic-current-policy,MWh,3782688
USENSYS,BASN,BASN_geothermal_1,Geothermal,2035,20-week-myopic-current-policy,MWh,3616704
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,20-week-myopic-current-policy,MWh,2507232
USENSYS,BASN,BASN_geothermal_1,Geothermal,2045,20-week-myopic-current-policy,MWh,1327872
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,20-week-myopic-current-policy,MWh,489216
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic-current-policy,MWh,20152995
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,20-week-myopic-current-policy,MWh,29955779
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,20-week-myopic-current-policy,MWh,29267940
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,20-week-myopic-current-policy,MWh,29267940
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,20-week-myopic-current-policy,MWh,28884818
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,20-week-myopic-current-policy,MWh,28884818
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic-current-policy,MWh,30615852
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2030,20-week-myopic-current-policy,MWh,30615852
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2035,20-week-myopic-current-policy,MWh,29647808
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2040,20-week-myopic-current-policy,MWh,29647808
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2045,20-week-myopic-current-policy,MWh,29328914
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2050,20-week-myopic-current-policy,MWh,29328914
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2040,20-week-myopic-current-policy,MWh,2575162
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2045,20-week-myopic-current-policy,MWh,2542599
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2050,20-week-myopic-current-policy,MWh,2542599
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-myopic-current-policy,MWh,7084598
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-myopic-current-policy,MWh,23540939
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-myopic-current-policy,MWh,23328031
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-myopic-current-policy,MWh,23328031
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,20-week-myopic-current-policy,MWh,97864
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,20-week-myopic-current-policy,MWh,180924
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2035,20-week-myopic-current-policy,MWh,1040126
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,20-week-myopic-current-policy,MWh,1040636
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2045,20-week-myopic-current-policy,MWh,663306
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,20-week-myopic-current-policy,MWh,373356
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,20-week-myopic-current-policy,MWh,12522337
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,20-week-myopic-current-policy,MWh,13334956
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2035,20-week-myopic-current-policy,MWh,26033164
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2040,20-week-myopic-current-policy,MWh,20566711
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2045,20-week-myopic-current-policy,MWh,13636006
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2050,20-week-myopic-current-policy,MWh,7034245
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2035,20-week-myopic-current-policy,MWh,103155
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,20-week-myopic-current-policy,MWh,232176
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2045,20-week-myopic-current-policy,MWh,137763
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,20-week-myopic-current-policy,MWh,97583
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2035,20-week-myopic-current-policy,MWh,24544
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,20-week-myopic-current-policy,MWh,36344
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2045,20-week-myopic-current-policy,MWh,40198
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2050,20-week-myopic-current-policy,MWh,19116
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2035,20-week-myopic-current-policy,MWh,49924
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2040,20-week-myopic-current-policy,MWh,79109
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2045,20-week-myopic-current-policy,MWh,72430
