model,line_name,planning_year,case,unit,value
USENSYS,BASN_to_CANO,2027,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_CASO,2027,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_NWPP,2027,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_RMRG,2027,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_SRSG,2027,20-week-myopic-current-policy,MW,0
USENSYS,CANO_to_CASO,2027,20-week-myopic-current-policy,MW,0
USENSYS,CANO_to_NWPP,2027,20-week-myopic-current-policy,MW,0
USENSYS,CASO_to_NWPP,2027,20-week-myopic-current-policy,MW,0
USENSYS,CASO_to_SRSG,2027,20-week-myopic-current-policy,MW,0
USENSYS,FRCC_to_SRSE,2027,20-week-myopic-current-policy,MW,0
USENSYS,ISNE_to_NYCW,2027,20-week-myopic-current-policy,MW,0
USENSYS,ISNE_to_NYUP,2027,20-week-myopic-current-policy,MW,2883
USENSYS,MISC_to_MISS,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_MISW,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_PJMC,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_PJMW,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SPPC,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SPPS,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SRCE,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISE_to_PJMW,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SPPS,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SRCE,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SRSE,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISW_to_NWPP,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISW_to_PJMC,2027,20-week-myopic-current-policy,MW,0
USENSYS,MISW_to_SPPN,2027,20-week-myopic-current-policy,MW,0
USENSYS,NWPP_to_RMRG,2027,20-week-myopic-current-policy,MW,0
USENSYS,NYCW_to_NYUP,2027,20-week-myopic-current-policy,MW,2141
USENSYS,NYCW_to_PJME,2027,20-week-myopic-current-policy,MW,1505
USENSYS,NYUP_to_PJME,2027,20-week-myopic-current-policy,MW,0
USENSYS,PJMC_to_PJMW,2027,20-week-myopic-current-policy,MW,0
USENSYS,PJMD_to_PJME,2027,20-week-myopic-current-policy,MW,0
USENSYS,PJMD_to_PJMW,2027,20-week-myopic-current-policy,MW,0
USENSYS,PJMD_to_SRCA,2027,20-week-myopic-current-policy,MW,0
USENSYS,PJME_to_PJMW,2027,20-week-myopic-current-policy,MW,0
