Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,70761.60000000114,8.1,1.0000000000000162
BASN_biomass_2,1,145017.59999999404,16.6,0.9999999999999588
BASN_conventional_hydroelectric_1,1,5.020536551120627e6,1697.6,0.33853388196937284
BASN_conventional_steam_coal_1,1,23698.613201640605,728.2,0.003725286106397474
BASN_conventional_steam_coal_2,1,52029.70066298593,1363.0,0.004369611704729951
BASN_geothermal_1,1,2.235157390371002e6,287.4,0.8902433137959604
BASN_natural_gas_fired_combined_cycle_1,1,547322.4208449365,735.2,0.08521677912468693
BASN_natural_gas_fired_combined_cycle_2,1,8.705892076844357e6,6794.0,0.14668142187589897
BASN_natural_gas_fired_combustion_turbine_1,1,160068.71719232574,1824.7,0.010041587271328619
BASN_natural_gas_fired_combustion_turbine_2,1,31328.15733510099,236.2,0.015182466537048847
BASN_natural_gas_internal_combustion_engine_1,1,133422.98307929956,221.4,0.06898273426890668
BASN_natural_gas_steam_turbine_1,1,1979.198221529165,5.0,0.04531131459544792
BASN_onshore_wind_turbine_1,1,2.0858953674620911e6,1454.0,0.16421600695615568
BASN_petroleum_liquids_1,1,336.3812227545389,13.6,0.002831262985100016
BASN_small_hydroelectric_1,1,1.4161055999999738e6,162.1,0.9999999999999815
BASN_solar_photovoltaic_1,1,1.8032793985450827e7,7934.0,0.26017058869618415
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,268195.1999999892,30.7,0.9999999999999596
CANO_biomass_2,2,324105.6000000025,37.1,1.0000000000000078
CANO_conventional_hydroelectric_1,2,1.7462713572718687e7,6903.7,0.2895457498463339
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.120587315633433e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,900900.4096485602,3112.8,0.03312935199563271
CANO_natural_gas_fired_combined_cycle_2,2,1.0415132974498633e7,8296.9,0.1436932402322657
CANO_natural_gas_fired_combustion_turbine_1,2,44315.48325910789,1999.7,0.0025367520363349765
CANO_natural_gas_fired_combustion_turbine_2,2,76424.90931490643,1502.8,0.005821315269106522
CANO_natural_gas_internal_combustion_engine_1,2,258160.41088963623,444.4,0.0664971401560579
CANO_natural_gas_steam_turbine_1,2,1061.8915874936743,2.9,0.04191500834808301
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.0512371541419637e6,698.0,0.17239817094858342
CANO_petroleum_liquids_1,2,687.260049499813,169.6,0.00046385540955813203
CANO_small_hydroelectric_1,2,1.862515200000068e6,213.2,1.0000000000000364
CANO_solar_photovoltaic_1,2,1.4800193914950097e7,6287.4,0.26945341339239354
CASO_batteries_1,3,143797.48860527508,84.0,0.0
CASO_biomass_1,3,665683.2000000074,76.2,1.000000000000011
CASO_biomass_2,3,86486.40000000138,9.9,1.0000000000000158
CASO_conventional_hydroelectric_1,3,2.218131859518274e6,955.0,0.26587124104844784
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,181167.03609188437,23.6,0.8787281737554147
CASO_hydroelectric_pumped_storage_1,3,4.686329499095569e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,668291.5198820721,1986.9,0.03850147033825173
CASO_natural_gas_fired_combined_cycle_2,3,1.0450778037612699e7,7481.6,0.15989744102620743
CASO_natural_gas_fired_combustion_turbine_1,3,108914.77966061441,1461.5,0.008530517380518033
CASO_natural_gas_fired_combustion_turbine_2,3,626873.9016164279,3953.4,0.018150843244599372
CASO_natural_gas_internal_combustion_engine_1,3,48161.38810635025,50.2,0.10982030692785233
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,9.786365957137967e6,3464.4,0.3233559053199212
CASO_petroleum_liquids_1,3,299.3470345520791,7.8,0.004393066041961337
CASO_small_hydroelectric_1,3,588806.3999999758,67.4,0.9999999999999588
CASO_solar_photovoltaic_1,3,3.121304719401696e7,13757.0,0.2597166583493638
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,283046.40000000456,32.4,1.0000000000000162
FRCC_biomass_2,4,802838.3999999687,91.9,0.999999999999961
FRCC_conventional_hydroelectric_1,4,111364.10016431697,43.5,0.2930510824920976
FRCC_conventional_steam_coal_1,4,678.575418505249,2549.0,3.0473031625257095e-5
FRCC_conventional_steam_coal_2,4,391.8034814938619,442.0,0.00010146900366866544
FRCC_natural_gas_fired_combined_cycle_1,4,2.130687508890696e7,28738.2,0.0848687042614748
FRCC_natural_gas_fired_combined_cycle_2,4,9409.100544718323,2335.7,0.0004611247399183459
FRCC_natural_gas_fired_combustion_turbine_1,4,8032.680419595118,7768.4,0.0001183630871572441
FRCC_natural_gas_fired_combustion_turbine_2,4,728.7014748617779,887.7,9.396601370306917e-5
FRCC_natural_gas_internal_combustion_engine_1,4,181847.2103445259,250.9,0.08296470177348993
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,2.9949169388368532e7,3737.0,0.9173795589168376
FRCC_petroleum_liquids_1,4,319.3306071990831,149.7,0.00024417776884590544
FRCC_solar_photovoltaic_1,4,1.7847533623942755e7,9409.8,0.2171126811943511
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,29702.399999998885,3.4,0.9999999999999625
ISNE_biomass_2,5,471744.0,54.0,1.0
ISNE_conventional_hydroelectric_1,5,1.8937259327970627e6,516.7,0.41953291492649675
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.493459096059485e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.0308835609945582e6,3166.3,0.03726875868574249
ISNE_natural_gas_fired_combined_cycle_2,5,8.52457686635993e6,10513.3,0.09281563676198457
ISNE_natural_gas_fired_combustion_turbine_1,5,198533.4678478356,1338.4,0.016979901840710965
ISNE_natural_gas_fired_combustion_turbine_2,5,32288.220047950414,389.8,0.009481774973344558
ISNE_natural_gas_internal_combustion_engine_1,5,32078.25945164151,54.9,0.06688455252398948
ISNE_natural_gas_steam_turbine_1,5,4844.115154571105,17.2,0.032238393087219326
ISNE_nuclear_1,5,2.6200782806998648e7,3355.5,0.893808331429737
ISNE_offshore_wind_turbine_1,5,99273.9536337303,29.3,0.38784220968559074
ISNE_onshore_wind_turbine_1,5,2.3450420829584533e6,1240.7,0.21635714062058098
ISNE_petroleum_liquids_1,5,24622.042146411597,822.1,0.0034283629794480694
ISNE_small_hydroelectric_1,5,1.98132479999993e6,226.8,0.9999999999999646
ISNE_solar_photovoltaic_1,5,4.633942932336697e6,2679.1,0.19799267868989653
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,311001.60000000044,35.6,1.0000000000000016
MISC_biomass_2,6,362544.0,41.5,1.0
MISC_conventional_hydroelectric_1,6,829291.3069812582,279.5,0.33963518505919543
MISC_conventional_steam_coal_1,6,584.7632841127726,1067.0,6.273401041750051e-5
MISC_conventional_steam_coal_2,6,693.7590781713668,6872.7,1.1554965863960677e-5
MISC_hydroelectric_pumped_storage_1,6,1.366283729662602e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,432842.17884073354,1583.6,0.03128754275456424
MISC_natural_gas_fired_combined_cycle_2,6,3.133180730896839e6,3192.5,0.11234193905763132
MISC_natural_gas_fired_combustion_turbine_1,6,58864.177079328525,457.6,0.014724902771339369
MISC_natural_gas_fired_combustion_turbine_2,6,299208.15311006294,8900.4,0.003848143625717389
MISC_natural_gas_internal_combustion_engine_1,6,14807.430219175161,35.7,0.047478703722435
MISC_natural_gas_steam_turbine_1,6,1133.2669441643136,98.4,0.0013183310999856607
MISC_nuclear_1,6,1.7351987527270563e7,2373.0,0.8370258358721284
MISC_onshore_wind_turbine_1,6,1.1873450826799793e7,5586.8,0.2432770876835885
MISC_petroleum_liquids_1,6,613.8550142257307,208.2,0.00033749897419278594
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,7.70394411027577e6,3922.2,0.22483854322443111
MISE_batteries_1,7,0.0,0.0,0.0
MISE_biomass_1,7,269068.8000000109,30.8,1.0000000000000404
MISE_biomass_2,7,412339.1999999841,47.2,0.9999999999999615
MISE_conventional_hydroelectric_1,7,0.0,0.0,0.0
MISE_conventional_steam_coal_1,7,546.5232812909492,2.3,0.027199956267466418
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,5.396166005063166e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,2.409643856828949e6,6017.4,0.04583860073546462
MISE_natural_gas_fired_combined_cycle_2,7,150313.376558564,699.2,0.024608411797968608
MISE_natural_gas_fired_combustion_turbine_1,7,3679.482291547041,420.6,0.0010013936275479912
MISE_natural_gas_fired_combustion_turbine_2,7,100848.32202315323,3971.5,0.0029067085246331933
MISE_natural_gas_internal_combustion_engine_1,7,47442.79151838789,90.6,0.05994174914285802
MISE_natural_gas_steam_turbine_1,7,1484.4895812873194,8.2,0.020722906912904824
MISE_nuclear_1,7,9.153784870848568e6,1161.0,0.9025179670614184
MISE_onshore_wind_turbine_1,7,8.203648718462678e6,3494.3,0.26874119374520733
MISE_petroleum_liquids_1,7,378.03759223811295,28.7,0.001507788637980502
MISE_small_hydroelectric_1,7,99590.40000000288,11.4,1.0000000000000289
MISE_solar_photovoltaic_1,7,2.1585451881264504e6,1181.0,0.20921779558811704
MISS_batteries_1,8,0.0,0.0,0.0
MISS_biomass_1,8,23587.199999999062,2.7,0.9999999999999603
MISS_biomass_2,8,350313.6000000061,40.1,1.0000000000000173
MISS_conventional_hydroelectric_1,8,1.0947259975368034e6,521.4,0.24033763299306254
MISS_conventional_steam_coal_1,8,516.3595006728829,1574.4,3.7542610327575426e-5
MISS_conventional_steam_coal_2,8,659.4531760971529,4521.1,1.6696568586898586e-5
MISS_natural_gas_fired_combined_cycle_1,8,1.515702279962102e7,17522.5,0.09901596168362432
MISS_natural_gas_fired_combined_cycle_2,8,101728.61919672215,2203.2,0.005285384678392481
MISS_natural_gas_fired_combustion_turbine_1,8,69939.91639879635,4088.5999999999995,0.001958113489022534
MISS_natural_gas_fired_combustion_turbine_2,8,10322.563784308884,750.2,0.001575062856301336
MISS_natural_gas_internal_combustion_engine_1,8,68411.02389139112,107.8,0.07264315604823654
MISS_natural_gas_steam_turbine_1,8,778.1042046101783,30.0,0.002968956824672536
MISS_natural_gas_steam_turbine_2,8,0.0,0.0,0.0
MISS_nuclear_1,8,4.075301934931365e7,5426.0,0.8597404807581266
MISS_onshore_wind_turbine_1,8,280214.9172229749,184.5,0.17385302645935388
MISS_petroleum_liquids_1,8,240.9736262590209,39.3,0.0007018823756950297
MISS_small_hydroelectric_1,8,22713.600000000482,2.6,1.0000000000000213
MISS_solar_photovoltaic_1,8,4.366793512238381e6,2207.9,0.22639698116578283
MISW_batteries_1,9,0.0,0.0,0.0
MISW_biomass_1,9,490963.1999999826,56.2,0.9999999999999646
MISW_biomass_2,9,89107.2000000036,10.2,1.0000000000000406
MISW_conventional_hydroelectric_1,9,211584.06227626358,82.0,0.29536326034723653
MISW_conventional_steam_coal_1,9,487949.38954948104,9226.2,0.006053956400251966
MISW_conventional_steam_coal_2,9,225.81715814153745,330.9,7.811735772151038e-5
MISW_natural_gas_fired_combined_cycle_1,9,423474.8449972561,1110.1,0.04366695310149023
MISW_natural_gas_fired_combined_cycle_2,9,6.227079004957424e6,7024.6,0.10147291840893184
MISW_natural_gas_fired_combustion_turbine_1,9,4290.021584419994,316.1,0.0015535397004602198
MISW_natural_gas_fired_combustion_turbine_2,9,617529.9721899866,5391.8,0.013110270168047262
MISW_natural_gas_fired_combustion_turbine_3,9,105798.92061561359,598.3,0.020241822338126065
MISW_natural_gas_internal_combustion_engine_1,9,467212.95234929334,683.2,0.07828064420458034
MISW_natural_gas_steam_turbine_1,9,11371.975515430888,48.0,0.027119523417064653
MISW_nuclear_1,9,2.0556674264716532e7,2928.1,0.8036266385500601
MISW_onshore_wind_turbine_1,9,4.159735732551429e7,16193.999999999998,0.29403496714568494
MISW_petroleum_liquids_1,9,8847.191988915578,778.0,0.0013017069674925458
MISW_small_hydroelectric_1,9,3.3030815999998725e6,378.1,0.9999999999999613
MISW_solar_photovoltaic_1,9,5.705436460779193e6,3131.6,0.20854988918273445
NWPP_batteries_1,10,0.0,0.0,0.0
NWPP_biomass_1,10,253344.0,29.0,1.0
NWPP_biomass_2,10,323232.0,37.0,1.0
NWPP_conventional_hydroelectric_1,10,1.3163876521757594e8,31047.7,0.48533514477849793
NWPP_conventional_steam_coal_1,10,286486.55506227486,1481.5,0.022135531990263527
NWPP_conventional_steam_coal_2,10,23687.53246240121,147.5,0.01838294876637581
NWPP_geothermal_1,10,163840.18543942942,21.6,0.8682685176675772
NWPP_hydroelectric_pumped_storage_1,10,913490.6668854335,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,3.917709944444179e6,2382.0,0.18826860145210045
NWPP_natural_gas_fired_combined_cycle_2,10,5.0933014609871665e6,4016.1999999999994,0.1451681775401647
NWPP_natural_gas_fired_combustion_turbine_1,10,110169.38405544998,724.5,0.01740643794625477
NWPP_natural_gas_fired_combustion_turbine_2,10,0.0,0.0,0.0
NWPP_natural_gas_internal_combustion_engine_1,10,223013.39339764652,309.8,0.08240183958546402
NWPP_natural_gas_steam_turbine_1,10,1860.5392732463447,3.0,0.07099127263607848
NWPP_nuclear_1,10,8.12352227297339e6,1172.0,0.7934218174699598
NWPP_onshore_wind_turbine_1,10,9.229919715488905e6,4088.3,0.2584297700684391
NWPP_petroleum_liquids_1,10,979.1133792148923,15.3,0.007325359261764798
NWPP_small_hydroelectric_1,10,3.584380800000127e6,410.3,1.0000000000000353
NWPP_solar_photovoltaic_1,10,3.109687760230846e6,1628.1,0.21863670951805875
NYCW_batteries_1,11,0.0,0.0,0.0
NYCW_biomass_1,11,0.0,0.0,0.0
NYCW_biomass_2,11,11356.800000000241,1.3,1.0000000000000213
NYCW_natural_gas_fired_combined_cycle_1,11,1.9961442177405453e6,1504.6,0.1518651880372524
NYCW_natural_gas_fired_combined_cycle_2,11,2.3172095494992356e6,2828.4,0.09378035138862484
NYCW_natural_gas_fired_combustion_turbine_1,11,0.0,0.0,0.0
NYCW_natural_gas_fired_combustion_turbine_2,11,178379.86684355215,1084.3,0.01883144960037689
NYCW_natural_gas_fired_combustion_turbine_3,11,303553.1221266788,1010.8999999999999,0.03437271856347756
NYCW_natural_gas_internal_combustion_engine_1,11,37454.87434727313,37.4,0.11463681645337852
NYCW_natural_gas_steam_turbine_1,11,0.0,0.0,0.0
NYCW_petroleum_liquids_1,11,9299.494120815554,286.4,0.00371683845022569
NYCW_solar_photovoltaic_1,11,207650.5363597407,157.3,0.15110947936077668
NYUP_batteries_1,12,0.0,0.0,0.0
NYUP_biomass_1,12,516297.60000002047,59.1,1.0000000000000395
NYUP_biomass_2,12,0.0,0.0,0.0
NYUP_conventional_hydroelectric_1,12,1.7198915389130775e7,3443.1,0.5717929524817398
NYUP_hydroelectric_pumped_storage_1,12,3.638178867106054e6,1406.7,0.0
NYUP_natural_gas_fired_combined_cycle_1,12,5.83844586945092e6,6565.9,0.1017865439526918
NYUP_natural_gas_fired_combined_cycle_2,12,377484.9271330579,1836.7,0.023526036349449112
NYUP_natural_gas_fired_combustion_turbine_1,12,0.0,0.0,0.0
NYUP_natural_gas_fired_combustion_turbine_2,12,7498.471708590535,51.9,0.01653837267310722
NYUP_natural_gas_internal_combustion_engine_1,12,16509.03159993434,18.5,0.1021497351743289
NYUP_natural_gas_steam_turbine_1,12,9011.633374681447,49.2,0.020966492670924923
NYUP_nuclear_1,12,2.6167358963924892e7,3358.3,0.8919238503855058
NYUP_onshore_wind_turbine_1,12,4.224514731677015e6,2115.0,0.2286408530813511
NYUP_petroleum_liquids_1,12,1781.003322473316,60.3,0.003380919202965097
NYUP_small_hydroelectric_1,12,3.105648e6,355.5,1.0
NYUP_solar_photovoltaic_1,12,3.0254101541649327e6,1742.8,0.19871199500793668
PJMC_batteries_1,13,0.0,0.0,0.0
PJMC_biomass_1,13,15724.800000000616,1.8,1.000000000000039
PJMC_biomass_2,13,76003.20000000313,8.7,1.0000000000000413
PJMC_conventional_hydroelectric_1,13,29441.075040096308,11.2,0.3009005739805762
PJMC_conventional_steam_coal_1,13,0.0,0.0,0.0
PJMC_conventional_steam_coal_2,13,0.0,0.0,0.0
PJMC_natural_gas_fired_combined_cycle_1,13,6.7161441828101035e6,4843.4,0.1587292807150849
PJMC_natural_gas_fired_combined_cycle_2,13,8304.53772470299,195.0,0.004874928221977429
PJMC_natural_gas_fired_combustion_turbine_1,13,14719.2804099115,87.0,0.01936665878530312
PJMC_natural_gas_fired_combustion_turbine_2,13,369111.41349812027,8523.9,0.004956858288533103
PJMC_natural_gas_internal_combustion_engine_1,13,85344.84851059104,111.4,0.0876959416272407
PJMC_natural_gas_steam_turbine_1,13,256.9638797951795,44.2,0.0006654833377752937
PJMC_nuclear_1,13,8.154565970176397e7,10898.1,0.856519858362959
PJMC_onshore_wind_turbine_1,13,5.616823047742154e6,2538.5,0.253280030016778
PJMC_petroleum_liquids_1,13,436.4992242852085,49.9,0.001001314038987335
PJMC_small_hydroelectric_1,13,77750.40000000011,8.9,1.0000000000000016
PJMC_solar_photovoltaic_1,13,554847.291109515,335.1,0.18953368954620012
PJMD_batteries_1,14,0.0,0.0,0.0
PJMD_biomass_1,14,257712.0,29.5,1.0
PJMD_biomass_2,14,44553.6000000018,5.1,1.0000000000000406
PJMD_conventional_hydroelectric_1,14,602352.8181027604,613.1,0.11246231136493792
PJMD_conventional_steam_coal_1,14,0.0,0.0,0.0
PJMD_conventional_steam_coal_2,14,44820.949359053346,881.0,0.005823613141370391
PJMD_hydroelectric_pumped_storage_1,14,7.664174017294475e6,3003.0,0.0
PJMD_natural_gas_fired_combined_cycle_1,14,8.058827112900326e6,6969.3,0.13236405213789013
PJMD_natural_gas_fired_combined_cycle_2,14,266324.11719300726,730.0,0.041761396268159355
PJMD_natural_gas_fired_combustion_turbine_1,14,81057.35123374603,1484.0,0.006252387434353651
PJMD_natural_gas_fired_combustion_turbine_2,14,10068.209586083301,59.5,0.01936968938745364
PJMD_natural_gas_fired_combustion_turbine_3,14,197098.76921140583,2240.0,0.010072175133857325
PJMD_natural_gas_internal_combustion_engine_1,14,2793.338655269761,2.3,0.13902187128074542
PJMD_natural_gas_steam_turbine_1,14,1264.1301570012354,2.4,0.06029314317199115
PJMD_nuclear_1,14,2.952022815523578e7,3708.0,0.9113125662868504
PJMD_onshore_wind_turbine_1,14,323733.37350112887,208.0,0.17816053680456248
PJMD_petroleum_liquids_1,14,573.657013278414,35.4,0.0018549679916548122
PJMD_small_hydroelectric_1,14,33196.80000000102,3.8,1.0000000000000309
PJMD_solar_photovoltaic_1,14,9.980486314441146e6,4753.6,0.2403346800869068
PJME_batteries_1,15,0.0,0.0,0.0
PJME_biomass_1,15,585312.0,67.0,1.0
PJME_biomass_2,15,141523.20000000228,16.2,1.0000000000000162
PJME_conventional_hydroelectric_1,15,1.6824965133792362e6,579.1,0.3325737616289843
PJME_conventional_steam_coal_1,15,137568.2216051008,1794.0,0.00877774699784671
PJME_conventional_steam_coal_2,15,33646.51666868831,563.9,0.006830073694622223
