Region_description,Network_zones,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16
BASN,z1,,,,,,,,,,,,,,,,
CANO,z2,,,,,,,,,,,,,,,,
CASO,z3,,,,,,,,,,,,,,,,
FRCC,z4,,,,,,,,,,,,,,,,
ISNE,z5,,,,,,,,,,,,,,,,
MISC,z6,,,,,,,,,,,,,,,,
MISE,z7,,,,,,,,,,,,,,,,
MISS,z8,,,,,,,,,,,,,,,,
MISW,z9,,,,,,,,,,,,,,,,
NWPP,z10,,,,,,,,,,,,,,,,
NYCW,z11,,,,,,,,,,,,,,,,
NYUP,z12,,,,,,,,,,,,,,,,
PJMC,z13,,,,,,,,,,,,,,,,
PJMD,z14,,,,,,,,,,,,,,,,
PJME,z15,,,,,,,,,,,,,,,,
PJMW,z16,,,,,,,,,,,,,,,,
RMRG,z17,,,,,,,,,,,,,,,,
SPPC,z18,,,,,,,,,,,,,,,,
SPPN,z19,,,,,,,,,,,,,,,,
SPPS,z20,,,,,,,,,,,,,,,,
SRCA,z21,,,,,,,,,,,,,,,,
SRCE,z22,,,,,,,,,,,,,,,,
SRSE,z23,,,,,,,,,,,,,,,,
SRSG,z24,,,,,,,,,,,,,,,,
TRE,z25,,,,,,,,,,,,,,,,
TREW,z26,,,,,,,,,,,,,,,,
