Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,786207.4499704478,935.8,0.0
BASN_biomass_2,1,179437.44000000617,20.54,1.0000000000000344
BASN_conventional_hydroelectric_1,1,7.800319297356937e6,2489.6,0.3586494587335393
BASN_conventional_steam_coal_1,1,574.415224060356,1178.2,5.580772231524131e-5
BASN_conventional_steam_coal_2,1,598.9236334382343,1822.0,3.76279408470039e-5
BASN_geothermal_1,1,3.52666791202456e6,432.47,0.93346052037883
BASN_natural_gas_fired_combined_cycle_1,1,96068.98542801119,925.2,0.011885978893882758
BASN_natural_gas_fired_combined_cycle_2,1,8.889853504529446e6,7294.0,0.13951349546998096
BASN_natural_gas_fired_combustion_turbine_1,1,755.7362330247802,1946.8,4.443613541828834e-5
BASN_natural_gas_fired_combustion_turbine_2,1,776.43785515203,236.2,0.00037628264017736476
BASN_natural_gas_internal_combustion_engine_1,1,11522.717419485269,221.4,0.005957508485113293
BASN_natural_gas_steam_turbine_1,1,348.3425900976412,242.5,0.00016443043601905197
BASN_onshore_wind_turbine_1,1,3.456043358501158e6,2030.1,0.19487185793940606
BASN_petroleum_liquids_1,1,164.70145303560574,25.8,0.0007307437327658061
BASN_small_hydroelectric_1,1,1.51071647999995e6,172.93,0.9999999999999669
BASN_solar_photovoltaic_1,1,1.9545765972872205e7,8006.2,0.279456126013446
CANO_batteries_1,2,3.4885039488998703e6,2650.6,0.0
CANO_biomass_1,2,1.2895209599999294e6,147.61,0.9999999999999453
CANO_biomass_2,2,624449.2800000049,71.48,1.000000000000008
CANO_conventional_hydroelectric_1,2,1.7976400654412325e7,6972.7,0.295113538535708
CANO_hydroelectric_pumped_storage_1,2,5.071467657787047e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,16423.50670202777,3112.8,0.0006039514786616243
CANO_natural_gas_fired_combined_cycle_2,2,1.4175551788588727e7,8296.9,0.19557416823865928
CANO_natural_gas_fired_combustion_turbine_1,2,937.4551723712597,2248.7,4.772065151945645e-5
CANO_natural_gas_fired_combustion_turbine_2,2,988.60050972971,2421.2,4.6738798018379526e-5
CANO_natural_gas_internal_combustion_engine_1,2,4215.4568853014525,444.4,0.0010858203485101564
CANO_onshore_wind_turbine_1,2,2.2723825429164227e6,1442.0,0.18038630327774868
CANO_petroleum_liquids_1,2,244.5598145134114,177.3,0.00015789331225079706
CANO_small_hydroelectric_1,2,1.8843552000000684e6,215.7,1.0000000000000364
CANO_solar_photovoltaic_1,2,1.512772769084192e7,6328.3,0.27363649175368926
CASO_batteries_1,3,1.1025947411407914e7,8920.3,0.0
CASO_biomass_1,3,1.0243833600000296e6,117.26,1.0000000000000286
CASO_biomass_2,3,107365.44000000521,12.29,1.0000000000000484
CASO_conventional_hydroelectric_1,3,2.28515719494458e6,971.0,0.2693917087931634
CASO_geothermal_1,3,185811.2987911347,23.67,0.898589285091089
CASO_hydroelectric_pumped_storage_1,3,3.8282365550751677e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,30936.089398510197,2104.9,0.0016823692453583252
CASO_natural_gas_fired_combined_cycle_2,3,2.012196260713273e7,7481.6,0.307867061928389
CASO_natural_gas_fired_combustion_turbine_1,3,1019.0711916860506,1872.1,6.231073239956987e-5
CASO_natural_gas_fired_combustion_turbine_2,3,1231.125078153488,4573.4,3.081416226775961e-5
CASO_natural_gas_internal_combustion_engine_1,3,15167.193218277962,50.2,0.03458508734813028
CASO_onshore_wind_turbine_1,3,1.1607586835742468e7,3944.9,0.3368164679234404
CASO_petroleum_liquids_1,3,181.98742623238513,14.1,0.0014774392927966215
CASO_small_hydroelectric_1,3,588631.6800000181,67.38,1.0000000000000309
CASO_solar_photovoltaic_1,3,3.1385337559363402e7,13797.4,0.2603855763689051
FRCC_batteries_1,4,657114.8093571352,555.2,0.0
FRCC_biomass_1,4,470346.23999997834,53.84,0.999999999999954
FRCC_biomass_2,4,995467.2000000387,113.95,1.0000000000000389
FRCC_conventional_hydroelectric_1,4,113331.24060369431,43.5,0.29822754990235756
FRCC_conventional_steam_coal_1,4,573.9457401629415,3135.0,2.095659239017348e-5
FRCC_conventional_steam_coal_2,4,255.55266010702934,442.0,6.618285704626546e-5
FRCC_natural_gas_fired_combined_cycle_1,4,2.33935428672276e7,29926.2,0.08948120001588064
FRCC_natural_gas_fired_combined_cycle_2,4,3481.387360116951,2698.7,0.00014766756508276027
FRCC_natural_gas_fired_combustion_turbine_1,4,5515.206891103818,7864.4,8.027560527637332e-5
FRCC_natural_gas_fired_combustion_turbine_2,4,553.5970445483744,938.9,6.749347647541995e-5
FRCC_natural_gas_internal_combustion_engine_1,4,208395.61468381624,250.9,0.09507696043502376
FRCC_natural_gas_steam_turbine_1,4,436.7167436037545,232.0,0.00021547616265026726
FRCC_nuclear_1,4,3.0802059346241582e7,3737.0,0.9435046177861515
FRCC_petroleum_liquids_1,4,216.3741490842411,451.6,5.484522397274108e-5
FRCC_solar_photovoltaic_1,4,1.8547163872473408e7,9458.5,0.22446189010942305
ISNE_batteries_1,5,356863.08044151776,366.4,0.0
ISNE_biomass_1,5,355729.92000000784,40.72,1.000000000000022
ISNE_biomass_2,5,980965.44000002,112.29,1.0000000000000202
ISNE_conventional_hydroelectric_1,5,2.192063492451264e6,593.4,0.4228564523501002
ISNE_conventional_steam_coal_2,5,22913.33439517885,330.0,0.00794807081639848
ISNE_hydroelectric_pumped_storage_1,5,3.7808347931057303e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,569694.7004114888,3370.8,0.01934623989855021
ISNE_natural_gas_fired_combined_cycle_2,5,1.3678686512163775e7,10513.3,0.14893360909257414
ISNE_natural_gas_fired_combustion_turbine_1,5,84585.62401616303,1338.4,0.007234324814345855
ISNE_natural_gas_fired_combustion_turbine_2,5,13793.21688048147,437.8,0.003606427303977814
ISNE_natural_gas_internal_combustion_engine_1,5,33061.95009268109,59.8,0.06328702147550958
ISNE_natural_gas_steam_turbine_1,5,3305.7171853790364,21.3,0.017765337674438924
ISNE_nuclear_1,5,2.6499468740312424e7,3355.5,0.9039976443843639
ISNE_offshore_wind_turbine_1,5,96724.72211733753,29.3,0.3778829046702419
ISNE_onshore_wind_turbine_1,5,2.9818676496473816e6,1542.1,0.22134167943166952
ISNE_petroleum_liquids_1,5,19696.013165128206,1041.6,0.0021645355813901986
ISNE_small_hydroelectric_1,5,2.2202544000000902e6,254.14999999999998,1.0000000000000409
ISNE_solar_photovoltaic_1,5,4.772773858266527e6,2681.9,0.20371154924585197
MISC_batteries_1,6,35844.43415101589,36.3,0.0
MISC_biomass_1,6,331269.1199999879,37.92,0.9999999999999634
MISC_biomass_2,6,362631.3599999915,41.51,0.9999999999999765
MISC_conventional_hydroelectric_1,6,1.3711587720802242e6,451.5,0.347630094455251
MISC_conventional_steam_coal_1,6,484.5107006967535,1337.0,4.148196688988125e-5
MISC_conventional_steam_coal_2,6,622.2571965804513,12308.8,5.78684150365131e-6
MISC_hydroelectric_pumped_storage_1,6,1.23805493024629e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,488069.3613307006,1583.6,0.03527958169586336
MISC_natural_gas_fired_combined_cycle_2,6,5.971566735397371e6,3192.5,0.2141138491154209
MISC_natural_gas_fired_combustion_turbine_1,6,28611.075969886955,577.6,0.005670147814240607
MISC_natural_gas_fired_combustion_turbine_2,6,14740.77332498385,8900.4,0.0001895824439242988
MISC_natural_gas_internal_combustion_engine_1,6,8688.88996840948,75.2,0.01322616181088751
MISC_natural_gas_steam_turbine_1,6,851.9573510803864,200.6,0.0004861544893024603
MISC_nuclear_1,6,1.785089223395168e7,2373.0,0.8610920201333839
MISC_onshore_wind_turbine_1,6,1.3914198225920426e7,6437.0,0.24743552445483913
MISC_petroleum_liquids_1,6,336.8293367587519,433.4,8.896278656800896e-5
MISC_small_hydroelectric_1,6,122216.6400000056,13.99,1.0000000000000457
MISC_solar_photovoltaic_1,6,7.809241196263118e6,3922.2,0.22791162411394522
MISE_biomass_1,7,618508.7999999997,70.8,0.9999999999999996
MISE_biomass_2,7,427103.03999999544,48.89,0.9999999999999893
MISE_conventional_hydroelectric_1,7,89946.36203917017,32.2,0.31975335173072006
MISE_conventional_steam_coal_1,7,554.5588029053622,3088.3,2.0554906080947325e-5
MISE_hydroelectric_pumped_storage_1,7,4.885635090248112e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,3.3210811121905595e6,6017.4,0.06317685108542674
MISE_natural_gas_fired_combined_cycle_2,7,98076.07664127978,743.7,0.015095679877220141
MISE_natural_gas_fired_combustion_turbine_1,7,769.091851854386,427.7,0.00020583837024556396
MISE_natural_gas_fired_combustion_turbine_2,7,1076.9082060319702,3971.5,3.103926966679632e-5
MISE_natural_gas_internal_combustion_engine_1,7,45586.03615877493,133.0,0.03923444958444784
