model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
SWITCH,BASN,Battery,2027,False,MW,0.0,0.4,0.0,0.4
SWITCH,BASN,Battery,2027,False,MWh,0.0,0.3,0.0,0.3
SWITCH,BASN,Battery,2027,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2027,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2030,False,MW,0.4,7.3,0.0,6.8
SWITCH,BASN,Battery,2030,False,MWh,0.3,9.9,0.0,9.6
SWITCH,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2035,False,MW,7.3,11.6,0.0,4.3
SWITCH,BASN,Battery,2035,False,MWh,9.9,30.0,0.0,20.2
SWITCH,BASN,Battery,2035,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2035,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2040,False,MW,11.6,643.4,0.0,631.8
SWITCH,BASN,Battery,2040,False,MWh,30.0,2573.7,0.0,2543.7
SWITCH,BASN,Battery,2045,False,MW,643.4,5723.4,0.0,5080.0
SWITCH,BASN,Battery,2045,False,MWh,2573.7,25563.2,0.0,22989.5
SWITCH,BASN,Battery,2050,False,MW,5723.4,11799.0,0.0,6075.6
SWITCH,BASN,Battery,2050,False,MWh,25563.2,52350.1,0.0,26786.9
SWITCH,BASN,Coal,2027,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2030,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2035,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2040,True,MW,3000.2,2091.2,909.0,0.0
SWITCH,BASN,Coal,2045,True,MW,2091.2,1645.2,446.0,0.0
SWITCH,BASN,Coal,2050,True,MW,728.2,728.2,0.0,0.0
