model,zone,planning_year,case,unit,value
SWITCH,BASN,2027,base_20_week,kg,13700766049.943977
SWITCH,CANO,2027,base_20_week,kg,18836133686.58336
SWITCH,CASO,2027,base_20_week,kg,19164953266.254505
SWITCH,FRCC,2027,base_20_week,kg,74329339156.01508
SWITCH,ISNE,2027,base_20_week,kg,33123323147.79217
SWITCH,MISC,2027,base_20_week,kg,45797043914.205986
SWITCH,MISE,2027,base_20_week,kg,32926126619.487545
SWITCH,MISS,2027,base_20_week,kg,54358582082.41747
SWITCH,MISW,2027,base_20_week,kg,49715933173.43914
SWITCH,NWPP,2027,base_20_week,kg,8664882174.008278
SWITCH,NYCW,2027,base_20_week,kg,11467275504.751942
SWITCH,NYUP,2027,base_20_week,kg,13223173785.625496
SWITCH,PJMC,2027,base_20_week,kg,14861280213.394495
SWITCH,PJMD,2027,base_20_week,kg,18581522771.09954
SWITCH,PJME,2027,base_20_week,kg,81074798088.19508
SWITCH,PJMW,2027,base_20_week,kg,96731073414.28091
SWITCH,RMRG,2027,base_20_week,kg,12850559448.607882
SWITCH,SPPC,2027,base_20_week,kg,17466852063.113087
SWITCH,SPPN,2027,base_20_week,kg,8601267038.208479
SWITCH,SPPS,2027,base_20_week,kg,19456453216.926655
SWITCH,SRCA,2027,base_20_week,kg,39170894960.534035
SWITCH,SRCE,2027,base_20_week,kg,38996598982.64266
SWITCH,SRSE,2027,base_20_week,kg,54380368655.95028
SWITCH,SRSG,2027,base_20_week,kg,26200031376.28789
SWITCH,TRE,2027,base_20_week,kg,62062544416.2837
SWITCH,TREW,2027,base_20_week,kg,7258222794.392774
SWITCH,BASN,2030,base_20_week,kg,2723635600.8307915
SWITCH,CANO,2030,base_20_week,kg,5147866961.342612
SWITCH,CASO,2030,base_20_week,kg,6797984694.346492
SWITCH,FRCC,2030,base_20_week,kg,9947628745.738602
SWITCH,ISNE,2030,base_20_week,kg,11807865205.379665
SWITCH,MISC,2030,base_20_week,kg,3659752272.3255196
