model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,PJMC_to_MISC,2027,base_20_week,MW,5244.0,5244.0
SWITCH,PJMC_to_PJMW,2027,base_20_week,MW,980.0,980.0
SWITCH,PJMC_to_MISW,2027,base_20_week,MW,3200.0,3200.0
SWITCH,PJME_to_NYUP,2027,base_20_week,MW,1255.0,1255.0
SWITCH,PJME_to_PJMW,2027,base_20_week,MW,3885.0,3885.0
SWITCH,PJME_to_NYCW,2027,base_20_week,MW,660.0,4234.06072
SWITCH,PJME_to_PJMD,2027,base_20_week,MW,1200.0,1200.0
SWITCH,MISE_to_MISC,2027,base_20_week,MW,0.0,0.0
SWITCH,MISE_to_PJMW,2027,base_20_week,MW,2662.0,2662.0
SWITCH,MISE_to_MISW,2027,base_20_week,MW,0.0,0.0
SWITCH,ISNE_to_NYUP,2027,base_20_week,MW,1400.0,1400.0
SWITCH,ISNE_to_NYCW,2027,base_20_week,MW,760.0,760.0
SWITCH,MISC_to_SPPC,2027,base_20_week,MW,1430.0,1430.0
SWITCH,MISC_to_PJMW,2027,base_20_week,MW,5441.0,5441.0
SWITCH,MISC_to_SRCE,2027,base_20_week,MW,3745.0,3745.0
SWITCH,MISC_to_SPPS,2027,base_20_week,MW,1172.0,1172.0
SWITCH,MISC_to_MISS,2027,base_20_week,MW,1039.0,1039.0
SWITCH,MISC_to_SPPN,2027,base_20_week,MW,0.0,0.0
SWITCH,MISC_to_MISW,2027,base_20_week,MW,1655.0,1655.0
SWITCH,CANO_to_BASN,2027,base_20_week,MW,100.0,100.0
SWITCH,CANO_to_CASO,2027,base_20_week,MW,3675.0,3675.0
SWITCH,CANO_to_NWPP,2027,base_20_week,MW,3675.0,3675.0
SWITCH,TREW_to_TRE,2027,base_20_week,MW,16529.0,16529.0
SWITCH,TREW_to_SPPS,2027,base_20_week,MW,220.0,2274.59295
SWITCH,SPPC_to_SPPS,2027,base_20_week,MW,3372.0,3372.0
SWITCH,SPPC_to_MISS,2027,base_20_week,MW,0.0,0.0
SWITCH,SPPC_to_SPPN,2027,base_20_week,MW,1433.0,2906.51827
SWITCH,SPPC_to_MISW,2027,base_20_week,MW,0.0,0.0
SWITCH,FRCC_to_SRSE,2027,base_20_week,MW,3600.0,3600.0
SWITCH,TRE_to_SPPS,2027,base_20_week,MW,600.0,600.0
SWITCH,SRCA_to_PJMW,2027,base_20_week,MW,1219.0,1219.0
SWITCH,SRCA_to_SRCE,2027,base_20_week,MW,216.0,216.0
SWITCH,SRCA_to_PJMD,2027,base_20_week,MW,1000.0,1000.0
SWITCH,SRCA_to_SRSE,2027,base_20_week,MW,1400.0,1400.0
SWITCH,NYUP_to_NYCW,2027,base_20_week,MW,2489.0,2489.0
SWITCH,PJMW_to_SRCE,2027,base_20_week,MW,3333.0,3333.0
SWITCH,PJMW_to_PJMD,2027,base_20_week,MW,6930.0,6930.0
SWITCH,BASN_to_RMRG,2027,base_20_week,MW,3750.0,3750.0
SWITCH,BASN_to_CASO,2027,base_20_week,MW,5920.0,5920.0
SWITCH,BASN_to_NWPP,2027,base_20_week,MW,3350.0,3350.0
SWITCH,BASN_to_SRSG,2027,base_20_week,MW,5385.0,5385.0
SWITCH,SRCE_to_MISS,2027,base_20_week,MW,4092.0,4092.0
SWITCH,SRCE_to_SRSE,2027,base_20_week,MW,3196.0,3196.0
SWITCH,SPPS_to_MISS,2027,base_20_week,MW,1697.0,2732.89152
SWITCH,SPPS_to_SRSG,2027,base_20_week,MW,1010.0,1010.0
SWITCH,SPPS_to_SPPN,2027,base_20_week,MW,0.0,0.0
SWITCH,RMRG_to_NWPP,2027,base_20_week,MW,400.0,400.0
SWITCH,RMRG_to_SRSG,2027,base_20_week,MW,614.0,614.0
SWITCH,MISS_to_SRSE,2027,base_20_week,MW,891.0,891.0
SWITCH,CASO_to_NWPP,2027,base_20_week,MW,2858.0,2858.0
SWITCH,CASO_to_SRSG,2027,base_20_week,MW,4354.0,4354.0
SWITCH,SPPN_to_MISW,2027,base_20_week,MW,5512.0,5512.0
SWITCH,NWPP_to_SPPN,2027,base_20_week,MW,0.0,0.0
SWITCH,NWPP_to_MISW,2027,base_20_week,MW,200.0,200.0
SWITCH,RMRG_to_SPPN,2027,base_20_week,MW,410.0,1997.90088
SWITCH,RMRG_to_SPPC,2027,base_20_week,MW,210.0,210.0
SWITCH,SRSG_to_TRE,2027,base_20_week,MW,0.0,0.0
SWITCH,PJMC_to_MISC,2030,base_20_week,MW,5244.0,5244.0
SWITCH,PJMC_to_PJMW,2030,base_20_week,MW,980.0,5404.32738
SWITCH,PJMC_to_MISW,2030,base_20_week,MW,3200.0,4870.02532
SWITCH,PJME_to_NYUP,2030,base_20_week,MW,1255.0,2588.67277
SWITCH,PJME_to_PJMW,2030,base_20_week,MW,3885.0,6960.83292
SWITCH,PJME_to_NYCW,2030,base_20_week,MW,4234.06072,7501.87872
SWITCH,PJME_to_PJMD,2030,base_20_week,MW,1200.0,5477.41531
SWITCH,MISE_to_MISC,2030,base_20_week,MW,0.0,2231.68786
SWITCH,MISE_to_PJMW,2030,base_20_week,MW,2662.0,2662.0
SWITCH,MISE_to_MISW,2030,base_20_week,MW,0.0,172.35355
SWITCH,ISNE_to_NYUP,2030,base_20_week,MW,1400.0,3782.84961
SWITCH,ISNE_to_NYCW,2030,base_20_week,MW,760.0,760.0
SWITCH,MISC_to_SPPC,2030,base_20_week,MW,1430.0,8229.62585
SWITCH,MISC_to_PJMW,2030,base_20_week,MW,5441.0,5441.0
SWITCH,MISC_to_SRCE,2030,base_20_week,MW,3745.0,3745.0
SWITCH,MISC_to_SPPS,2030,base_20_week,MW,1172.0,6113.95723
SWITCH,MISC_to_MISS,2030,base_20_week,MW,1039.0,1039.0
SWITCH,MISC_to_SPPN,2030,base_20_week,MW,0.0,5394.99923
SWITCH,MISC_to_MISW,2030,base_20_week,MW,1655.0,1655.0
SWITCH,CANO_to_BASN,2030,base_20_week,MW,100.0,100.0
SWITCH,CANO_to_CASO,2030,base_20_week,MW,3675.0,3675.0
SWITCH,CANO_to_NWPP,2030,base_20_week,MW,3675.0,3675.0
SWITCH,TREW_to_TRE,2030,base_20_week,MW,16529.0,16529.0
SWITCH,TREW_to_SPPS,2030,base_20_week,MW,2274.59295,8347.78061
SWITCH,SPPC_to_SPPS,2030,base_20_week,MW,3372.0,3372.0
SWITCH,SPPC_to_MISS,2030,base_20_week,MW,0.0,2218.86339
SWITCH,SPPC_to_SPPN,2030,base_20_week,MW,2906.51827,2906.51827
SWITCH,SPPC_to_MISW,2030,base_20_week,MW,0.0,0.0
SWITCH,FRCC_to_SRSE,2030,base_20_week,MW,3600.0,3600.0
SWITCH,TRE_to_SPPS,2030,base_20_week,MW,600.0,7333.27638
SWITCH,SRCA_to_PJMW,2030,base_20_week,MW,1219.0,1219.0
SWITCH,SRCA_to_SRCE,2030,base_20_week,MW,216.0,216.0
SWITCH,SRCA_to_PJMD,2030,base_20_week,MW,1000.0,1000.0
SWITCH,SRCA_to_SRSE,2030,base_20_week,MW,1400.0,1400.0
SWITCH,NYUP_to_NYCW,2030,base_20_week,MW,2489.0,2489.0
SWITCH,PJMW_to_SRCE,2030,base_20_week,MW,3333.0,3333.0
SWITCH,PJMW_to_PJMD,2030,base_20_week,MW,6930.0,6930.0
SWITCH,BASN_to_RMRG,2030,base_20_week,MW,3750.0,3750.0
SWITCH,BASN_to_CASO,2030,base_20_week,MW,5920.0,5920.0
SWITCH,BASN_to_NWPP,2030,base_20_week,MW,3350.0,3350.0
SWITCH,BASN_to_SRSG,2030,base_20_week,MW,5385.0,5385.0
SWITCH,SRCE_to_MISS,2030,base_20_week,MW,4092.0,4092.0
SWITCH,SRCE_to_SRSE,2030,base_20_week,MW,3196.0,3196.0
SWITCH,SPPS_to_MISS,2030,base_20_week,MW,2732.89152,19702.89152
SWITCH,SPPS_to_SRSG,2030,base_20_week,MW,1010.0,6424.5691
SWITCH,SPPS_to_SPPN,2030,base_20_week,MW,0.0,4287.30123
SWITCH,RMRG_to_NWPP,2030,base_20_week,MW,400.0,5369.49811
SWITCH,RMRG_to_SRSG,2030,base_20_week,MW,614.0,2809.7407
SWITCH,MISS_to_SRSE,2030,base_20_week,MW,891.0,6185.09013
SWITCH,CASO_to_NWPP,2030,base_20_week,MW,2858.0,2858.0
SWITCH,CASO_to_SRSG,2030,base_20_week,MW,4354.0,5790.05729
SWITCH,SPPN_to_MISW,2030,base_20_week,MW,5512.0,5512.0
SWITCH,NWPP_to_SPPN,2030,base_20_week,MW,0.0,0.0
SWITCH,NWPP_to_MISW,2030,base_20_week,MW,200.0,200.0
SWITCH,RMRG_to_SPPN,2030,base_20_week,MW,1997.90088,4455.95825
SWITCH,RMRG_to_SPPC,2030,base_20_week,MW,210.0,5876.17861
SWITCH,SRSG_to_TRE,2030,base_20_week,MW,0.0,3014.47402
SWITCH,PJMC_to_MISC,2035,base_20_week,MW,5244.0,5244.0
SWITCH,PJMC_to_PJMW,2035,base_20_week,MW,5404.32738,5404.32738
SWITCH,PJMC_to_MISW,2035,base_20_week,MW,4870.02532,4870.02532
SWITCH,PJME_to_NYUP,2035,base_20_week,MW,2588.67277,6355.62941
SWITCH,PJME_to_PJMW,2035,base_20_week,MW,6960.83292,26132.59338
SWITCH,PJME_to_NYCW,2035,base_20_week,MW,7501.87872,10979.77195
SWITCH,PJME_to_PJMD,2035,base_20_week,MW,5477.41531,5477.41531
SWITCH,MISE_to_MISC,2035,base_20_week,MW,2231.68786,2480.80441
SWITCH,MISE_to_PJMW,2035,base_20_week,MW,2662.0,2662.0
SWITCH,MISE_to_MISW,2035,base_20_week,MW,172.35355,172.35355
SWITCH,ISNE_to_NYUP,2035,base_20_week,MW,3782.84961,9868.59221
SWITCH,ISNE_to_NYCW,2035,base_20_week,MW,760.0,1682.25115
SWITCH,MISC_to_SPPC,2035,base_20_week,MW,8229.62585,8229.62585
SWITCH,MISC_to_PJMW,2035,base_20_week,MW,5441.0,5441.0
SWITCH,MISC_to_SRCE,2035,base_20_week,MW,3745.0,3745.0
SWITCH,MISC_to_SPPS,2035,base_20_week,MW,6113.95723,6113.95723
SWITCH,MISC_to_MISS,2035,base_20_week,MW,1039.0,1039.0
SWITCH,MISC_to_SPPN,2035,base_20_week,MW,5394.99923,5394.99923
SWITCH,MISC_to_MISW,2035,base_20_week,MW,1655.0,1655.0
SWITCH,CANO_to_BASN,2035,base_20_week,MW,100.0,100.0
SWITCH,CANO_to_CASO,2035,base_20_week,MW,3675.0,3675.0
SWITCH,CANO_to_NWPP,2035,base_20_week,MW,3675.0,3675.0
SWITCH,TREW_to_TRE,2035,base_20_week,MW,16529.0,16529.0
SWITCH,TREW_to_SPPS,2035,base_20_week,MW,8347.78061,8347.78061
SWITCH,SPPC_to_SPPS,2035,base_20_week,MW,3372.0,3372.0
SWITCH,SPPC_to_MISS,2035,base_20_week,MW,2218.86339,2218.86339
SWITCH,SPPC_to_SPPN,2035,base_20_week,MW,2906.51827,2906.51827
SWITCH,SPPC_to_MISW,2035,base_20_week,MW,0.0,2e-05
SWITCH,FRCC_to_SRSE,2035,base_20_week,MW,3600.0,3600.0
SWITCH,TRE_to_SPPS,2035,base_20_week,MW,7333.27638,7333.27638
SWITCH,SRCA_to_PJMW,2035,base_20_week,MW,1219.0,1219.0
SWITCH,SRCA_to_SRCE,2035,base_20_week,MW,216.0,216.0
SWITCH,SRCA_to_PJMD,2035,base_20_week,MW,1000.0,1484.82516
SWITCH,SRCA_to_SRSE,2035,base_20_week,MW,1400.0,1400.0
SWITCH,NYUP_to_NYCW,2035,base_20_week,MW,2489.0,2489.0
SWITCH,PJMW_to_SRCE,2035,base_20_week,MW,3333.0,3333.0
SWITCH,PJMW_to_PJMD,2035,base_20_week,MW,6930.0,6930.0
SWITCH,BASN_to_RMRG,2035,base_20_week,MW,3750.0,3750.0
SWITCH,BASN_to_CASO,2035,base_20_week,MW,5920.0,5920.0
SWITCH,BASN_to_NWPP,2035,base_20_week,MW,3350.0,3350.0
SWITCH,BASN_to_SRSG,2035,base_20_week,MW,5385.0,5385.0
SWITCH,SRCE_to_MISS,2035,base_20_week,MW,4092.0,4092.0
SWITCH,SRCE_to_SRSE,2035,base_20_week,MW,3196.0,3196.0
SWITCH,SPPS_to_MISS,2035,base_20_week,MW,19702.89152,21129.28094
SWITCH,SPPS_to_SRSG,2035,base_20_week,MW,6424.5691,6424.5691
SWITCH,SPPS_to_SPPN,2035,base_20_week,MW,4287.30123,4287.30123
SWITCH,RMRG_to_NWPP,2035,base_20_week,MW,5369.49811,5369.49811
SWITCH,RMRG_to_SRSG,2035,base_20_week,MW,2809.7407,2809.7407
SWITCH,MISS_to_SRSE,2035,base_20_week,MW,6185.09013,6185.09013
SWITCH,CASO_to_NWPP,2035,base_20_week,MW,2858.0,2858.0
SWITCH,CASO_to_SRSG,2035,base_20_week,MW,5790.05729,7110.55121
SWITCH,SPPN_to_MISW,2035,base_20_week,MW,5512.0,5512.0
SWITCH,NWPP_to_SPPN,2035,base_20_week,MW,0.0,0.00023
SWITCH,NWPP_to_MISW,2035,base_20_week,MW,200.0,200.0
SWITCH,RMRG_to_SPPN,2035,base_20_week,MW,4455.95825,4788.7389
SWITCH,RMRG_to_SPPC,2035,base_20_week,MW,5876.17861,5876.17861
SWITCH,SRSG_to_TRE,2035,base_20_week,MW,3014.47402,3014.47402
SWITCH,PJMC_to_MISC,2040,base_20_week,MW,5244.0,5244.0
SWITCH,PJMC_to_PJMW,2040,base_20_week,MW,5419.17132,6272.79491
SWITCH,PJMC_to_MISW,2040,base_20_week,MW,4870.90474,4870.90474
SWITCH,PJME_to_NYUP,2040,base_20_week,MW,6407.78339,8753.21691
SWITCH,PJME_to_PJMW,2040,base_20_week,MW,25892.42883,38361.11767
SWITCH,PJME_to_NYCW,2040,base_20_week,MW,11004.11581,12930.93507
SWITCH,PJME_to_PJMD,2040,base_20_week,MW,5512.44449,5512.44449
SWITCH,MISE_to_MISC,2040,base_20_week,MW,2436.44726,2494.72818
SWITCH,MISE_to_PJMW,2040,base_20_week,MW,2662.0,2662.0
SWITCH,MISE_to_MISW,2040,base_20_week,MW,168.37055,168.37055
SWITCH,ISNE_to_NYUP,2040,base_20_week,MW,9821.68341,9821.68341
SWITCH,ISNE_to_NYCW,2040,base_20_week,MW,1655.27379,1655.27379
