model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,BASN,BASN_batteries_1,Battery,2027,base_20_week_new,MW,935.808,926.766
TEMOA,BASN,BASN_batteries_1,Battery,2030,base_20_week_new,MW,926.766,926.511
TEMOA,BASN,BASN_batteries_1,Battery,2035,base_20_week_new,MW,926.511,926.043
TEMOA,BASN,BASN_battery_moderate_0_10hour,Battery,2045,base_20_week_new,MW,0,11.1896
TEMOA,BASN,BASN_battery_moderate_0_10hour,Battery,2050,base_20_week_new,MW,11.1896,25.8796
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2035,base_20_week_new,MW,0,28.1345
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2040,base_20_week_new,MW,259.616,68.5622
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2045,base_20_week_new,MW,28.1345,137.207
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2050,base_20_week_new,MW,137.207,259.616
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2035,base_20_week_new,MW,0,23.7742
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2040,base_20_week_new,MW,8935.56,1422.06
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2045,base_20_week_new,MW,23.7742,4962.71
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2050,base_20_week_new,MW,4962.71,8935.56
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2035,base_20_week_new,MW,0,17.3595
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2040,base_20_week_new,MW,1451.15,85.5073
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2045,base_20_week_new,MW,17.3595,901.092
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2050,base_20_week_new,MW,901.092,1451.15
TEMOA,BASN,BASN_battery_moderate_0_8hour,Battery,2035,base_20_week_new,MW,0,12.1252
TEMOA,BASN,BASN_battery_moderate_0_8hour,Battery,2040,base_20_week_new,MW,92.8736,25.5348
TEMOA,BASN,BASN_battery_moderate_0_8hour,Battery,2045,base_20_week_new,MW,12.1252,58.4735
TEMOA,BASN,BASN_battery_moderate_0_8hour,Battery,2050,base_20_week_new,MW,58.4735,92.8736
TEMOA,BASN,BASN_biomass_2,Other,2027,base_20_week_new,MW,19.173,19.173
TEMOA,BASN,BASN_biomass_2,Other,2030,base_20_week_new,MW,19.173,19.173
TEMOA,BASN,BASN_biomass_2,Other,2035,base_20_week_new,MW,19.173,19.173
TEMOA,BASN,BASN_biomass_2,Other,2040,base_20_week_new,MW,19.173,19.173
TEMOA,BASN,BASN_biomass_2,Other,2045,base_20_week_new,MW,19.173,19.173
TEMOA,BASN,BASN_biomass_2,Other,2050,base_20_week_new,MW,19.173,19.173
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,base_20_week_new,MW,2489.58,2488.71
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_20_week_new,MW,2488.71,2488.45
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2035,base_20_week_new,MW,2488.45,2479.99
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,base_20_week_new,MW,1418.76,1697.14
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2045,base_20_week_new,MW,2479.99,1570.52
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,base_20_week_new,MW,1570.52,1418.76
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2027,base_20_week_new,MW,1178.2,1166.42
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_20_week_new,MW,1166.42,1166.42
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2035,base_20_week_new,MW,1166.42,1166.42
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2040,base_20_week_new,MW,720.917,720.963
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2045,base_20_week_new,MW,1166.42,720.919
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2050,base_20_week_new,MW,720.919,720.917
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2027,base_20_week_new,MW,1822,1803.78
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2030,base_20_week_new,MW,1803.78,1803.78
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2035,base_20_week_new,MW,1803.78,1803.78
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2040,base_20_week_new,MW,0,1349.37
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2045,base_20_week_new,MW,1803.78,466.291
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2027,base_20_week_new,MW,1193,1192.97
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_20_week_new,MW,1192.97,1641.97
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2035,base_20_week_new,MW,1641.97,2007.93
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2040,base_20_week_new,MW,2056.96,2011
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2045,base_20_week_new,MW,2007.93,2028.97
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2050,base_20_week_new,MW,2028.97,2056.96
TEMOA,BASN,BASN_geothermal_1,Geothermal,2027,base_20_week_new,MW,554.76,554.733
TEMOA,BASN,BASN_geothermal_1,Geothermal,2030,base_20_week_new,MW,554.733,519.368
TEMOA,BASN,BASN_geothermal_1,Geothermal,2035,base_20_week_new,MW,519.368,496.702
TEMOA,BASN,BASN_geothermal_1,Geothermal,2040,base_20_week_new,MW,0,344.765
TEMOA,BASN,BASN_geothermal_1,Geothermal,2045,base_20_week_new,MW,496.702,182.008
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,base_20_week_new,MW,0,8499.26
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,base_20_week_new,MW,8499.26,8535.94
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,base_20_week_new,MW,8535.94,8547.09
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,base_20_week_new,MW,8576.95,8557.18
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,base_20_week_new,MW,8547.09,8557.18
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,base_20_week_new,MW,8557.18,8576.95
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2035,base_20_week_new,MW,0,21.582
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2040,base_20_week_new,MW,73.12,40.1213
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2045,base_20_week_new,MW,21.582,55.0186
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2050,base_20_week_new,MW,55.0186,73.12
TEMOA,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,2035,base_20_week_new,MW,0,17.3676
