Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,568627.3496570312,936.0,0.0
BASN_biomass_1,1,69888.0,8.0,1.0
BASN_biomass_2,1,183456.0,21.0,1.0
BASN_conventional_hydroelectric_1,1,8.46703662451083e6,2490.0,0.38924179430684414
BASN_conventional_steam_coal_1,1,196157.37537026274,1178.0,0.01906104585384277
BASN_conventional_steam_coal_2,1,678480.0680187367,1822.0,0.04262614871068206
BASN_geothermal_1,1,4.0249409297393584e6,462.0,0.9972519865400864
BASN_natural_gas_fired_combined_cycle_1,1,3.1829414781150306e6,1018.0,0.3579053994800359
BASN_natural_gas_fired_combined_cycle_2,1,4.663005857660734e7,7294.0,0.7317918639129252
BASN_natural_gas_fired_combustion_turbine_1,1,59533.37217693814,1947.0,0.0035001117160228033
BASN_natural_gas_fired_combustion_turbine_2,1,65385.31380851075,236.0,0.03171433315508724
BASN_natural_gas_internal_combustion_engine_1,1,218489.3109996586,221.0,0.11316843135165384
BASN_natural_gas_steam_turbine_1,1,40793.68445210387,468.0,0.009977792172507483
BASN_onshore_wind_turbine_1,1,3.987394360752062e6,2029.9999999999998,0.22484359835706516
BASN_petroleum_liquids_1,1,5301.1233493313175,26.0,0.023338983469513058
BASN_small_hydroelectric_1,1,1.511328e6,173.0,1.0
BASN_solar_photovoltaic_1,1,1.9970801508597553e7,8006.0,0.2855402162406005
CANO_batteries_1,2,1.619671108341687e6,2651.0,0.0
CANO_biomass_1,2,1.362816e6,156.0,1.0
CANO_biomass_2,2,628992.0,72.0,1.0
CANO_conventional_hydroelectric_1,2,1.9051038540871277e7,7197.0,0.30300830189330386
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,519248.9685404131,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,3.547082857200459e6,3113.0,0.13043062860286278
CANO_natural_gas_fired_combined_cycle_2,2,5.5829861371474214e7,8297.0,0.7702519988726978
CANO_natural_gas_fired_combustion_turbine_1,2,77792.33174461115,2249.0,0.003959448590124872
CANO_natural_gas_fired_combustion_turbine_2,2,76016.71045242864,2427.0,0.003585309652306538
CANO_natural_gas_internal_combustion_engine_1,2,342765.7247333585,444.0,0.08836937677719577
CANO_natural_gas_steam_turbine_1,2,15811.550683215815,3.0,0.6033100840665375
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.445322396999795e6,1442.0,0.1941146172294371
CANO_petroleum_liquids_1,2,6903.394838907218,177.0,0.004464541063219937
CANO_small_hydroelectric_1,2,2.00928e6,230.0,1.0
CANO_solar_photovoltaic_1,2,1.5348977903586602e7,6328.0,0.2776517179806021
CASO_batteries_1,3,8.705883006470386e6,8928.0,0.0
CASO_biomass_1,3,1.022112e6,117.0,1.0
CASO_biomass_2,3,209664.0,24.0,1.0
CASO_conventional_hydroelectric_1,3,2.421390120622108e6,973.0,0.2848651362217261
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,203758.00240527323,24.0,0.9718311317406576
CASO_hydroelectric_pumped_storage_1,3,855374.3494321787,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1.4689011964113133e6,2105.0,0.07987812445138218
CASO_natural_gas_fired_combined_cycle_2,3,5.705970965577124e7,7482.0,0.8729698170568345
CASO_natural_gas_fired_combustion_turbine_1,3,103160.12808829731,1872.0,0.006308024957654916
CASO_natural_gas_fired_combustion_turbine_2,3,579425.4145530278,4573.0,0.014503863819874514
CASO_natural_gas_internal_combustion_engine_1,3,161626.74062230956,50.0,0.3700245893367893
CASO_natural_gas_steam_turbine_1,3,11287.043787590714,2.0,0.64600754278793
CASO_onshore_wind_turbine_1,3,1.2460892924287226e7,4056.0,0.35167264874538134
CASO_petroleum_liquids_1,3,5409.403731028561,14.0,0.04422916446746272
CASO_small_hydroelectric_1,3,594048.0,68.0,1.0
CASO_solar_photovoltaic_1,3,3.160093357756011e7,13797.0,0.26218184987890963
FRCC_batteries_1,4,202618.1966380453,555.0,0.0
FRCC_biomass_1,4,733824.0,84.0,1.0
FRCC_biomass_2,4,995904.0,114.0,1.0
FRCC_conventional_hydroelectric_1,4,115907.97321195215,44.0,0.3015421381013574
FRCC_conventional_steam_coal_1,4,127057.49048744125,3135.0,0.004639274851151818
FRCC_conventional_steam_coal_2,4,31239.64387986654,442.0,0.008090422084479717
FRCC_natural_gas_fired_combined_cycle_1,4,1.9151640777721843e8,31114.0,0.7045916862317348
FRCC_natural_gas_fired_combined_cycle_2,4,4.673214488558972e6,2699.0,0.1981984275378995
FRCC_natural_gas_fired_combustion_turbine_1,4,690824.4520372533,7864.0,0.01005568293133646
FRCC_natural_gas_fired_combustion_turbine_2,4,39911.11857831908,1069.0,0.004273695438112616
FRCC_natural_gas_internal_combustion_engine_1,4,370427.3912459551,251.0,0.1689338758728616
FRCC_natural_gas_steam_turbine_1,4,56194.74713674526,746.0,0.008622719696860862
FRCC_nuclear_1,4,3.2624908585246727e7,3737.0,0.9993407115744448
FRCC_petroleum_liquids_1,4,7149.9476823296345,456.0,0.001794838579403646
FRCC_solar_photovoltaic_1,4,1.857074712751862e7,9458.0,0.22475918122494007
ISNE_batteries_1,5,217741.11535750618,368.0,0.0
ISNE_biomass_1,5,524160.0,60.0,1.0
ISNE_biomass_2,5,1.153152e6,132.0,1.0
ISNE_conventional_hydroelectric_1,5,3.412171053435618e6,876.0,0.44587596559395465
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,161706.3824295382,330.0,0.05609195749720357
ISNE_hydroelectric_pumped_storage_1,5,1.0584439601196772e6,1830.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,939814.3810442163,3371.0,0.031913226048543505
ISNE_natural_gas_fired_combined_cycle_2,5,4.351004265605585e7,10513.0,0.4737510868287424
ISNE_natural_gas_fired_combustion_turbine_1,5,113284.91222225956,1338.0,0.009691775234332614
ISNE_natural_gas_fired_combustion_turbine_2,5,47020.67051272349,438.0,0.012288590776612048
ISNE_natural_gas_internal_combustion_engine_1,5,92873.81678926476,64.0,0.16611188041807026
ISNE_natural_gas_steam_turbine_1,5,60481.44656580374,42.0,0.16483910737671084
ISNE_nuclear_1,5,2.9293270296178766e7,3356.0,0.9991559557160609
ISNE_offshore_wind_turbine_1,5,112297.24305499347,29.0,0.44325992743066134
ISNE_onshore_wind_turbine_1,5,3.294871044124031e6,1542.0,0.24459153501440964
ISNE_petroleum_liquids_1,5,11683.961154461773,1044.0,0.0012810821511968985
ISNE_small_hydroelectric_1,5,2.297568e6,263.0,1.0
ISNE_solar_photovoltaic_1,5,5.204849551509092e6,2682.0,0.22214512225672045
MISC_batteries_1,6,39358.34068059519,36.0,0.0
MISC_biomass_1,6,366912.0,42.0,1.0
MISC_biomass_2,6,366912.0,42.0,1.0
MISC_conventional_hydroelectric_1,6,1.4827487160686066e6,452.0,0.375505667745664
MISC_conventional_steam_coal_1,6,65020.953320125605,2409.0,0.0030896117448060696
MISC_conventional_steam_coal_2,6,2.5616101892057035e7,13084.0,0.22410930110841482
MISC_hydroelectric_pumped_storage_1,6,910506.8588687789,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,7.787643695627892e6,1584.0,0.5627795017213612
MISC_natural_gas_fired_combined_cycle_2,6,2.2619693695396736e7,3192.0,0.8111687506095229
MISC_natural_gas_fired_combustion_turbine_1,6,1.6689097382628582e6,578.0,0.33051592152245535
MISC_natural_gas_fired_combustion_turbine_2,6,2.766920988153758e6,9055.0,0.034978056718832584
MISC_natural_gas_internal_combustion_engine_1,6,144668.7891516952,77.0,0.2150658703672744
MISC_natural_gas_steam_turbine_1,6,758897.9691549558,201.0,0.43218999391490115
MISC_nuclear_1,6,2.0634326826968186e7,2373.0,0.995359444147693
MISC_onshore_wind_turbine_1,6,1.4117077844690025e7,6437.0,0.2510433230542538
MISC_petroleum_liquids_1,6,10533.81153922947,439.0,0.0027466821080287442
MISC_small_hydroelectric_1,6,139776.0,16.0,1.0
MISC_solar_photovoltaic_1,6,8.039339329643455e6,3922.0,0.23463897096995628
MISE_batteries_1,7,2283.073828753286,1.0,0.0
MISE_biomass_1,7,620256.0,71.0,1.0
MISE_biomass_2,7,506688.0,58.0,1.0
MISE_conventional_hydroelectric_1,7,92903.39642474275,32.0,0.3323295716887833
MISE_conventional_steam_coal_1,7,1.9575785027627794e6,4358.0,0.051418492042201745
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,2.994192137058017e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,4.785024721998399e7,6017.0,0.9103146856948655
MISE_natural_gas_fired_combined_cycle_2,7,4.5065609133087e6,744.0,0.6933614387180317
MISE_natural_gas_fired_combustion_turbine_1,7,448626.78115182347,428.0,0.1199855098335771
MISE_natural_gas_fired_combustion_turbine_2,7,8.319264997178057e6,3972.0,0.23975247166227168
MISE_natural_gas_internal_combustion_engine_1,7,507104.77817128337,133.0,0.4364489332631745
MISE_natural_gas_steam_turbine_1,7,48969.463247742955,794.0,0.0070597970423412195
MISE_nuclear_1,7,1.0126962844550198e7,1161.0,0.9984685076089947
MISE_onshore_wind_turbine_1,7,8.935295834640585e6,3677.0,0.27816512588650594
MISE_petroleum_liquids_1,7,8144.724887682935,52.0,0.017929180948160872
MISE_small_hydroelectric_1,7,104832.0,12.0,1.0
MISE_solar_photovoltaic_1,7,2.4652666704796925e6,1181.0,0.238946889401142
MISS_batteries_1,8,18135.70607193472,10.0,0.0
MISS_biomass_1,8,52416.0,6.0,1.0
MISS_biomass_2,8,742560.0,85.0,1.0
MISS_conventional_hydroelectric_1,8,1.3444658807425532e6,583.0,0.2639785294780992
MISS_conventional_steam_coal_1,8,82618.1230022049,1574.0,0.006008388008012303
MISS_conventional_steam_coal_2,8,178801.33400253637,4521.0,0.004527136843350698
MISS_natural_gas_fired_combined_cycle_1,8,1.1699089967259103e8,17522.0,0.764285780088594
MISS_natural_gas_fired_combined_cycle_2,8,4.246064338913146e6,2510.0,0.19364229615025003
MISS_natural_gas_fired_combustion_turbine_1,8,3.012150486754201e6,4409.0,0.07820309499389676
MISS_natural_gas_fired_combustion_turbine_2,8,1.168035015448632e6,1044.0,0.12806862248877154
MISS_natural_gas_internal_combustion_engine_1,8,298974.0758901783,108.0,0.316881694192378
MISS_natural_gas_steam_turbine_1,8,71487.5520368614,62.0,0.13198546621481264
MISS_natural_gas_steam_turbine_2,8,1.6137518173359577e6,4278.0,0.043180069673916195
MISS_nuclear_1,8,4.732724749611246e7,5426.0,0.9984327827712683
MISS_onshore_wind_turbine_1,8,379023.7623537905,184.0,0.2357957591486692
MISS_petroleum_liquids_1,8,5951.2496591097315,41.0,0.01661543391826848
MISS_small_hydroelectric_1,8,26208.0,3.0,1.0
MISS_solar_photovoltaic_1,8,4.776848958546079e6,2208.0,0.2476451431268331
MISW_batteries_1,9,41419.23846030811,31.0,0.0
MISW_biomass_1,9,690144.0,79.0,1.0
MISW_biomass_2,9,183456.0,21.0,1.0
MISW_conventional_hydroelectric_1,9,286602.91519675695,99.0,0.3313849520812023
MISW_conventional_steam_coal_1,9,2.1473305295069195e7,11944.0,0.2057957864634817
MISW_conventional_steam_coal_2,9,15186.106323707045,331.0,0.005251771439813255
MISW_natural_gas_fired_combined_cycle_1,9,7.374567866124378e6,1408.0,0.5995443249885188
MISW_natural_gas_fired_combined_cycle_2,9,4.730726444460638e7,7025.0,0.7708482337512282
MISW_natural_gas_fired_combustion_turbine_1,9,28153.638880126015,479.0,0.0067280064160219165
MISW_natural_gas_fired_combustion_turbine_2,9,8.176215977849362e6,5689.0,0.16451435377686813
MISW_natural_gas_fired_combustion_turbine_3,9,1.117432418140551e6,656.0,0.19498661589214367
MISW_natural_gas_internal_combustion_engine_1,9,3.145252794463455e6,750.0,0.4800446877996727
MISW_natural_gas_steam_turbine_1,9,552124.0850054286,125.0,0.5056081364518578
MISW_nuclear_1,9,2.4857270956160348e7,2928.0,0.9717840096128961
MISW_onshore_wind_turbine_1,9,6.461908231744706e7,23793.0,0.31088441877435563
MISW_petroleum_liquids_1,9,10943.31027847685,1386.0,0.0009038010830502872
MISW_small_hydroelectric_1,9,4.027296e6,461.0,1.0
MISW_solar_photovoltaic_1,9,6.69845863913533e6,3132.0,0.24481639658795543
NWPP_batteries_1,10,55134.88413131932,141.0,0.0
NWPP_biomass_1,10,410592.0,47.0,1.0
NWPP_biomass_2,10,637728.0,73.0,1.0
NWPP_conventional_hydroelectric_1,10,1.397203408748684e8,31765.0,0.5034984657059296
NWPP_conventional_steam_coal_1,10,129068.282168319,1482.0,0.00996916308957791
NWPP_conventional_steam_coal_2,10,51258.58239680489,148.0,0.03964534946787825
NWPP_geothermal_1,10,184566.49603118983,22.0,0.9603235099857946
NWPP_hydroelectric_pumped_storage_1,10,64973.937119548966,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,1.0185820611090422e7,2899.0,0.40219362505521755
NWPP_natural_gas_fired_combined_cycle_2,10,2.0364644187380962e7,4016.0,0.5804575934865438
NWPP_natural_gas_fired_combustion_turbine_1,10,48923.49585261525,1018.0,0.005501195497147414
NWPP_natural_gas_fired_combustion_turbine_2,10,29052.499587919974,324.0,0.010264218017936273
NWPP_natural_gas_internal_combustion_engine_1,10,318885.89452410693,310.0,0.11775002013326646
NWPP_natural_gas_steam_turbine_1,10,15142.17682898379,3.0,0.5777692624001751
NWPP_nuclear_1,10,1.021473100954352e7,1172.0,0.9976695047076315
NWPP_onshore_wind_turbine_1,10,2.064270507910134e7,8733.0,0.27057677888129983
NWPP_petroleum_liquids_1,10,6857.94459459404,21.0,0.037381958587312705
