region,marginal_price,total_demand
BASN,62.884387916193916,205854891.0
CASO,64.05406510282204,185445572.0
CANO,68.54503404917362,287331528.0
FRCC,61.87090058466651,373487472.0
ISNE,56.66497616702021,228967778.0
MISC,57.82691935007996,296003389.0
MISE,61.416475051944175,149857318.0
MISS,59.23518079226409,273572998.0
MISW,55.20025663471984,360803886.0
NWPP,71.73640464236948,342473432.0
NYCW,70.98776890705051,116580170.0
NYUP,58.487964771710836,100244191.0
PJMC,58.204570434606296,165669492.0
PJMD,65.73483936752159,160553816.0
PJME,65.39577913573208,428793884.0
PJMW,59.09984305401258,452703049.0
RMRG,53.76258978482555,173002995.0
SPPC,56.04951685256506,122568997.0
SPPN,55.168962993377846,85125345.0
SPPS,53.64144399790669,202777705.0
SRCA,61.72813320968588,320053848.0
SRCE,60.07396541135362,318246408.0
SRSE,60.67439684926072,375702387.0
SRSG,62.368769494723736,237915030.0
TRE,57.101945229794566,617229009.0
TREW,51.781150823410655,29860335.0
