model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,8527
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,4125
USENSYS,MISC,MISC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,6116
USENSYS,MISE,MISE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,92
USENSYS,MISS,MISS_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,1518
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,6160
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,1248
USENSYS,PJME,PJME_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,206
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,1778
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,4049
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,4242
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,272
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,6013
USENSYS,TRE,TRE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,20-week-myopic,MW,0,3240
USENSYS,MISE,MISE_landbasedwind_class3_moderate_1_anyQual_0,Wind,2027,20-week-myopic,MW,0,60
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_1_anyQual_0,Wind,2027,20-week-myopic,MW,0,3297
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_1_anyQual_0,Wind,2027,20-week-myopic,MW,0,984
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,3047
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,274
USENSYS,MISC,MISC_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,2915
USENSYS,MISS,MISS_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,3114
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,2618
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,472
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,5156
USENSYS,TRE,TRE_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,20-week-myopic,MW,0,2505
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_10_anyQual_1,Wind,2027,20-week-myopic,MW,0,107
USENSYS,MISE,MISE_landbasedwind_class3_moderate_11_anyQual_1,Wind,2027,20-week-myopic,MW,0,116
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_11_anyQual_1,Wind,2027,20-week-myopic,MW,0,79
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_12_anyQual_0,Wind,2027,20-week-myopic,MW,0,2164
USENSYS,MISE,MISE_landbasedwind_class3_moderate_12_anyQual_0,Wind,2027,20-week-myopic,MW,0,14
USENSYS,MISE,MISE_landbasedwind_class3_moderate_13_anyQual_0,Wind,2027,20-week-myopic,MW,0,7
USENSYS,MISE,MISE_landbasedwind_class3_moderate_14_anyQual_0,Wind,2027,20-week-myopic,MW,0,5
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_14_anyQual_0,Wind,2027,20-week-myopic,MW,0,136
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_17_anyQual_1,Wind,2027,20-week-myopic,MW,0,6
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_17_anyQual_1,Wind,2027,20-week-myopic,MW,0,222
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,20-week-myopic,MW,0,310
USENSYS,MISC,MISC_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,20-week-myopic,MW,0,3282
USENSYS,MISE,MISE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,20-week-myopic,MW,0,87
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,20-week-myopic,MW,0,752
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,20-week-myopic,MW,0,806
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2_anyQual_1,Wind,2027,20-week-myopic,MW,0,1663
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2_anyQual_1,Wind,2027,20-week-myopic,MW,0,7592
USENSYS,TRE,TRE_landbasedwind_class3_moderate_2_anyQual_1,Wind,2027,20-week-myopic,MW,0,512
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,20-week-myopic,MW,0,36
USENSYS,MISC,MISC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,20-week-myopic,MW,0,4963
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,20-week-myopic,MW,0,674
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,20-week-myopic,MW,0,3644
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,20-week-myopic,MW,0,116
USENSYS,TRE,TRE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,20-week-myopic,MW,0,4495
USENSYS,PJME,PJME_landbasedwind_class3_moderate_4_anyQual_0,Wind,2027,20-week-myopic,MW,0,376
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_4_anyQual_0,Wind,2027,20-week-myopic,MW,0,458
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_4_anyQual_0,Wind,2027,20-week-myopic,MW,0,409
USENSYS,MISE,MISE_landbasedwind_class3_moderate_4_anyQual_1,Wind,2027,20-week-myopic,MW,0,469
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_4_anyQual_1,Wind,2027,20-week-myopic,MW,0,1461
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_5_anyQual_1,Wind,2027,20-week-myopic,MW,0,61
USENSYS,MISE,MISE_landbasedwind_class3_moderate_5_anyQual_1,Wind,2027,20-week-myopic,MW,0,149
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_5_anyQual_1,Wind,2027,20-week-myopic,MW,0,3736
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_5_anyQual_1,Wind,2027,20-week-myopic,MW,0,27
USENSYS,TRE,TRE_landbasedwind_class3_moderate_5_anyQual_1,Wind,2027,20-week-myopic,MW,0,2487
USENSYS,MISE,MISE_landbasedwind_class3_moderate_6_anyQual_0,Wind,2027,20-week-myopic,MW,0,105
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_6_anyQual_0,Wind,2027,20-week-myopic,MW,0,306
USENSYS,MISW,MISW_landbasedwind_class3_moderate_6_anyQual_1,Wind,2027,20-week-myopic,MW,0,1167
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_6_anyQual_1,Wind,2027,20-week-myopic,MW,0,1758
USENSYS,TRE,TRE_landbasedwind_class3_moderate_6_anyQual_1,Wind,2027,20-week-myopic,MW,0,3638
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_7_anyQual_0,Wind,2027,20-week-myopic,MW,0,996
USENSYS,MISE,MISE_landbasedwind_class3_moderate_7_anyQual_0,Wind,2027,20-week-myopic,MW,0,16
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_7_anyQual_0,Wind,2027,20-week-myopic,MW,0,894
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_7_anyQual_1,Wind,2027,20-week-myopic,MW,0,2679
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_8_anyQual_0,Wind,2027,20-week-myopic,MW,0,592
USENSYS,MISE,MISE_landbasedwind_class3_moderate_8_anyQual_0,Wind,2027,20-week-myopic,MW,0,50
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_8_anyQual_0,Wind,2027,20-week-myopic,MW,0,818
USENSYS,MISE,MISE_landbasedwind_class3_moderate_9_anyQual_1,Wind,2027,20-week-myopic,MW,0,1018
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_9_anyQual_1,Wind,2027,20-week-myopic,MW,0,112
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_9_anyQual_1,Wind,2027,20-week-myopic,MW,0,6180
USENSYS,ISNE,ISNE_naturalgas_hframe_cc_moderate_0,naturalgas_hframe_cc_moderate_0_NE_ng,2027,20-week-myopic,MW,0,3027
USENSYS,BASN,BASN_batteries_1,Battery,2027,20-week-myopic,MW,936,936
USENSYS,CANO,CANO_batteries_1,Battery,2027,20-week-myopic,MW,2651,2651
