case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
all,2027,BASN,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,CANO,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,CASO,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,ISNE,0,0.405,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,1,20.67
all,2027,MISC,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,MISE,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,MISW,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,NWPP,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,NYCW,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1,13.44
all,2027,NYUP,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1,9.73
all,2027,PJMC,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,PJMD,0,0,0,0,0.169,0,0,0,0,0,0,0,0.391,0,0,0,1,17.62
all,2027,PJME,0,0,0,0,0.278,0,0,0,0,0,0,0,0.001,0,0,0,1,79.56
all,2027,PJMW,0,0,0,0,0.029,0,0,0,0,0,0,0,0.023,0,0,0,0,0
all,2027,RMRG,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,SPPC,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,SPPN,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,SPPS,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,SRCA,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0
all,2027,SRCE,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0
all,2027,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,SRSG,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2027,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,BASN,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,CANO,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,CASO,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,ISNE,0,0.48,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,1,17.12
all,2030,MISC,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,MISE,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,MISW,0,0,0.107,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
all,2030,NWPP,0.176,0,0,0,0,0,0,0,0.717,0,0,0,0,0,0,0,0,0
all,2030,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,11.12
all,2030,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,8.05
all,2030,PJMC,0,0,0,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,PJMD,0,0,0,0,0.223,0,0,0,0,0,0,0,0.438,0,0,0,1,14.51
all,2030,PJME,0,0,0,0,0.337,0,0,0,0,0,0,0,0.001,0,0,0,1,65.58
all,2030,PJMW,0,0,0,0,0.033,0,0,0,0,0,0,0,0.026,0,0,0,0,0
all,2030,RMRG,0.181,0,0,0,0,0,0,0,0.319,0,0,0,0,0,0,0,0,0
all,2030,SPPC,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,SPPN,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.02,0,0,0,0
all,2030,SPPS,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,SRCA,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.17,0,0,0
all,2030,SRCE,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.005,0,0,0
all,2030,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,SRSG,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2030,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,BASN,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,CANO,0.6,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
all,2035,CASO,0.6,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
all,2035,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,ISNE,0,0.521,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,1,17.12
all,2035,MISC,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,MISE,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,MISW,0,0,0.194,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0
all,2035,NWPP,0.2,0,0,0,0,0,0,0,0.735,0,0,0,0,0,0,0,0,0
all,2035,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,11.12
all,2035,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,8.05
all,2035,PJMC,0,0,0,0,0.388,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,PJMD,0,0,0,0,0.327,0,0,0,0,0,0,0,0.533,0,0,0,1,14.51
all,2035,PJME,0,0,0,0,0.34,0,0,0,0,0,0,0,0.001,0,0,0,1,65.58
all,2035,PJMW,0,0,0,0,0.039,0,0,0,0,0,0,0,0.032,0,0,0,0,0
all,2035,RMRG,0.181,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0
all,2035,SPPC,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,SPPN,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0.026,0,0,0,0
all,2035,SPPS,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,SRCA,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.176,0,0,0
all,2035,SRCE,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.005,0,0,0
all,2035,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,SRSG,0.131,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0
all,2035,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2035,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,BASN,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,CANO,0.6,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
all,2040,CASO,0.6,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
