case_id,year,flex_resource,ng_price,limitedtransmission,ira,min_cap,existing_clusters,hydrogen_gen,time_reduction,policies,period_years,econ_retirement,wacc,misc_file,carbon_slack,ccs,ccs_credit,alternative_carbon_slack
base_short,2027,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,50_1000
base_short,2030,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,50_1000
base_short,2035,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,50_1000
base_short,2040,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,50_1000
base_short,2045,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,50_1000
base_short,2050,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,50_1000
base_short_retire,2027,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,yes,standardize_5,no_ramp,base,yes,none,none
base_short_retire,2030,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,yes,standardize_5,no_ramp,base,yes,none,none
base_short_retire,2035,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,yes,standardize_5,no_ramp,base,yes,none,none
base_short_retire,2040,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,yes,standardize_5,no_ramp,base,yes,none,none
base_short_retire,2045,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,yes,standardize_5,no_ramp,base,yes,none,none
base_short_retire,2050,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,yes,standardize_5,no_ramp,base,yes,none,none
base_short_commit,2027,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,ramp,base,yes,none,none
base_short_commit,2030,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,ramp,base,yes,none,none
base_short_commit,2035,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,ramp,base,yes,none,none
base_short_commit,2040,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,ramp,base,yes,none,none
base_short_commit,2045,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,ramp,base,yes,none,none
base_short_commit,2050,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,ramp,base,yes,none,none
base_short_no_ccs,2027,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_short_no_ccs,2030,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_short_no_ccs,2035,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_short_no_ccs,2040,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_short_no_ccs,2045,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_short_no_ccs,2050,none,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
current_policies_short,2027,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_short,2030,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_short,2035,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_short,2040,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_short,2045,none,reference,no,no,base,none,greenfield,10_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_short,2050,none,reference,no,no,base,none,greenfield,10_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_short_retire,2027,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_short_retire,2030,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_short_retire,2035,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_short_retire,2040,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_short_retire,2045,none,reference,no,no,base,none,greenfield,10_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_short_retire,2050,none,reference,no,no,base,none,greenfield,10_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_short_commit,2027,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_short_commit,2030,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_short_commit,2035,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_short_commit,2040,none,reference,no,yes,base,none,greenfield,10_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_short_commit,2045,none,reference,no,no,base,none,greenfield,10_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_short_commit,2050,none,reference,no,no,base,none,greenfield,10_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
base_short_flex,2030,IRA_MID,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_short_flex,2040,IRA_MID,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_short_flex,2050,IRA_MID,reference,no,no,none,none,greenfield,10_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
