model,line,line_name,planning_year,case,unit,value,end_value,start_region,dest_region,km,cap
GenX,1.0,BASN_to_CANO,2023,20-week-foresight,MW,100.0,163129.0,BASN,CANO,1613.3847128003597,101.11
GenX,2.0,BASN_to_CASO,2023,20-week-foresight,MW,5920.0,6232730.0,BASN,CASO,1052.8154002870249,5920.06
GenX,3.0,BASN_to_NWPP,2023,20-week-foresight,MW,3350.0,7181785.0,BASN,NWPP,2143.6820330805017,3350.21
GenX,4.0,BASN_to_RMRG,2023,20-week-foresight,MW,3750.0,5548706.0,BASN,RMRG,1478.968739910536,3751.74
GenX,5.0,BASN_to_SRSG,2023,20-week-foresight,MW,5385.0,6445241.0,BASN,SRSG,1196.8856954277987,5385.01
GenX,6.0,CANO_to_CASO,2023,20-week-foresight,MW,3675.0,2495782.0,CANO,CASO,678.496525078502,3678.4
GenX,7.0,CANO_to_NWPP,2023,20-week-foresight,MW,3675.0,4787122.0,CANO,NWPP,1302.6110658309303,3675.02
GenX,8.0,CASO_to_NWPP,2023,20-week-foresight,MW,2858.0,5313740.0,CASO,NWPP,1859.1210098249192,2858.2
GenX,9.0,CASO_to_SRSG,2023,20-week-foresight,MW,4354.0,2919070.0,CASO,SRSG,670.4280089248628,4354.04
GenX,10.0,FRCC_to_SRSE,2023,20-week-foresight,MW,3600.0,3351769.0,FRCC,SRSE,930.705776696937,3601.32
GenX,11.0,ISNE_to_NYCW,2023,20-week-foresight,MW,760.0,158681.0,ISNE,NYCW,208.76319678780865,760.102
GenX,12.0,ISNE_to_NYUP,2023,20-week-foresight,MW,1400.0,592752.0,ISNE,NYUP,422.4133412443229,1403.25
GenX,13.0,MISC_to_MISE,2023,20-week-foresight,MW,0.0,118018.0,MISC,MISE,993.3851724175372,118.804
GenX,14.0,MISC_to_MISS,2023,20-week-foresight,MW,1039.0,1488847.0,MISC,MISS,1432.2313664952487,1039.53
GenX,15.0,MISC_to_MISW,2023,20-week-foresight,MW,1655.0,2268654.0,MISC,MISW,1370.4981771620598,1655.35
GenX,16.0,MISC_to_PJMC,2023,20-week-foresight,MW,5244.0,3287844.0,MISC,PJMC,626.2046711986147,5250.43
GenX,17.0,MISC_to_PJMW,2023,20-week-foresight,MW,5441.0,3465231.0,MISC,PJMW,636.7767278564246,5441.83
GenX,18.0,MISC_to_SPPC,2023,20-week-foresight,MW,1430.0,2930255.0,MISC,SPPC,696.0754685319118,4209.68
GenX,19.0,MISC_to_SPPN,2023,20-week-foresight,MW,0.0,799662.0,MISC,SPPN,919.2234841721058,869.932
GenX,20.0,MISC_to_SPPS,2023,20-week-foresight,MW,1172.0,7407861.0,MISC,SPPS,1164.3004320004338,6362.5
GenX,21.0,MISC_to_SRCE,2023,20-week-foresight,MW,3745.0,3024593.0,MISC,SRCE,807.5788459671032,3745.26
GenX,22.0,MISE_to_MISW,2023,20-week-foresight,MW,0.0,165188.0,MISE,MISW,1338.0895372438338,123.451
