line_name,planning_year,case,start_region,dest_region,value
BASN_to_CANO,2027,20-week-foresight,BASN,CANO,455.0
MISE_to_MISW,2027,20-week-foresight,MISE,MISW,83231.0
MISC_to_SRCE,2027,20-week-foresight,MISC,SRCE,80.5
MISE_to_PJMW,2027,20-week-foresight,MISE,PJMW,148.25
MISC_to_SPPC,2027,20-week-foresight,MISC,SPPC,589795.0
MISC_to_SPPN,2027,20-week-foresight,MISC,SPPN,408445.0
MISC_to_SPPS,2027,20-week-foresight,MISC,SPPS,1277399.6
MISS_to_SPPC,2027,20-week-foresight,MISS,SPPC,1031532.0
MISW_to_NWPP,2027,20-week-foresight,MISW,NWPP,60148.0
MISW_to_PJMC,2027,20-week-foresight,MISW,PJMC,13326.8
MISW_to_SPPC,2027,20-week-foresight,MISW,SPPC,50793.0
MISS_to_SPPS,2027,20-week-foresight,MISS,SPPS,5830993.0
MISS_to_SRCE,2027,20-week-foresight,MISS,SRCE,2150.2
MISS_to_SRSE,2027,20-week-foresight,MISS,SRSE,1659962.4
CASO_to_NWPP,2027,20-week-foresight,CASO,NWPP,116.5
FRCC_to_SRSE,2027,20-week-foresight,FRCC,SRSE,2794.6
CASO_to_SRSG,2027,20-week-foresight,CASO,SRSG,5105.4
CANO_to_NWPP,2027,20-week-foresight,CANO,NWPP,24.25
BASN_to_SRSG,2027,20-week-foresight,BASN,SRSG,18.25
CANO_to_CASO,2027,20-week-foresight,CANO,CASO,587.25
MISC_to_MISW,2027,20-week-foresight,MISC,MISW,142.25
MISC_to_PJMC,2027,20-week-foresight,MISC,PJMC,2917.4
MISC_to_PJMW,2027,20-week-foresight,MISC,PJMW,5225.6
MISC_to_MISS,2027,20-week-foresight,MISC,MISS,3468.4
ISNE_to_NYCW,2027,20-week-foresight,ISNE,NYCW,654.4
ISNE_to_NYUP,2027,20-week-foresight,ISNE,NYUP,18442.2
MISC_to_MISE,2027,20-week-foresight,MISC,MISE,73717.66666666667
BASN_to_RMRG,2027,20-week-foresight,BASN,RMRG,11135.0
MISW_to_SPPN,2027,20-week-foresight,MISW,SPPN,4471.6
SPPN_to_SPPS,2027,20-week-foresight,SPPN,SPPS,584629.8
SPPS_to_SRSG,2027,20-week-foresight,SPPS,SRSG,128485.4
SPPS_to_TRE,2027,20-week-foresight,SPPS,TRE,371407.2
RMRG_to_SRSG,2027,20-week-foresight,RMRG,SRSG,98095.2
SPPC_to_SPPS,2027,20-week-foresight,SPPC,SPPS,17182.2
SPPC_to_SPPN,2027,20-week-foresight,SPPC,SPPN,118058.6
SRSG_to_TRE,2027,20-week-foresight,SRSG,TRE,188027.33333333334
TRE_to_TREW,2027,20-week-foresight,TRE,TREW,1703.2
SRCE_to_SRSE,2027,20-week-foresight,SRCE,SRSE,164.5
SPPS_to_TREW,2027,20-week-foresight,SPPS,TREW,1570277.8
SRCA_to_SRCE,2027,20-week-foresight,SRCA,SRCE,3659.6
SRCA_to_SRSE,2027,20-week-foresight,SRCA,SRSE,1763.4
RMRG_to_SPPN,2027,20-week-foresight,RMRG,SPPN,876311.6
NYCW_to_PJME,2027,20-week-foresight,NYCW,PJME,248115.2
NYUP_to_PJME,2027,20-week-foresight,NYUP,PJME,11209.4
PJMC_to_PJMW,2027,20-week-foresight,PJMC,PJMW,216313.6
NWPP_to_RMRG,2027,20-week-foresight,NWPP,RMRG,9327.8
NWPP_to_SPPN,2027,20-week-foresight,NWPP,SPPN,111221.33333333333
NYCW_to_NYUP,2027,20-week-foresight,NYCW,NYUP,853.0
PJMW_to_SRCA,2027,20-week-foresight,PJMW,SRCA,21.5
PJMW_to_SRCE,2027,20-week-foresight,PJMW,SRCE,1776.4
RMRG_to_SPPC,2027,20-week-foresight,RMRG,SPPC,508206.0
PJMD_to_PJMW,2027,20-week-foresight,PJMD,PJMW,1176.6
PJMD_to_SRCA,2027,20-week-foresight,PJMD,SRCA,2986.6
PJME_to_PJMW,2027,20-week-foresight,PJME,PJMW,5200.2
PJMD_to_PJME,2027,20-week-foresight,PJMD,PJME,59961.4
BASN_to_CASO,2027,20-week-foresight,BASN,CASO,150.25
BASN_to_NWPP,2027,20-week-foresight,BASN,NWPP,124.0
MISC_to_SRCE,2030,20-week-foresight,MISC,SRCE,32.5
