case,tech_type,planning_year,value,min,max
20-week-foresight,Battery,2027,9667075.7,5429535.0,14677292.0
20-week-foresight,CCS,2027,487535.5,171137.0,803934.0
20-week-foresight,Coal,2027,333481653.7,177512377.0,506885434.0
20-week-foresight,Distributed Solar,2027,93294559.3,92401160.0,94500385.0
20-week-foresight,Geothermal,2027,5881882.3,5855261.0,5905536.0
20-week-foresight,Hydro,2027,284279501.3,282615545.0,286260782.0
20-week-foresight,Hydrogen,2027,166497.5,34248.0,298747.0
20-week-foresight,Natural Gas CC,2027,1563925584.0,1434398494.0,1758706788.0
20-week-foresight,Natural Gas CT,2027,7622429.0,3856537.0,13359423.0
20-week-foresight,Nuclear,2027,838023972.7,833803283.0,842988342.0
20-week-foresight,Solar,2027,259505628.3,254221589.0,266158515.0
20-week-foresight,Wind,2027,858573395.0,753855379.0,1025637453.0
20-week-foresight,Battery,2030,21855554.3,17257445.0,27166268.0
20-week-foresight,CCS,2030,555476428.7,389840097.0,866046601.0
20-week-foresight,Coal,2030,178593.0,99174.0,223003.0
20-week-foresight,Distributed Solar,2030,140773651.0,138980705.0,142425771.0
20-week-foresight,Geothermal,2030,5089206.0,4788904.0,5425056.0
20-week-foresight,Hydro,2030,297606650.3,295304973.0,301277385.0
20-week-foresight,Hydrogen,2030,353542.0,43948.0,663136.0
20-week-foresight,Natural Gas CC,2030,567657848.3,438691565.0,801865370.0
20-week-foresight,Natural Gas CT,2030,6468775.7,1029011.0,17019469.0
20-week-foresight,Nuclear,2030,764092638.0,727956844.0,797558927.0
20-week-foresight,Solar,2030,543405413.3,453841107.0,623161400.0
20-week-foresight,Wind,2030,1763912287.7,1614077709.0,1989138512.0
20-week-foresight,Battery,2035,29988361.0,23565379.0,33786895.0
20-week-foresight,CCS,2035,946383333.7,691539505.0,1119070389.0
20-week-foresight,Coal,2035,193525.0,95354.0,331282.0
20-week-foresight,Distributed Solar,2035,182313905.0,178825027.0,185666220.0
20-week-foresight,Geothermal,2035,4684670.3,4291806.0,5162976.0
20-week-foresight,Hydro,2035,312432464.3,305999865.0,317092566.0
20-week-foresight,Hydrogen,2035,436975.5,333481.0,540470.0
20-week-foresight,Natural Gas CC,2035,367239885.0,284697475.0,516116119.0
20-week-foresight,Natural Gas CT,2035,3485154.3,2039144.0,4622520.0
20-week-foresight,Nuclear,2035,750239811.3,706817900.0,773234174.0
20-week-foresight,Solar,2035,1037572689.3,836938109.0,1189791653.0
20-week-foresight,Wind,2035,1953970657.3,1764061563.0,2184118169.0
20-week-foresight,Battery,2040,20296607.7,15732116.0,25930577.0
20-week-foresight,CCS,2040,1166417581.0,946546125.0,1292581780.0
20-week-foresight,Coal,2040,281076.3,207117.0,347624.0
20-week-foresight,Distributed Solar,2040,193873204.0,190081562.0,198026971.0
20-week-foresight,Geothermal,2040,3069313.3,2757213.0,3476928.0
20-week-foresight,Hydro,2040,310166544.0,302801446.0,314146128.0
20-week-foresight,Hydrogen,2040,332460.0,5.0,638829.0
20-week-foresight,Natural Gas CC,2040,307020001.7,213647882.0,428102683.0
20-week-foresight,Natural Gas CT,2040,5609468.7,4067822.0,7546671.0
20-week-foresight,Nuclear,2040,737279313.3,698893135.0,763603423.0
20-week-foresight,Solar,2040,1324319961.0,1107210385.0,1464967895.0
20-week-foresight,Wind,2040,2062613042.0,1869891210.0,2287452414.0
20-week-foresight,Battery,2045,63705196.0,59373521.0,67564127.0
20-week-foresight,CCS,2045,1467966759.3,1259174687.0,1631860021.0
20-week-foresight,Coal,2045,460872.7,297705.0,577442.0
20-week-foresight,Distributed Solar,2045,200716162.3,198309320.0,204301219.0
20-week-foresight,Geothermal,2045,1688169.0,1579193.0,1895712.0
20-week-foresight,Hydro,2045,295358173.0,290263200.0,298304856.0
20-week-foresight,Hydrogen,2045,340395.0,10.0,713524.0
20-week-foresight,Natural Gas CC,2045,296719835.0,219142677.0,393947556.0
20-week-foresight,Natural Gas CT,2045,6960078.0,5360545.0,8456180.0
20-week-foresight,Nuclear,2045,740682547.0,711268264.0,764479149.0
20-week-foresight,Solar,2045,1641503035.3,1407549320.0,1788519312.0
20-week-foresight,Wind,2045,2186877682.0,2036065818.0,2359847329.0
20-week-foresight,Battery,2050,165398832.0,129605137.0,210390775.0
20-week-foresight,CCS,2050,1551054289.3,1367110051.0,1766108140.0
20-week-foresight,Coal,2050,498170.3,450181.0,574299.0
20-week-foresight,Distributed Solar,2050,216637561.7,212391648.0,220943088.0
20-week-foresight,Geothermal,2050,760072.7,700823.0,873600.0
20-week-foresight,Hydro,2050,282580968.7,278827339.0,284857834.0
20-week-foresight,Hydrogen,2050,328143.0,15.0,692449.0
20-week-foresight,Natural Gas CC,2050,253984529.7,195816586.0,342463001.0
20-week-foresight,Natural Gas CT,2050,5260885.3,4642229.0,6108277.0
20-week-foresight,Nuclear,2050,717671031.0,695778158.0,745518514.0
20-week-foresight,Solar,2050,1955353862.0,1657456282.0,2146890647.0
20-week-foresight,Wind,2050,2212058971.3,2064096987.0,2377122303.0
20-week-foresight-current-policy,Battery,2027,15410779.5,9783205.0,26840584.0
20-week-foresight-current-policy,CCS,2027,1072555.3,153656.0,2424285.0
20-week-foresight-current-policy,Coal,2027,1052067269.8,828273109.0,1210341822.0
20-week-foresight-current-policy,Distributed Solar,2027,93663899.0,91607603.0,94379497.0
20-week-foresight-current-policy,Geothermal,2027,6118687.2,5490624.0,7191191.0
20-week-foresight-current-policy,Hydro,2027,276816582.8,257709667.0,287598870.0
20-week-foresight-current-policy,Hydrogen,2027,160263.3,196.0,273209.0
20-week-foresight-current-policy,Natural Gas CC,2027,818257017.5,578396141.0,998949962.0
20-week-foresight-current-policy,Natural Gas CT,2027,4511307.2,3058573.0,6319526.0
20-week-foresight-current-policy,Nuclear,2027,829663151.5,806792273.0,838933710.0
20-week-foresight-current-policy,Solar,2027,282542875.2,257390231.0,296388743.0
20-week-foresight-current-policy,Wind,2027,906030138.5,577719954.0,1407287729.0
20-week-foresight-current-policy,Battery,2030,16064954.8,13078951.0,19131583.0
20-week-foresight-current-policy,CCS,2030,1344345.0,378960.0,2768351.0
20-week-foresight-current-policy,Coal,2030,966073680.2,764658494.0,1111477696.0
20-week-foresight-current-policy,Distributed Solar,2030,141650631.0,138810245.0,142953637.0
20-week-foresight-current-policy,Geothermal,2030,5644506.2,5165764.0,6587291.0
20-week-foresight-current-policy,Hydro,2030,275327463.2,257864639.0,283616858.0
20-week-foresight-current-policy,Hydrogen,2030,155884.5,23190.0,288579.0
20-week-foresight-current-policy,Natural Gas CC,2030,812522018.2,530605196.0,958235571.0
20-week-foresight-current-policy,Natural Gas CT,2030,5132727.0,1172223.0,8971627.0
20-week-foresight-current-policy,Nuclear,2030,816316250.5,784024276.0,831259153.0
20-week-foresight-current-policy,Solar,2030,292021271.5,267804859.0,306543982.0
20-week-foresight-current-policy,Wind,2030,1257219517.5,927599747.0,1807012206.0
20-week-foresight-current-policy,Battery,2035,26768537.2,23831385.0,28614686.0
20-week-foresight-current-policy,CCS,2035,1573000.0,875944.0,2710744.0
20-week-foresight-current-policy,Coal,2035,845301092.0,676560723.0,973339818.0
20-week-foresight-current-policy,Distributed Solar,2035,182984525.8,177186305.0,185697182.0
20-week-foresight-current-policy,Geothermal,2035,5278731.2,4627508.0,6223229.0
20-week-foresight-current-policy,Hydro,2035,294414805.8,276538947.0,301929009.0
20-week-foresight-current-policy,Hydrogen,2035,78082.0,6868.0,209922.0
20-week-foresight-current-policy,Natural Gas CC,2035,1095434096.2,688893471.0,1262838583.0
20-week-foresight-current-policy,Natural Gas CT,2035,33670749.2,6735965.0,54593042.0
20-week-foresight-current-policy,Nuclear,2035,807170280.2,763223026.0,827752323.0
20-week-foresight-current-policy,Solar,2035,598899594.2,468893517.0,849322252.0
20-week-foresight-current-policy,Wind,2035,1613948919.2,1348037943.0,2041975693.0
20-week-foresight-current-policy,Battery,2040,50196233.5,23506481.0,90895704.0
20-week-foresight-current-policy,CCS,2040,28359505.0,1320925.0,81074842.0
20-week-foresight-current-policy,Coal,2040,524726713.0,446353024.0,627040192.0
20-week-foresight-current-policy,Distributed Solar,2040,188644788.2,179685392.0,198026971.0
20-week-foresight-current-policy,Geothermal,2040,3189970.8,2965500.0,3476928.0
20-week-foresight-current-policy,Hydro,2040,293140076.2,277035562.0,299820059.0
20-week-foresight-current-policy,Hydrogen,2040,98966.3,11796.0,246680.0
20-week-foresight-current-policy,Natural Gas CC,2040,1284983524.0,957226936.0,1691440188.0
20-week-foresight-current-policy,Natural Gas CT,2040,37306715.5,21488344.0,51572474.0
20-week-foresight-current-policy,Nuclear,2040,785645789.5,741493145.0,819876711.0
20-week-foresight-current-policy,Solar,2040,1163481732.5,763444383.0,1462192781.0
20-week-foresight-current-policy,Wind,2040,1737275622.0,1389968914.0,2027260202.0
20-week-foresight-current-policy,Battery,2045,47604194.5,20962440.0,86704232.0
20-week-foresight-current-policy,CCS,2045,30222667.0,529101.0,89403909.0
20-week-foresight-current-policy,Coal,2045,391439509.2,346597885.0,455701777.0
20-week-foresight-current-policy,Distributed Solar,2045,203169984.5,200130666.0,204949601.0
20-week-foresight-current-policy,Geothermal,2045,1872491.8,1815174.0,1909201.0
20-week-foresight-current-policy,Hydro,2045,274898203.5,262277998.0,280608964.0
20-week-foresight-current-policy,Hydrogen,2045,116099.0,19013.0,292801.0
20-week-foresight-current-policy,Natural Gas CC,2045,2128971738.0,1710156567.0,2623434058.0
20-week-foresight-current-policy,Natural Gas CT,2045,30867083.8,20581324.0,40569078.0
20-week-foresight-current-policy,Nuclear,2045,818752394.8,793115483.0,839174534.0
20-week-foresight-current-policy,Solar,2045,1177324564.0,759113698.0,1461917711.0
20-week-foresight-current-policy,Wind,2045,1678814479.5,1336931180.0,1970100544.0
20-week-foresight-current-policy,Battery,2050,56058179.5,28031528.0,93975092.0
20-week-foresight-current-policy,CCS,2050,31578700.7,630497.0,93393560.0
20-week-foresight-current-policy,Coal,2050,199738653.2,178281325.0,218885485.0
20-week-foresight-current-policy,Distributed Solar,2050,220450236.5,218965910.0,221529709.0
20-week-foresight-current-policy,Geothermal,2050,731533.2,370160.0,873600.0
20-week-foresight-current-policy,Hydro,2050,260109064.5,247306124.0,265707617.0
20-week-foresight-current-policy,Hydrogen,2050,126599.0,6384.0,341567.0
20-week-foresight-current-policy,Natural Gas CC,2050,2617308395.0,2270702571.0,3130859177.0
20-week-foresight-current-policy,Natural Gas CT,2050,18639982.5,12182679.0,25412468.0
20-week-foresight-current-policy,Nuclear,2050,805712360.5,794340281.0,816504413.0
20-week-foresight-current-policy,Solar,2050,1286949035.8,843271456.0,1456710996.0
20-week-foresight-current-policy,Wind,2050,1628131423.2,1315059750.0,1880388608.0
20-week-myopic,Battery,2027,6488978.7,5191733.0,7694638.0
20-week-myopic,CCS,2027,14329.0,48.0,28610.0
20-week-myopic,Coal,2027,367443855.7,213528093.0,671640535.0
20-week-myopic,Distributed Solar,2027,93249664.3,92372599.0,94394261.0
20-week-myopic,Geothermal,2027,5896983.0,5887963.0,5905536.0
20-week-myopic,Hydro,2027,282532737.3,280763649.0,284247038.0
20-week-myopic,Hydrogen,2027,2893.0,0.0,5786.0
20-week-myopic,Natural Gas CC,2027,1580788690.3,1361539784.0,1696168102.0
20-week-myopic,Natural Gas CT,2027,4895304.0,2543917.0,6387461.0
20-week-myopic,Nuclear,2027,837565145.3,834512877.0,842877929.0
20-week-myopic,Solar,2027,255699608.3,252606584.0,260270652.0
20-week-myopic,Wind,2027,812480379.7,730246962.0,854188464.0
20-week-myopic,Battery,2030,19440887.7,15758727.0,21723639.0
20-week-myopic,CCS,2030,433202033.3,232999928.0,540712103.0
20-week-myopic,Coal,2030,1482454.7,16062.0,4404078.0
20-week-myopic,Distributed Solar,2030,139665222.7,137706653.0,142425771.0
20-week-myopic,Geothermal,2030,5100835.0,4923151.0,5425056.0
20-week-myopic,Hydro,2030,301802073.0,293440177.0,306201363.0
20-week-myopic,Hydrogen,2030,15871.0,0.0,31742.0
20-week-myopic,Natural Gas CC,2030,585047332.7,459186862.0,836146213.0
20-week-myopic,Natural Gas CT,2030,3434165.0,906375.0,8422411.0
20-week-myopic,Nuclear,2030,744468835.7,736288042.0,758050298.0
20-week-myopic,Solar,2030,787789020.3,536517729.0,923315685.0
20-week-myopic,Wind,2030,1645880925.3,1518682429.0,1863536555.0
20-week-myopic,Battery,2035,24642028.7,22720169.0,26682484.0
20-week-myopic,CCS,2035,960121043.0,816483279.0,1043839235.0
20-week-myopic,Coal,2035,67621.3,16332.0,136734.0
20-week-myopic,Distributed Solar,2035,182006186.3,179319112.0,185666220.0
20-week-myopic,Geothermal,2035,4696119.0,4449950.0,5162976.0
20-week-myopic,Hydro,2035,312895871.3,302860687.0,318271948.0
20-week-myopic,Hydrogen,2035,316869.0,22.0,633716.0
20-week-myopic,Natural Gas CC,2035,385512791.3,291935015.0,572033804.0
20-week-myopic,Natural Gas CT,2035,2674222.0,1789232.0,4202127.0
20-week-myopic,Nuclear,2035,754232285.3,745651495.0,770576490.0
20-week-myopic,Solar,2035,1086245056.0,803467568.0,1238169686.0
20-week-myopic,Wind,2035,1865647986.3,1710153548.0,2134172487.0
20-week-myopic,Battery,2040,16502343.7,13514449.0,20682170.0
20-week-myopic,CCS,2040,1196139635.7,1097756541.0,1258216003.0
20-week-myopic,Coal,2040,198594.7,133241.0,284618.0
20-week-myopic,Distributed Solar,2040,193895265.7,190388324.0,198026971.0
20-week-myopic,Geothermal,2040,3128541.3,2937695.0,3476928.0
20-week-myopic,Hydro,2040,308660628.0,299120856.0,313623831.0
20-week-myopic,Hydrogen,2040,339498.0,27.0,678969.0
20-week-myopic,Natural Gas CC,2040,323729637.7,259764191.0,450040162.0
20-week-myopic,Natural Gas CT,2040,4995086.7,4125592.0,6625190.0
20-week-myopic,Nuclear,2040,745934044.0,737061901.0,761746976.0
20-week-myopic,Solar,2040,1316130937.7,1064078339.0,1456992887.0
20-week-myopic,Wind,2040,2011898880.3,1848105817.0,2278843547.0
20-week-myopic,Battery,2045,58382830.0,46730023.0,74107986.0
20-week-myopic,CCS,2045,1487925971.7,1413851243.0,1533337341.0
20-week-myopic,Coal,2045,580622.7,394040.0,850664.0
20-week-myopic,Distributed Solar,2045,200078573.7,196830844.0,204301219.0
20-week-myopic,Geothermal,2045,1697966.0,1592414.0,1895712.0
20-week-myopic,Hydro,2045,293565496.7,286468256.0,297345037.0
20-week-myopic,Hydrogen,2045,589945.5,28.0,1179863.0
20-week-myopic,Natural Gas CC,2045,309051953.7,258422264.0,408491254.0
20-week-myopic,Natural Gas CT,2045,6791426.0,5485406.0,8650941.0
20-week-myopic,Nuclear,2045,749631971.7,741966081.0,764722994.0
20-week-myopic,Solar,2045,1623121209.3,1344959722.0,1786176098.0
20-week-myopic,Wind,2045,2165772500.7,1983757195.0,2467203505.0
20-week-myopic,Battery,2050,137153724.0,112788388.0,170538138.0
20-week-myopic,CCS,2050,1607063534.7,1597729107.0,1616067938.0
20-week-myopic,Coal,2050,621614.0,415936.0,930032.0
20-week-myopic,Distributed Solar,2050,216837588.7,213582345.0,220943088.0
20-week-myopic,Geothermal,2050,774300.0,720511.0,873600.0
20-week-myopic,Hydro,2050,281329494.0,275739560.0,285105146.0
20-week-myopic,Hydrogen,2050,424811.5,230.0,849393.0
20-week-myopic,Natural Gas CC,2050,257959126.0,219495327.0,331844201.0
20-week-myopic,Natural Gas CT,2050,5156764.3,4203500.0,6403857.0
20-week-myopic,Nuclear,2050,728656267.0,718660064.0,747572913.0
20-week-myopic,Solar,2050,1889494948.3,1571938476.0,2087853677.0
20-week-myopic,Wind,2050,2204520004.0,2027871006.0,2493404885.0
20-week-myopic-current-policy,Battery,2027,10242322.0,9895700.0,10415529.0
20-week-myopic-current-policy,CCS,2027,41049.5,20.0,82079.0
20-week-myopic-current-policy,Coal,2027,1063533707.2,1036938469.0,1095910284.0
20-week-myopic-current-policy,Distributed Solar,2027,93777776.0,92987342.0,94379497.0
20-week-myopic-current-policy,Geothermal,2027,6226170.8,5886545.0,7213569.0
20-week-myopic-current-policy,Hydro,2027,276518234.0,259078440.0,284020509.0
20-week-myopic-current-policy,Hydrogen,2027,4124.5,0.0,8249.0
20-week-myopic-current-policy,Natural Gas CC,2027,806526368.8,773674577.0,850320037.0
20-week-myopic-current-policy,Natural Gas CT,2027,2471398.8,1590543.0,3366191.0
20-week-myopic-current-policy,Nuclear,2027,829777505.8,828202262.0,831554019.0
20-week-myopic-current-policy,Solar,2027,289988257.8,260975772.0,301775726.0
20-week-myopic-current-policy,Wind,2027,897029257.5,829769985.0,975421842.0
20-week-myopic-current-policy,Battery,2030,16783315.0,12754161.0,18256249.0
20-week-myopic-current-policy,CCS,2030,564110.5,19.0,1128202.0
20-week-myopic-current-policy,Coal,2030,968924963.2,945243135.0,991632040.0
20-week-myopic-current-policy,Distributed Solar,2030,141609097.8,140734790.0,142953637.0
20-week-myopic-current-policy,Geothermal,2030,5671167.8,5338879.0,6565805.0
20-week-myopic-current-policy,Hydro,2030,277365870.2,262187344.0,283024950.0
20-week-myopic-current-policy,Hydrogen,2030,63170.0,0.0,126340.0
20-week-myopic-current-policy,Natural Gas CC,2030,760623879.2,711652506.0,791546964.0
20-week-myopic-current-policy,Natural Gas CT,2030,4073981.2,1717596.0,5382381.0
20-week-myopic-current-policy,Nuclear,2030,821075358.0,820288090.0,822033528.0
20-week-myopic-current-policy,Solar,2030,399121871.8,302305143.0,439401018.0
20-week-myopic-current-policy,Wind,2030,1192761794.0,1119087769.0,1284392257.0
20-week-myopic-current-policy,Battery,2035,27857811.8,25744784.0,33022546.0
20-week-myopic-current-policy,CCS,2035,543025.0,37.0,1241763.0
20-week-myopic-current-policy,Coal,2035,814408711.2,787315750.0,853529582.0
20-week-myopic-current-policy,Distributed Solar,2035,182513833.8,180609873.0,185697182.0
20-week-myopic-current-policy,Geothermal,2035,5261933.0,4873774.0,6088651.0
20-week-myopic-current-policy,Hydro,2035,296197048.0,282098541.0,301918155.0
20-week-myopic-current-policy,Hydrogen,2035,27501.0,0.0,80291.0
20-week-myopic-current-policy,Natural Gas CC,2035,996771651.8,940102450.0,1100637445.0
20-week-myopic-current-policy,Natural Gas CT,2035,24495288.2,17858810.0,33896552.0
20-week-myopic-current-policy,Nuclear,2035,805693084.0,796899473.0,815471128.0
20-week-myopic-current-policy,Solar,2035,838176831.8,569813919.0,947008377.0
20-week-myopic-current-policy,Wind,2035,1516738141.2,1385396302.0,1625997562.0
20-week-myopic-current-policy,Battery,2040,41249883.5,25498478.0,60852136.0
20-week-myopic-current-policy,CCS,2040,35491177.0,1389648.0,100026170.0
20-week-myopic-current-policy,Coal,2040,504835283.5,481564739.0,538936899.0
20-week-myopic-current-policy,Distributed Solar,2040,190931035.8,187300376.0,198026971.0
20-week-myopic-current-policy,Geothermal,2040,3243522.5,3117844.0,3476928.0
20-week-myopic-current-policy,Hydro,2040,292957429.8,277821986.0,298402889.0
20-week-myopic-current-policy,Hydrogen,2040,43153.3,2.0,124273.0
20-week-myopic-current-policy,Natural Gas CC,2040,1214088229.8,1154148598.0,1272519624.0
20-week-myopic-current-policy,Natural Gas CT,2040,33465377.2,27605449.0,46770889.0
20-week-myopic-current-policy,Nuclear,2040,781765014.8,764269940.0,805721817.0
20-week-myopic-current-policy,Solar,2040,1223910508.5,924890878.0,1348463337.0
20-week-myopic-current-policy,Wind,2040,1763240842.8,1582522270.0,1891932812.0
20-week-myopic-current-policy,Battery,2045,40707833.8,26137322.0,58556677.0
20-week-myopic-current-policy,CCS,2045,14022905.8,450434.0,25209742.0
20-week-myopic-current-policy,Coal,2045,377770743.0,366172893.0,398812885.0
20-week-myopic-current-policy,Distributed Solar,2045,203978036.8,203286966.0,204461207.0
20-week-myopic-current-policy,Geothermal,2045,1888879.5,1836974.0,1957544.0
20-week-myopic-current-policy,Hydro,2045,274424963.0,259456962.0,280080078.0
20-week-myopic-current-policy,Hydrogen,2045,111354.3,1.0,302016.0
20-week-myopic-current-policy,Natural Gas CC,2045,2079888763.5,1969786936.0,2224565771.0
20-week-myopic-current-policy,Natural Gas CT,2045,28446000.8,24863801.0,38444271.0
