model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region,km,end_cap,start_cap,cap
GenX,BASN_to_CANO,2023,full-base-1000,MW,161338.0,163592.0,1.0,BASN,CANO,1613.3847128003597,101.397,100.0,
GenX,BASN_to_CASO,2023,full-base-1000,MW,6232667.0,6232941.0,2.0,BASN,CASO,1052.8154002870249,5920.26,5920.0,
GenX,BASN_to_NWPP,2023,full-base-1000,MW,7181335.0,7181463.0,3.0,BASN,NWPP,2143.6820330805017,3350.06,3350.0,
GenX,BASN_to_RMRG,2023,full-base-1000,MW,5546133.0,5546133.0,4.0,BASN,RMRG,1478.968739910536,3750.0,3750.0,
GenX,BASN_to_SRSG,2023,full-base-1000,MW,6445229.0,6445780.0,5.0,BASN,SRSG,1196.8856954277987,5385.46,5385.0,
GenX,CANO_to_CASO,2023,full-base-1000,MW,2493475.0,2493509.0,6.0,CANO,CASO,678.496525078502,3675.05,3675.0,
GenX,CANO_to_NWPP,2023,full-base-1000,MW,4787096.0,4787109.0,7.0,CANO,NWPP,1302.6110658309303,3675.01,3675.0,
GenX,CASO_to_NWPP,2023,full-base-1000,MW,5313368.0,5313368.0,8.0,CASO,NWPP,1859.1210098249196,2858.0,2858.0,
GenX,CASO_to_SRSG,2023,full-base-1000,MW,2919044.0,2919278.0,9.0,CASO,SRSG,670.4280089248628,4354.35,4354.0,
GenX,FRCC_to_SRSE,2023,full-base-1000,MW,3350541.0,3350801.0,10.0,FRCC,SRSE,930.705776696937,3600.28,3600.0,
GenX,ISNE_to_NYCW,2023,full-base-1000,MW,158660.0,158664.0,11.0,ISNE,NYCW,208.76319678780865,760.021,760.0,
GenX,ISNE_to_NYUP,2023,full-base-1000,MW,591379.0,591611.0,12.0,ISNE,NYUP,422.4133412443229,1400.55,1400.0,
GenX,MISC_to_MISE,2023,full-base-1000,MW,0.0,2344.0,13.0,MISC,MISE,993.3851724175372,2.35968,0.0,
GenX,MISC_to_MISS,2023,full-base-1000,MW,1488088.0,1488088.0,14.0,MISC,MISS,1432.2313664952487,1039.0,1039.0,
GenX,MISC_to_MISW,2023,full-base-1000,MW,2268174.0,2268312.0,15.0,MISC,MISW,1370.4981771620598,1655.1,1655.0,
GenX,MISC_to_PJMC,2023,full-base-1000,MW,3283817.0,3283874.0,16.0,MISC,PJMC,626.2046711986147,5244.09,5244.0,
GenX,MISC_to_PJMW,2023,full-base-1000,MW,3464702.0,3464772.0,17.0,MISC,PJMW,636.7767278564246,5441.11,5441.0,
GenX,MISC_to_SPPC,2023,full-base-1000,MW,995388.0,995618.0,18.0,MISC,SPPC,696.0754685319118,1430.33,1430.0,
GenX,MISC_to_SPPN,2023,full-base-1000,MW,0.0,4255.0,19.0,MISC,SPPN,919.2234841721058,4.62912,0.0,
GenX,MISC_to_SPPS,2023,full-base-1000,MW,1364560.0,1364665.0,20.0,MISC,SPPS,1164.3004320004338,1172.09,1172.0,
GenX,MISC_to_SRCE,2023,full-base-1000,MW,3024383.0,3024464.0,21.0,MISC,SRCE,807.5788459671032,3745.1,3745.0,
GenX,MISE_to_MISW,2023,full-base-1000,MW,0.0,2524.0,22.0,MISE,MISW,1338.0895372438338,1.88629,0.0,
GenX,MISE_to_PJMW,2023,full-base-1000,MW,1789648.0,1789661.0,23.0,MISE,PJMW,672.2944948093907,2662.02,2662.0,
GenX,MISS_to_SPPC,2023,full-base-1000,MW,0.0,5539.0,24.0,MISS,SPPC,1264.309793619994,4.38128,0.0,
GenX,MISS_to_SPPS,2023,full-base-1000,MW,1838598.0,1838696.0,25.0,MISS,SPPS,1083.4402589451677,1697.09,1697.0,
GenX,MISS_to_SRCE,2023,full-base-1000,MW,3726069.0,3726078.0,26.0,MISS,SRCE,910.5740119711644,4092.01,4092.0,
GenX,MISS_to_SRSE,2023,full-base-1000,MW,735738.0,735775.0,27.0,MISS,SRSE,825.7437764420143,891.045,891.0,
GenX,MISW_to_NWPP,2023,full-base-1000,MW,2808140.0,2808561.0,28.0,MISW,NWPP,14040.700523946523,200.03,200.0,
GenX,MISW_to_PJMC,2023,full-base-1000,MW,1847606.0,1847629.0,29.0,MISW,PJMC,577.3769837220765,3200.04,3200.0,
GenX,MISW_to_SPPC,2023,full-base-1000,MW,0.0,2237.0,30.0,MISW,SPPC,1195.0293103479462,1.87213,0.0,
GenX,MISW_to_SPPN,2023,full-base-1000,MW,5589987.0,5589987.0,31.0,MISW,SPPN,1014.1486283848258,5512.0,5512.0,
GenX,NWPP_to_RMRG,2023,full-base-1000,MW,102557.0,102571.0,32.0,NWPP,RMRG,256.39318164425606,400.054,400.0,
GenX,NYCW_to_NYUP,2023,full-base-1000,MW,794072.0,794078.0,33.0,NYCW,NYUP,319.03239545042265,2489.02,2489.0,
GenX,NYCW_to_PJME,2023,full-base-1000,MW,53474.0,381244.0,34.0,NYCW,PJME,81.02077938846139,4705.51,660.0,
GenX,NYUP_to_PJME,2023,full-base-1000,MW,397354.0,397354.0,35.0,NYUP,PJME,316.61636032760543,1255.0,1255.0,
GenX,PJMC_to_PJMW,2023,full-base-1000,MW,475254.0,476329.0,36.0,PJMC,PJMW,484.9526117173539,982.217,980.0,
GenX,PJMD_to_PJME,2023,full-base-1000,MW,167117.0,167126.0,37.0,PJMD,PJME,139.26433395480618,1200.06,1200.0,
GenX,PJMD_to_PJMW,2023,full-base-1000,MW,3421719.0,3421877.0,38.0,PJMD,PJMW,493.7545177764829,6930.32,6930.0,
GenX,PJMD_to_SRCA,2023,full-base-1000,MW,525255.0,525402.0,39.0,PJMD,SRCA,525.2547915890101,1000.28,1000.0,
GenX,PJME_to_PJMW,2023,full-base-1000,MW,1876405.0,1876569.0,40.0,PJME,PJMW,482.9870637110515,3885.34,3885.0,
GenX,PJMW_to_SRCA,2023,full-base-1000,MW,1097455.0,1097527.0,41.0,PJMW,SRCA,900.2912298442393,1219.08,1219.0,
GenX,PJMW_to_SRCE,2023,full-base-1000,MW,1809620.0,1809652.0,42.0,PJMW,SRCE,542.940224506259,3333.06,3333.0,
GenX,RMRG_to_SPPC,2023,full-base-1000,MW,196692.0,196826.0,43.0,RMRG,SPPC,936.6269837220768,210.143,210.0,
GenX,RMRG_to_SPPN,2023,full-base-1000,MW,320034.0,1483140.0,44.0,RMRG,SPPN,780.5713741841813,1900.07,410.0,
GenX,RMRG_to_SRSG,2023,full-base-1000,MW,891491.0,891814.0,45.0,RMRG,SRSG,1451.9389962866967,614.223,614.0,
GenX,SPPC_to_SPPN,2023,full-base-1000,MW,374290.0,781159.0,46.0,SPPC,SPPN,261.19343417595013,2990.73,1433.0,
GenX,SPPC_to_SPPS,2023,full-base-1000,MW,1534354.0,1534454.0,47.0,SPPC,SPPS,455.0277413171593,3372.22,3372.0,
GenX,SPPN_to_SPPS,2023,full-base-1000,MW,0.0,8164.0,48.0,SPPN,SPPS,679.4249275747745,12.0166,0.0,
GenX,SPPS_to_SRSG,2023,full-base-1000,MW,1545958.0,1546279.0,49.0,SPPS,SRSG,1530.6511537017682,1010.21,1010.0,
GenX,SPPS_to_TRE,2023,full-base-1000,MW,300783.0,300837.0,50.0,SPPS,TRE,501.3042951289656,600.108,600.0,
GenX,SPPS_to_TREW,2023,full-base-1000,MW,130810.0,965176.0,51.0,SPPS,TREW,594.5912331781975,1623.26,220.0,
GenX,SRCA_to_SRCE,2023,full-base-1000,MW,226220.0,226264.0,52.0,SRCA,SRCE,1047.313910703395,216.042,216.0,
GenX,SRCA_to_SRSE,2023,full-base-1000,MW,1051339.0,1051512.0,53.0,SRCA,SRSE,750.9564568673488,1400.23,1400.0,
GenX,SRCE_to_SRSE,2023,full-base-1000,MW,2585542.0,2585574.0,54.0,SRCE,SRSE,808.9930595294763,3196.04,3196.0,
GenX,TRE_to_TREW,2023,full-base-1000,MW,11487357.0,11487496.0,55.0,TRE,TREW,694.9819646586291,16529.2,16529.0,
GenX,NWPP_to_SPPN,2023,full-base-1000,MW,0.0,4394.0,56.0,NWPP,SPPN,2877.9361274282305,1.52696,0.0,
GenX,SRSG_to_TRE,2023,full-base-1000,MW,0.0,3617.0,57.0,SRSG,TRE,1692.23667175099,2.13712,0.0,
GenX,BASN_to_CANO,2027,full-base-1000,MW,2254.0,,1.0,BASN,CANO,1613.3847128003597,,,1.39709
GenX,BASN_to_CASO,2027,full-base-1000,MW,276.0,,2.0,BASN,CASO,1052.8154002870249,,,0.261961
GenX,BASN_to_NWPP,2027,full-base-1000,MW,132.0,,3.0,BASN,NWPP,2143.6820330805017,,,0.0615098
GenX,BASN_to_RMRG,2027,full-base-1000,MW,1.0,,4.0,BASN,RMRG,1478.968739910536,,,0.000945812
GenX,BASN_to_SRSG,2027,full-base-1000,MW,546.0,,5.0,BASN,SRSG,1196.8856954277987,,,0.456308
GenX,CANO_to_CASO,2027,full-base-1000,MW,37.0,,6.0,CANO,CASO,678.496525078502,,,0.0544195
GenX,CANO_to_NWPP,2027,full-base-1000,MW,17.0,,7.0,CANO,NWPP,1302.6110658309303,,,0.0132932
GenX,NWPP_to_CASO,2027,full-base-1000,MW,0.0,,8.0,NWPP,CASO,1859.1210098249196,,,4.24357e-05
GenX,CASO_to_SRSG,2027,full-base-1000,MW,237.0,,9.0,CASO,SRSG,670.4280089248628,,,0.353891
GenX,FRCC_to_SRSE,2027,full-base-1000,MW,256.0,,10.0,FRCC,SRSE,930.705776696937,,,0.275082
GenX,ISNE_to_NYCW,2027,full-base-1000,MW,4.0,,11.0,ISNE,NYCW,208.76319678780865,,,0.021248
GenX,ISNE_to_NYUP,2027,full-base-1000,MW,232.0,,12.0,ISNE,NYUP,422.4133412443229,,,0.550395
GenX,MISC_to_MISE,2027,full-base-1000,MW,2344.0,,13.0,MISC,MISE,993.3851724175372,,,2.35968
GenX,MISS_to_MISC,2027,full-base-1000,MW,0.0,,14.0,MISS,MISC,1432.2313664952487,,,7.16367e-05
GenX,MISW_to_MISC,2027,full-base-1000,MW,138.0,,15.0,MISW,MISC,1370.4981771620598,,,0.100565
GenX,MISC_to_PJMC,2027,full-base-1000,MW,53.0,,16.0,MISC,PJMC,626.2046711986147,,,0.0850263
GenX,MISC_to_PJMW,2027,full-base-1000,MW,70.0,,17.0,MISC,PJMW,636.7767278564246,,,0.109275
GenX,MISC_to_SPPC,2027,full-base-1000,MW,226.0,,18.0,MISC,SPPC,696.0754685319118,,,0.325085
GenX,MISC_to_SPPN,2027,full-base-1000,MW,4255.0,,19.0,MISC,SPPN,919.2234841721058,,,4.62912
GenX,MISC_to_SPPS,2027,full-base-1000,MW,109.0,,20.0,MISC,SPPS,1164.3004320004338,,,0.0940058
GenX,MISC_to_SRCE,2027,full-base-1000,MW,81.0,,21.0,MISC,SRCE,807.5788459671032,,,0.100136
GenX,MISE_to_MISW,2027,full-base-1000,MW,2524.0,,22.0,MISE,MISW,1338.0895372438338,,,1.88629
GenX,PJMW_to_MISE,2027,full-base-1000,MW,12.0,,23.0,PJMW,MISE,672.2944948093907,,,0.0182055
GenX,MISS_to_SPPC,2027,full-base-1000,MW,5539.0,,24.0,MISS,SPPC,1264.309793619994,,,4.38128
GenX,MISS_to_SPPS,2027,full-base-1000,MW,99.0,,25.0,MISS,SPPS,1083.4402589451677,,,0.0911884
GenX,MISS_to_SRCE,2027,full-base-1000,MW,13.0,,26.0,MISS,SRCE,910.5740119711644,,,0.0139135
GenX,MISS_to_SRSE,2027,full-base-1000,MW,37.0,,27.0,MISS,SRSE,825.7437764420143,,,0.0448436
GenX,MISW_to_NWPP,2027,full-base-1000,MW,424.0,,28.0,MISW,NWPP,14040.700523946523,,,0.0301746
GenX,MISW_to_PJMC,2027,full-base-1000,MW,24.0,,29.0,MISW,PJMC,577.3769837220765,,,0.0409959
GenX,MISW_to_SPPC,2027,full-base-1000,MW,2237.0,,30.0,MISW,SPPC,1195.0293103479462,,,1.87213
GenX,MISW_to_SPPN,2027,full-base-1000,MW,0.0,,31.0,MISW,SPPN,1014.1486283848258,,,0.000412804
GenX,NWPP_to_RMRG,2027,full-base-1000,MW,14.0,,32.0,NWPP,RMRG,256.39318164425606,,,0.0538219
GenX,NYCW_to_NYUP,2027,full-base-1000,MW,5.0,,33.0,NYCW,NYUP,319.03239545042265,,,0.0170354
GenX,NYCW_to_PJME,2027,full-base-1000,MW,327770.0,,34.0,NYCW,PJME,81.02077938846139,,,4045.51
GenX,NYUP_to_PJME,2027,full-base-1000,MW,0.0,,35.0,NYUP,PJME,316.61636032760543,,,0.000491484
GenX,PJMC_to_PJMW,2027,full-base-1000,MW,1075.0,,36.0,PJMC,PJMW,484.9526117173539,,,2.21716
GenX,PJMD_to_PJME,2027,full-base-1000,MW,8.0,,37.0,PJMD,PJME,139.26433395480618,,,0.0567039
GenX,PJMD_to_PJMW,2027,full-base-1000,MW,159.0,,38.0,PJMD,PJMW,493.7545177764829,,,0.322824
GenX,PJMD_to_SRCA,2027,full-base-1000,MW,149.0,,39.0,PJMD,SRCA,525.2547915890101,,,0.284127
