tech_type,planning_year,model,value,resource_name,case
Battery,2040,GenX,0.0,BASN_batteries_1,full-base-50
Hydro,2040,GenX,4968344.168620555,BASN_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,465044.0427191215,BASN_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,1002047.6264376248,BASN_conventional_steam_coal_2,full-base-50
Geothermal,2040,GenX,2323891.64307068,BASN_geothermal_1,full-base-50
Natural Gas CC,2040,GenX,957913.8448581124,BASN_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,13851178.70068,BASN_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,251567.46604663183,BASN_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,58805.66237103547,BASN_natural_gas_fired_combustion_turbine_2,full-base-50
Wind,2040,GenX,2423215.817535187,BASN_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,1416105.5999999738,BASN_small_hydroelectric_1,full-base-50
Solar,2040,GenX,19127117.334765594,BASN_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,CANO_batteries_1,full-base-50
Hydro,2040,GenX,17194458.201359045,CANO_conventional_hydroelectric_1,full-base-50
Geothermal,2040,GenX,0.0,CANO_geothermal_1,full-base-50
Hydro,2040,GenX,5188135.2296146,CANO_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,3993777.7482878193,CANO_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,31909591.26591528,CANO_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,425607.6815946293,CANO_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,630885.7581665822,CANO_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,0.0,CANO_nuclear_1,full-base-50
Wind,2040,GenX,1095834.3825277302,CANO_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,1862515.199999728,CANO_small_hydroelectric_1,full-base-50
Solar,2040,GenX,15056120.145112569,CANO_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,132067.90122937362,CASO_batteries_1,full-base-50
Hydro,2040,GenX,2145895.694057249,CASO_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,0.0,CASO_conventional_steam_coal_1,full-base-50
Geothermal,2040,GenX,179104.69160462622,CASO_geothermal_1,full-base-50
Hydro,2040,GenX,3923142.8383998713,CASO_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,1693436.7240983075,CASO_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,23912541.75443836,CASO_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,415272.8760496253,CASO_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,1990623.5850310717,CASO_natural_gas_fired_combustion_turbine_2,full-base-50
Wind,2040,GenX,9929892.52949368,CASO_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,588806.3999999758,CASO_small_hydroelectric_1,full-base-50
Solar,2040,GenX,31155046.04020325,CASO_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,FRCC_batteries_1,full-base-50
Hydro,2040,GenX,104114.4944002252,FRCC_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,428997.5117522845,FRCC_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,24264.158942278813,FRCC_conventional_steam_coal_2,full-base-50
Natural Gas CC,2040,GenX,116535072.1962726,FRCC_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,3745586.4618864986,FRCC_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,2662840.931029093,FRCC_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,47104.83361892513,FRCC_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,29757730.80362999,FRCC_nuclear_1,full-base-50
Solar,2040,GenX,16917118.658814482,FRCC_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,ISNE_batteries_1,full-base-50
Hydro,2040,GenX,1947815.000299822,ISNE_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,0.0,ISNE_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,0.0,ISNE_conventional_steam_coal_2,full-base-50
Hydro,2040,GenX,3005056.979053979,ISNE_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,1314871.024581991,ISNE_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,8881599.463563878,ISNE_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,180681.8286786,ISNE_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,21911.741821867712,ISNE_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,27979070.8319534,ISNE_nuclear_1,full-base-50
Wind,2040,GenX,109663.85639614792,ISNE_offshore_wind_turbine_1,full-base-50
Wind,2040,GenX,2575248.597922578,ISNE_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,1981324.79999993,ISNE_small_hydroelectric_1,full-base-50
Solar,2040,GenX,5104203.920244753,ISNE_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,MISC_batteries_1,full-base-50
Hydro,2040,GenX,786488.9586828818,MISC_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,143978.77764789163,MISC_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,4920951.233417872,MISC_conventional_steam_coal_2,full-base-50
Hydro,2040,GenX,1241865.6114208852,MISC_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,3021357.815471045,MISC_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,10396881.177011091,MISC_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,550593.0407059914,MISC_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,3652164.5221145246,MISC_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,18083736.87784277,MISC_nuclear_1,full-base-50
Wind,2040,GenX,11827512.54491361,MISC_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,122304.0,MISC_small_hydroelectric_1,full-base-50
Solar,2040,GenX,7734672.862942624,MISC_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,MISE_batteries_1,full-base-50
Hydro,2040,GenX,0.0,MISE_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,4754.593589868042,MISE_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,0.0,MISE_conventional_steam_coal_2,full-base-50
Hydro,2040,GenX,4546901.108184541,MISE_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,14490072.908583283,MISE_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,1335249.5932179394,MISE_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,66123.1354100669,MISE_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,1517542.3258628896,MISE_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,9384535.919926925,MISE_nuclear_1,full-base-50
Wind,2040,GenX,8280972.376314106,MISE_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,99590.40000000288,MISE_small_hydroelectric_1,full-base-50
Solar,2040,GenX,2289117.687859369,MISE_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,MISS_batteries_1,full-base-50
Hydro,2040,GenX,1008155.1283967594,MISS_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,41721.09863743577,MISS_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,980780.3852705515,MISS_conventional_steam_coal_2,full-base-50
Natural Gas CC,2040,GenX,59134849.59766914,MISS_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,1535131.4097113833,MISS_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,1720427.0444922512,MISS_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,248809.69147190635,MISS_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,41802161.86921396,MISS_nuclear_1,full-base-50
Wind,2040,GenX,296388.5415089333,MISS_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,22713.599999998078,MISS_small_hydroelectric_1,full-base-50
Solar,2040,GenX,4406390.911291176,MISS_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,MISW_batteries_1,full-base-50
Hydro,2040,GenX,195971.41235294068,MISW_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,3076098.3950773096,MISW_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,19426.773548632864,MISW_conventional_steam_coal_2,full-base-50
Natural Gas CC,2040,GenX,1793217.6026679624,MISW_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,18299701.85105746,MISW_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,13744.9993781713,MISW_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,2313790.628965365,MISW_natural_gas_fired_combustion_turbine_2,full-base-50
Natural Gas CT,2040,GenX,370273.7308439216,MISW_natural_gas_fired_combustion_turbine_3,full-base-50
Nuclear,2040,GenX,21577671.51938461,MISW_nuclear_1,full-base-50
Wind,2040,GenX,42803338.89437551,MISW_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,3303081.5999998725,MISW_small_hydroelectric_1,full-base-50
Solar,2040,GenX,6123895.336092827,MISW_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,NWPP_batteries_1,full-base-50
Hydro,2040,GenX,134448964.3629167,NWPP_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,812470.3694870223,NWPP_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,41712.55125568812,NWPP_conventional_steam_coal_2,full-base-50
Geothermal,2040,GenX,172781.36321947485,NWPP_geothermal_1,full-base-50
Hydro,2040,GenX,774616.9098505296,NWPP_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,6206859.371613624,NWPP_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,8642146.42607995,NWPP_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,139243.38994069942,NWPP_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,0.0,NWPP_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,8931470.685320046,NWPP_nuclear_1,full-base-50
Wind,2040,GenX,9498086.286802158,NWPP_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,3584380.7999994927,NWPP_small_hydroelectric_1,full-base-50
Solar,2040,GenX,3285843.2600646736,NWPP_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,NYCW_batteries_1,full-base-50
Natural Gas CC,2040,GenX,3830147.279296186,NYCW_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,5705640.363902094,NYCW_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,0.0,NYCW_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,507594.8931577683,NYCW_natural_gas_fired_combustion_turbine_2,full-base-50
Natural Gas CT,2040,GenX,1041515.2283906155,NYCW_natural_gas_fired_combustion_turbine_3,full-base-50
Solar,2040,GenX,273866.8795603551,NYCW_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,NYUP_batteries_1,full-base-50
Hydro,2040,GenX,17638842.727887243,NYUP_conventional_hydroelectric_1,full-base-50
Hydro,2040,GenX,2486810.466482248,NYUP_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,10419355.281080022,NYUP_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,524777.1785333224,NYUP_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,0.0,NYUP_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,13772.222696522573,NYUP_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,27726765.1564707,NYUP_nuclear_1,full-base-50
Wind,2040,GenX,4396744.029257727,NYUP_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,3105648.0,NYUP_small_hydroelectric_1,full-base-50
Solar,2040,GenX,3252640.0626713503,NYUP_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,PJMC_batteries_1,full-base-50
Hydro,2040,GenX,28658.394533568266,PJMC_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,0.0,PJMC_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,0.0,PJMC_conventional_steam_coal_2,full-base-50
Natural Gas CC,2040,GenX,17167230.432966266,PJMC_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,90043.63678579626,PJMC_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,104405.51678293703,PJMC_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,2416539.6554841152,PJMC_natural_gas_fired_combustion_turbine_2,full-base-50
Nuclear,2040,GenX,84346854.94804145,PJMC_nuclear_1,full-base-50
Wind,2040,GenX,5602588.630970665,PJMC_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,77750.40000000011,PJMC_small_hydroelectric_1,full-base-50
Solar,2040,GenX,586232.8265177526,PJMC_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,PJMD_batteries_1,full-base-50
Hydro,2040,GenX,594250.7023415554,PJMD_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,0.0,PJMD_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,80877.8535704936,PJMD_conventional_steam_coal_2,full-base-50
Hydro,2040,GenX,6188648.388596851,PJMD_hydroelectric_pumped_storage_1,full-base-50
Natural Gas CC,2040,GenX,15406965.043042276,PJMD_natural_gas_fired_combined_cycle_1,full-base-50
Natural Gas CC,2040,GenX,1088731.2495241077,PJMD_natural_gas_fired_combined_cycle_2,full-base-50
Natural Gas CT,2040,GenX,124935.61306301394,PJMD_natural_gas_fired_combustion_turbine_1,full-base-50
Natural Gas CT,2040,GenX,37275.26953918378,PJMD_natural_gas_fired_combustion_turbine_2,full-base-50
Natural Gas CT,2040,GenX,461680.66780104017,PJMD_natural_gas_fired_combustion_turbine_3,full-base-50
Nuclear,2040,GenX,30244641.03998208,PJMD_nuclear_1,full-base-50
Wind,2040,GenX,332392.14079562563,PJMD_onshore_wind_turbine_1,full-base-50
Hydro,2040,GenX,33196.80000000102,PJMD_small_hydroelectric_1,full-base-50
Solar,2040,GenX,10287986.041441716,PJMD_solar_photovoltaic_1,full-base-50
Battery,2040,GenX,0.0,PJME_batteries_1,full-base-50
Hydro,2040,GenX,1684139.41336785,PJME_conventional_hydroelectric_1,full-base-50
Coal,2040,GenX,156819.33693071446,PJME_conventional_steam_coal_1,full-base-50
Coal,2040,GenX,39258.82008204097,PJME_conventional_steam_coal_2,full-base-50
Hydro,2040,GenX,3511342.950780908,PJME_hydroelectric_pumped_storage_1,full-base-50
