region,marginal_price,total_demand,planning_year,model,case,scenario,configuration,child_scenario
BASN,40.9,104415840.0,2027,GenX,full-base-1000,base,base,carbon_price
CASO,43.2,106247405.0,2027,GenX,full-base-1000,base,base,carbon_price
CANO,44.5,164112380.0,2027,GenX,full-base-1000,base,base,carbon_price
FRCC,41.7,254835658.0,2027,GenX,full-base-1000,base,base,carbon_price
ISNE,48.8,132079030.0,2027,GenX,full-base-1000,base,base,carbon_price
MISC,41.5,186790489.0,2027,GenX,full-base-1000,base,base,carbon_price
MISE,44.7,102056388.0,2027,GenX,full-base-1000,base,base,carbon_price
MISS,40.0,175440371.0,2027,GenX,full-base-1000,base,base,carbon_price
MISW,39.0,225553160.0,2027,GenX,full-base-1000,base,base,carbon_price
NWPP,41.3,195981047.0,2027,GenX,full-base-1000,base,base,carbon_price
NYCW,52.7,76993625.0,2027,GenX,full-base-1000,base,base,carbon_price
NYUP,34.8,70257166.0,2027,GenX,full-base-1000,base,base,carbon_price
PJMC,40.4,118765758.0,2027,GenX,full-base-1000,base,base,carbon_price
PJMD,44.5,110841999.0,2027,GenX,full-base-1000,base,base,carbon_price
PJME,40.7,289082184.0,2027,GenX,full-base-1000,base,base,carbon_price
PJMW,42.4,310165370.0,2027,GenX,full-base-1000,base,base,carbon_price
RMRG,36.7,88883482.0,2027,GenX,full-base-1000,base,base,carbon_price
SPPC,38.5,78239307.0,2027,GenX,full-base-1000,base,base,carbon_price
SPPN,36.5,49626459.0,2027,GenX,full-base-1000,base,base,carbon_price
SPPS,36.0,122178131.0,2027,GenX,full-base-1000,base,base,carbon_price
SRCA,45.3,218636717.0,2027,GenX,full-base-1000,base,base,carbon_price
SRCE,41.4,214888614.0,2027,GenX,full-base-1000,base,base,carbon_price
SRSE,42.6,242597067.0,2027,GenX,full-base-1000,base,base,carbon_price
SRSG,40.9,137828950.0,2027,GenX,full-base-1000,base,base,carbon_price
TRE,36.7,426645124.0,2027,GenX,full-base-1000,base,base,carbon_price
TREW,33.0,19988250.0,2027,GenX,full-base-1000,base,base,carbon_price
BASN,239.5,117622650.0,2030,GenX,full-base-1000,base,base,carbon_price
CASO,248.4,115510879.0,2030,GenX,full-base-1000,base,base,carbon_price
CANO,261.9,178550343.0,2030,GenX,full-base-1000,base,base,carbon_price
FRCC,241.0,263664150.0,2030,GenX,full-base-1000,base,base,carbon_price
ISNE,317.9,149354094.0,2030,GenX,full-base-1000,base,base,carbon_price
MISC,237.0,200796305.0,2030,GenX,full-base-1000,base,base,carbon_price
MISE,254.7,108618551.0,2030,GenX,full-base-1000,base,base,carbon_price
MISS,231.3,185407544.0,2030,GenX,full-base-1000,base,base,carbon_price
MISW,233.1,244560055.0,2030,GenX,full-base-1000,base,base,carbon_price
NWPP,219.0,213747716.0,2030,GenX,full-base-1000,base,base,carbon_price
NYCW,364.5,83015898.0,2030,GenX,full-base-1000,base,base,carbon_price
NYUP,281.9,74762455.0,2030,GenX,full-base-1000,base,base,carbon_price
PJMC,246.4,125041636.0,2030,GenX,full-base-1000,base,base,carbon_price
PJMD,287.6,116835353.0,2030,GenX,full-base-1000,base,base,carbon_price
PJME,319.5,308414943.0,2030,GenX,full-base-1000,base,base,carbon_price
PJMW,245.2,328889729.0,2030,GenX,full-base-1000,base,base,carbon_price
RMRG,199.7,100288099.0,2030,GenX,full-base-1000,base,base,carbon_price
SPPC,220.3,83557695.0,2030,GenX,full-base-1000,base,base,carbon_price
SPPN,214.6,54220969.0,2030,GenX,full-base-1000,base,base,carbon_price
SPPS,207.8,131322851.0,2030,GenX,full-base-1000,base,base,carbon_price
SRCA,252.9,228687588.0,2030,GenX,full-base-1000,base,base,carbon_price
SRCE,236.5,225061849.0,2030,GenX,full-base-1000,base,base,carbon_price
SRSE,245.0,255962582.0,2030,GenX,full-base-1000,base,base,carbon_price
SRSG,234.5,147664933.0,2030,GenX,full-base-1000,base,base,carbon_price
TRE,220.4,442846698.0,2030,GenX,full-base-1000,base,base,carbon_price
TREW,201.9,20819394.0,2030,GenX,full-base-1000,base,base,carbon_price
BASN,188.8,154373402.0,2035,GenX,full-base-1000,base,base,carbon_price
CASO,186.0,141559023.0,2035,GenX,full-base-1000,base,base,carbon_price
CANO,198.0,219102255.0,2035,GenX,full-base-1000,base,base,carbon_price
FRCC,186.2,305390926.0,2035,GenX,full-base-1000,base,base,carbon_price
ISNE,265.4,185912448.0,2035,GenX,full-base-1000,base,base,carbon_price
MISC,176.1,243790194.0,2035,GenX,full-base-1000,base,base,carbon_price
MISE,191.3,126030936.0,2035,GenX,full-base-1000,base,base,carbon_price
MISS,172.7,223677305.0,2035,GenX,full-base-1000,base,base,carbon_price
MISW,176.4,294141188.0,2035,GenX,full-base-1000,base,base,carbon_price
NWPP,180.1,260888430.0,2035,GenX,full-base-1000,base,base,carbon_price
NYCW,273.3,97972883.0,2035,GenX,full-base-1000,base,base,carbon_price
NYUP,223.3,85901025.0,2035,GenX,full-base-1000,base,base,carbon_price
PJMC,186.7,142659266.0,2035,GenX,full-base-1000,base,base,carbon_price
PJMD,227.7,134294097.0,2035,GenX,full-base-1000,base,base,carbon_price
PJME,244.0,361596414.0,2035,GenX,full-base-1000,base,base,carbon_price
PJMW,183.7,381430632.0,2035,GenX,full-base-1000,base,base,carbon_price
RMRG,160.4,129535560.0,2035,GenX,full-base-1000,base,base,carbon_price
SPPC,169.3,101870818.0,2035,GenX,full-base-1000,base,base,carbon_price
SPPN,163.9,67540119.0,2035,GenX,full-base-1000,base,base,carbon_price
SPPS,158.5,162787259.0,2035,GenX,full-base-1000,base,base,carbon_price
SRCA,192.9,263347390.0,2035,GenX,full-base-1000,base,base,carbon_price
SRCE,177.8,264512199.0,2035,GenX,full-base-1000,base,base,carbon_price
SRSE,185.9,303257618.0,2035,GenX,full-base-1000,base,base,carbon_price
SRSG,189.3,183293864.0,2035,GenX,full-base-1000,base,base,carbon_price
TRE,165.3,515960435.0,2035,GenX,full-base-1000,base,base,carbon_price
TREW,151.5,24676479.0,2035,GenX,full-base-1000,base,base,carbon_price
BASN,137.4,177158138.0,2040,GenX,full-base-1000,base,base,carbon_price
CASO,135.1,158791938.0,2040,GenX,full-base-1000,base,base,carbon_price
CANO,143.6,245898072.0,2040,GenX,full-base-1000,base,base,carbon_price
FRCC,134.1,334048179.0,2040,GenX,full-base-1000,base,base,carbon_price
ISNE,191.3,210413923.0,2040,GenX,full-base-1000,base,base,carbon_price
MISC,121.0,264171318.0,2040,GenX,full-base-1000,base,base,carbon_price
MISE,134.3,137137308.0,2040,GenX,full-base-1000,base,base,carbon_price
MISS,119.0,242486982.0,2040,GenX,full-base-1000,base,base,carbon_price
MISW,123.5,324181570.0,2040,GenX,full-base-1000,base,base,carbon_price
NWPP,136.7,300529644.0,2040,GenX,full-base-1000,base,base,carbon_price
NYCW,192.2,106442119.0,2040,GenX,full-base-1000,base,base,carbon_price
NYUP,155.1,92400602.0,2040,GenX,full-base-1000,base,base,carbon_price
PJMC,130.9,152682741.0,2040,GenX,full-base-1000,base,base,carbon_price
PJMD,160.7,145712440.0,2040,GenX,full-base-1000,base,base,carbon_price
PJME,166.4,389826566.0,2040,GenX,full-base-1000,base,base,carbon_price
PJMW,128.0,412215498.0,2040,GenX,full-base-1000,base,base,carbon_price
RMRG,115.4,150676430.0,2040,GenX,full-base-1000,base,base,carbon_price
SPPC,116.9,108907378.0,2040,GenX,full-base-1000,base,base,carbon_price
SPPN,113.9,74985567.0,2040,GenX,full-base-1000,base,base,carbon_price
SPPS,108.9,177543457.0,2040,GenX,full-base-1000,base,base,carbon_price
SRCA,136.2,287884867.0,2040,GenX,full-base-1000,base,base,carbon_price
SRCE,124.2,285639456.0,2040,GenX,full-base-1000,base,base,carbon_price
SRSE,131.6,333542368.0,2040,GenX,full-base-1000,base,base,carbon_price
SRSG,131.0,204888767.0,2040,GenX,full-base-1000,base,base,carbon_price
TRE,112.6,555402906.0,2040,GenX,full-base-1000,base,base,carbon_price
TREW,104.2,26667903.0,2040,GenX,full-base-1000,base,base,carbon_price
BASN,81.3,205854891.0,2045,GenX,full-base-1000,base,base,carbon_price
CASO,87.7,185445572.0,2045,GenX,full-base-1000,base,base,carbon_price
CANO,90.0,287331528.0,2045,GenX,full-base-1000,base,base,carbon_price
FRCC,90.7,373487472.0,2045,GenX,full-base-1000,base,base,carbon_price
ISNE,113.7,228967778.0,2045,GenX,full-base-1000,base,base,carbon_price
MISC,77.7,296003389.0,2045,GenX,full-base-1000,base,base,carbon_price
MISE,88.2,149857318.0,2045,GenX,full-base-1000,base,base,carbon_price
MISS,78.4,273572998.0,2045,GenX,full-base-1000,base,base,carbon_price
MISW,78.9,360803886.0,2045,GenX,full-base-1000,base,base,carbon_price
NWPP,88.9,342473432.0,2045,GenX,full-base-1000,base,base,carbon_price
NYCW,117.3,116580170.0,2045,GenX,full-base-1000,base,base,carbon_price
NYUP,94.9,100244191.0,2045,GenX,full-base-1000,base,base,carbon_price
PJMC,83.4,165669492.0,2045,GenX,full-base-1000,base,base,carbon_price
