zone,value,planning_year,model,agg_zone,case
1.0,4.988562014197063,2027,SWITCH,,full-base-50
2.0,4.965740281146815,2027,SWITCH,,full-base-50
3.0,4.95589136778756,2027,SWITCH,,full-base-50
4.0,5.164261954276967,2027,SWITCH,,full-base-50
5.0,17562.454623563222,2027,SWITCH,,full-base-50
6.0,4.959060461849885,2027,SWITCH,,full-base-50
7.0,4.99426104943131,2027,SWITCH,,full-base-50
8.0,5.107150422203905,2027,SWITCH,,full-base-50
9.0,5.082576672030645,2027,SWITCH,,full-base-50
10.0,4.962974826955673,2027,SWITCH,,full-base-50
11.0,100.089837971338,2027,SWITCH,,full-base-50
12.0,4.982331129025236,2027,SWITCH,,full-base-50
13.0,5.017923700517941,2027,SWITCH,,full-base-50
14.0,4.995262574054067,2027,SWITCH,,full-base-50
15.0,5.0699200005255385,2027,SWITCH,,full-base-50
16.0,4.987544556923784,2027,SWITCH,,full-base-50
17.0,4.982934585349516,2027,SWITCH,,full-base-50
18.0,5.004568826158736,2027,SWITCH,,full-base-50
19.0,4.955099650109862,2027,SWITCH,,full-base-50
20.0,5.020477431504485,2027,SWITCH,,full-base-50
21.0,4.955537274771329,2027,SWITCH,,full-base-50
22.0,5.0138145491391946,2027,SWITCH,,full-base-50
23.0,5.034164586454233,2027,SWITCH,,full-base-50
24.0,5.094012492402733,2027,SWITCH,,full-base-50
25.0,5.0808765291251685,2027,SWITCH,,full-base-50
26.0,5.008974670158433,2027,SWITCH,,full-base-50
1.0,5457.969971360039,2040,SWITCH,,full-base-50
2.0,7.405784028591103,2040,SWITCH,,full-base-50
3.0,673.0805144927372,2040,SWITCH,,full-base-50
4.0,7.353627056228142,2040,SWITCH,,full-base-50
5.0,108949.01704769248,2040,SWITCH,,full-base-50
6.0,7.465107162881843,2040,SWITCH,,full-base-50
7.0,7.408657061791779,2040,SWITCH,,full-base-50
8.0,7.40569178644995,2040,SWITCH,,full-base-50
9.0,5611.438078304218,2040,SWITCH,,full-base-50
10.0,40467.19663848872,2040,SWITCH,,full-base-50
11.0,38514.48548211531,2040,SWITCH,,full-base-50
12.0,7.4277567995752065,2040,SWITCH,,full-base-50
13.0,7.407505214468938,2040,SWITCH,,full-base-50
14.0,748.8927106483484,2040,SWITCH,,full-base-50
15.0,282.2756202110225,2040,SWITCH,,full-base-50
16.0,1153.2213890762782,2040,SWITCH,,full-base-50
17.0,7.408787846570331,2040,SWITCH,,full-base-50
18.0,7.244766183051785,2040,SWITCH,,full-base-50
19.0,7.002413358220421,2040,SWITCH,,full-base-50
20.0,7.329379897991228,2040,SWITCH,,full-base-50
21.0,1478.1014740495702,2040,SWITCH,,full-base-50
22.0,7.437309088899931,2040,SWITCH,,full-base-50
23.0,7.469776752220544,2040,SWITCH,,full-base-50
24.0,7.188136169705163,2040,SWITCH,,full-base-50
25.0,7756.231620389252,2040,SWITCH,,full-base-50
26.0,6.8207627896673895,2040,SWITCH,,full-base-50
1.0,16665.90556264523,2045,SWITCH,,full-base-50
2.0,6.128717471488457,2045,SWITCH,,full-base-50
3.0,2044.5190011216991,2045,SWITCH,,full-base-50
4.0,3029.6760722821896,2045,SWITCH,,full-base-50
5.0,110326.68298798116,2045,SWITCH,,full-base-50
6.0,4524.297191866526,2045,SWITCH,,full-base-50
7.0,6.18967547456086,2045,SWITCH,,full-base-50
8.0,6.175904223076709,2045,SWITCH,,full-base-50
9.0,20925.143438708197,2045,SWITCH,,full-base-50
10.0,48104.3372740626,2045,SWITCH,,full-base-50
11.0,51440.688501078126,2045,SWITCH,,full-base-50
12.0,129.489710855229,2045,SWITCH,,full-base-50
13.0,6.167287878996334,2045,SWITCH,,full-base-50
14.0,905.823118259969,2045,SWITCH,,full-base-50
15.0,1336.299256021682,2045,SWITCH,,full-base-50
16.0,3728.671489991226,2045,SWITCH,,full-base-50
17.0,4265.254823972124,2045,SWITCH,,full-base-50
18.0,2980.934305258713,2045,SWITCH,,full-base-50
19.0,6.160733916343882,2045,SWITCH,,full-base-50
20.0,1961.6780778193904,2045,SWITCH,,full-base-50
21.0,6261.880003841903,2045,SWITCH,,full-base-50
22.0,12278.210098273776,2045,SWITCH,,full-base-50
23.0,5423.710367995115,2045,SWITCH,,full-base-50
24.0,6015.745681811083,2045,SWITCH,,full-base-50
25.0,24983.76850069196,2045,SWITCH,,full-base-50
26.0,6.087416624795114,2045,SWITCH,,full-base-50
1.0,19863.09307610139,2050,SWITCH,,full-base-50
2.0,7.905651409023726,2050,SWITCH,,full-base-50
3.0,2703.060910423887,2050,SWITCH,,full-base-50
4.0,4356.827422665098,2050,SWITCH,,full-base-50
5.0,104969.86199189228,2050,SWITCH,,full-base-50
6.0,7860.740151493824,2050,SWITCH,,full-base-50
7.0,1696.356231568128,2050,SWITCH,,full-base-50
8.0,2349.1215277812767,2050,SWITCH,,full-base-50
9.0,19839.10035568849,2050,SWITCH,,full-base-50
10.0,60945.06286377466,2050,SWITCH,,full-base-50
11.0,25455.40225570044,2050,SWITCH,,full-base-50
12.0,7.894036713320767,2050,SWITCH,,full-base-50
13.0,3821.126086034383,2050,SWITCH,,full-base-50
14.0,1258.8214183152988,2050,SWITCH,,full-base-50
15.0,9.973093965146449,2050,SWITCH,,full-base-50
16.0,3274.6359784307288,2050,SWITCH,,full-base-50
17.0,9342.54995329014,2050,SWITCH,,full-base-50
18.0,2846.498788489771,2050,SWITCH,,full-base-50
19.0,1517.8844057316749,2050,SWITCH,,full-base-50
20.0,6276.455739638775,2050,SWITCH,,full-base-50
21.0,10035.000092526392,2050,SWITCH,,full-base-50
22.0,17113.404349107557,2050,SWITCH,,full-base-50
23.0,9133.304833609,2050,SWITCH,,full-base-50
24.0,8164.1763372574915,2050,SWITCH,,full-base-50
25.0,33506.36965183891,2050,SWITCH,,full-base-50
26.0,7.890170259325288,2050,SWITCH,,full-base-50
1.0,3.841157958174316,2035,SWITCH,,full-base-50
2.0,3.870780191777949,2035,SWITCH,,full-base-50
3.0,4.205327882507234,2035,SWITCH,,full-base-50
4.0,4.230420202934434,2035,SWITCH,,full-base-50
5.0,89447.72796253607,2035,SWITCH,,full-base-50
6.0,4.08486554476688,2035,SWITCH,,full-base-50
7.0,3.776942678198918,2035,SWITCH,,full-base-50
8.0,3.890862034889228,2035,SWITCH,,full-base-50
9.0,127.7738535827606,2035,SWITCH,,full-base-50
10.0,5898.620246694127,2035,SWITCH,,full-base-50
11.0,17738.344637885628,2035,SWITCH,,full-base-50
12.0,3.6017072213797605,2035,SWITCH,,full-base-50
13.0,4.010108413740556,2035,SWITCH,,full-base-50
