line_name,planning_year,case,start_region,dest_region,value
BASN_to_CANO,2027,full-base-200,BASN,CANO,0.0
NYUP_to_PJME,2027,full-base-200,NYUP,PJME,0.5
MISC_to_MISE,2027,full-base-200,MISC,MISE,1.0
PJMC_to_PJMW,2027,full-base-200,PJMC,PJMW,0.0
PJMD_to_PJME,2027,full-base-200,PJMD,PJME,0.0
NWPP_to_SPPN,2027,full-base-200,NWPP,SPPN,0.5
NYCW_to_NYUP,2027,full-base-200,NYCW,NYUP,0.0
MISC_to_MISS,2027,full-base-200,MISC,MISS,0.0
NYCW_to_PJME,2027,full-base-200,NYCW,PJME,4309.5
PJMW_to_MISE,2027,full-base-200,PJMW,MISE,0.0
PJMW_to_SRCA,2027,full-base-200,PJMW,SRCA,0.0
FRCC_to_SRSE,2027,full-base-200,FRCC,SRSE,0.0
PJMW_to_SRCE,2027,full-base-200,PJMW,SRCE,0.0
ISNE_to_NYUP,2027,full-base-200,ISNE,NYUP,0.5
PJMD_to_PJMW,2027,full-base-200,PJMD,PJMW,0.0
PJMD_to_SRCA,2027,full-base-200,PJMD,SRCA,0.0
ISNE_to_NYCW,2027,full-base-200,ISNE,NYCW,51.333333333333336
PJME_to_PJMW,2027,full-base-200,PJME,PJMW,0.0
NWPP_to_RMRG,2027,full-base-200,NWPP,RMRG,0.0
MISS_to_SRCE,2027,full-base-200,MISS,SRCE,0.0
MISC_to_SPPS,2027,full-base-200,MISC,SPPS,0.0
MISS_to_SRSE,2027,full-base-200,MISS,SRSE,0.0
MISW_to_MISC,2027,full-base-200,MISW,MISC,0.0
MISC_to_SPPN,2027,full-base-200,MISC,SPPN,2.5
MISS_to_SPPC,2027,full-base-200,MISS,SPPC,2.5
MISC_to_SRCE,2027,full-base-200,MISC,SRCE,0.0
MISS_to_SPPS,2027,full-base-200,MISS,SPPS,20.666666666666668
MISC_to_PJMW,2027,full-base-200,MISC,PJMW,0.0
NWPP_to_BASN,2027,full-base-200,NWPP,BASN,0.5
NWPP_to_CASO,2027,full-base-200,NWPP,CASO,0.0
MISC_to_PJMC,2027,full-base-200,MISC,PJMC,0.0
MISW_to_SPPN,2027,full-base-200,MISW,SPPN,0.0
MISW_to_NWPP,2027,full-base-200,MISW,NWPP,0.0
MISW_to_PJMC,2027,full-base-200,MISW,PJMC,0.0
MISC_to_SPPC,2027,full-base-200,MISC,SPPC,0.0
MISW_to_SPPC,2027,full-base-200,MISW,SPPC,1.0
MISE_to_MISW,2027,full-base-200,MISE,MISW,1.0
SRCA_to_SRSE,2027,full-base-200,SRCA,SRSE,0.0
SPPS_to_TRE,2027,full-base-200,SPPS,TRE,4.0
SPPC_to_SPPN,2027,full-base-200,SPPC,SPPN,1590.0
SRSG_to_TRE,2027,full-base-200,SRSG,TRE,1.0
SRCE_to_SRSE,2027,full-base-200,SRCE,SRSE,0.0
SPPS_to_SRSG,2027,full-base-200,SPPS,SRSG,0.0
SPPN_to_SPPS,2027,full-base-200,SPPN,SPPS,8.0
SRSG_to_BASN,2027,full-base-200,SRSG,BASN,0.5
SPPC_to_SPPS,2027,full-base-200,SPPC,SPPS,0.0
CANO_to_NWPP,2027,full-base-200,CANO,NWPP,0.0
BASN_to_RMRG,2027,full-base-200,BASN,RMRG,0.0
CASO_to_BASN,2027,full-base-200,CASO,BASN,0.5
RMRG_to_SRSG,2027,full-base-200,RMRG,SRSG,1.5
RMRG_to_SPPN,2027,full-base-200,RMRG,SPPN,1477.5
CASO_to_SRSG,2027,full-base-200,CASO,SRSG,0.0
SPPS_to_TREW,2027,full-base-200,SPPS,TREW,1474.0
SRCA_to_SRCE,2027,full-base-200,SRCA,SRCE,0.0
RMRG_to_SPPC,2027,full-base-200,RMRG,SPPC,4.0
TREW_to_TRE,2027,full-base-200,TREW,TRE,0.0
CASO_to_CANO,2027,full-base-200,CASO,CANO,0.0
NYUP_to_PJME,2030,full-base-200,NYUP,PJME,3534.25
MISC_to_MISE,2030,full-base-200,MISC,MISE,1758.75
PJMC_to_PJMW,2030,full-base-200,PJMC,PJMW,8991.75
PJMD_to_PJME,2030,full-base-200,PJMD,PJME,2827.75
NYCW_to_PJME,2030,full-base-200,NYCW,PJME,324.6666666666667
NWPP_to_SPPN,2030,full-base-200,NWPP,SPPN,790.75
NYCW_to_NYUP,2030,full-base-200,NYCW,NYUP,1956.75
MISC_to_MISS,2030,full-base-200,MISC,MISS,0.5
PJMW_to_MISE,2030,full-base-200,PJMW,MISE,0.0
FRCC_to_SRSE,2030,full-base-200,FRCC,SRSE,0.5
PJMW_to_SRCA,2030,full-base-200,PJMW,SRCA,0.5
PJMW_to_SRCE,2030,full-base-200,PJMW,SRCE,0.5
ISNE_to_NYUP,2030,full-base-200,ISNE,NYUP,4578.5
PJMD_to_PJMW,2030,full-base-200,PJMD,PJMW,0.5
NWPP_to_RMRG,2030,full-base-200,NWPP,RMRG,2347.0
PJMD_to_SRCA,2030,full-base-200,PJMD,SRCA,9.0
ISNE_to_NYCW,2030,full-base-200,ISNE,NYCW,0.0
PJME_to_PJMW,2030,full-base-200,PJME,PJMW,3061.75
MISC_to_SPPS,2030,full-base-200,MISC,SPPS,3438.25
MISS_to_SRCE,2030,full-base-200,MISS,SRCE,0.5
MISS_to_SRSE,2030,full-base-200,MISS,SRSE,7367.5
MISC_to_SPPN,2030,full-base-200,MISC,SPPN,1756.0
MISW_to_MISC,2030,full-base-200,MISW,MISC,0.0
MISE_to_MISW,2030,full-base-200,MISE,MISW,1008.25
MISC_to_SRCE,2030,full-base-200,MISC,SRCE,2.5
MISS_to_SPPC,2030,full-base-200,MISS,SPPC,3216.75
MISS_to_SPPS,2030,full-base-200,MISS,SPPS,16544.75
MISC_to_PJMW,2030,full-base-200,MISC,PJMW,10.666666666666666
MISW_to_SPPN,2030,full-base-200,MISW,SPPN,0.0
NWPP_to_BASN,2030,full-base-200,NWPP,BASN,0.5
MISC_to_PJMC,2030,full-base-200,MISC,PJMC,1.0
NWPP_to_CASO,2030,full-base-200,NWPP,CASO,0.0
MISW_to_NWPP,2030,full-base-200,MISW,NWPP,1.5
MISC_to_SPPC,2030,full-base-200,MISC,SPPC,4687.25
MISW_to_PJMC,2030,full-base-200,MISW,PJMC,6868.25
MISW_to_SPPC,2030,full-base-200,MISW,SPPC,29.5
SPPC_to_SPPN,2030,full-base-200,SPPC,SPPN,7.333333333333333
SPPS_to_TRE,2030,full-base-200,SPPS,TRE,7282.5
SRSG_to_TRE,2030,full-base-200,SRSG,TRE,1995.25
RMRG_to_SRSG,2030,full-base-200,RMRG,SRSG,378.0
CANO_to_NWPP,2030,full-base-200,CANO,NWPP,0.5
SRCE_to_SRSE,2030,full-base-200,SRCE,SRSE,2.0
SPPN_to_SPPS,2030,full-base-200,SPPN,SPPS,5135.25
SPPS_to_SRSG,2030,full-base-200,SPPS,SRSG,6653.25
SPPC_to_SPPS,2030,full-base-200,SPPC,SPPS,1.5
SRSG_to_BASN,2030,full-base-200,SRSG,BASN,0.0
SRCA_to_SRSE,2030,full-base-200,SRCA,SRSE,0.5
RMRG_to_SPPN,2030,full-base-200,RMRG,SPPN,1634.25
BASN_to_RMRG,2030,full-base-200,BASN,RMRG,10.666666666666666
SPPS_to_TREW,2030,full-base-200,SPPS,TREW,4609.25
RMRG_to_SPPC,2030,full-base-200,RMRG,SPPC,5767.25
CASO_to_SRSG,2030,full-base-200,CASO,SRSG,2590.0
BASN_to_CANO,2030,full-base-200,BASN,CANO,0.5
TREW_to_TRE,2030,full-base-200,TREW,TRE,0.5
