case,tech_type,planning_year,end_value,min,max
20-week-foresight,Battery,2027,611.5,,
20-week-foresight,CCS,2027,86.5,,
20-week-foresight,Hydrogen,2027,174.5,,
20-week-foresight,Natural Gas CC,2027,1507.3,,
20-week-foresight,Natural Gas CT,2027,105.5,,
20-week-foresight,Nuclear,2027,41.5,,
20-week-foresight,Solar,2027,3624.5,,
20-week-foresight,Wind,2027,132778.7,,
20-week-foresight,Battery,2030,183.0,,
20-week-foresight,CCS,2030,104218.3,,
20-week-foresight,Hydrogen,2030,3214.3,,
20-week-foresight,Natural Gas CC,2030,274.3,,
20-week-foresight,Natural Gas CT,2030,3.0,,
20-week-foresight,Nuclear,2030,26.0,,
20-week-foresight,Solar,2030,162631.7,,
20-week-foresight,Wind,2030,225715.3,,
20-week-foresight,Battery,2035,1828.0,,
20-week-foresight,CCS,2035,73108.3,,
20-week-foresight,Hydrogen,2035,8702.0,,
20-week-foresight,Natural Gas CC,2035,6830.0,,
20-week-foresight,Natural Gas CT,2035,103.0,,
20-week-foresight,Nuclear,2035,30.0,,
20-week-foresight,Solar,2035,225897.7,,
20-week-foresight,Wind,2035,74937.3,,
20-week-foresight,Battery,2040,9554.7,,
20-week-foresight,CCS,2040,57664.0,,
20-week-foresight,Hydrogen,2040,4121.7,,
20-week-foresight,Natural Gas CC,2040,3517.3,,
20-week-foresight,Natural Gas CT,2040,4.0,,
20-week-foresight,Nuclear,2040,0.0,,
20-week-foresight,Solar,2040,120051.7,,
20-week-foresight,Wind,2040,57900.7,,
20-week-foresight,Battery,2045,28378.3,,
20-week-foresight,CCS,2045,57790.3,,
20-week-foresight,Hydrogen,2045,1069.0,,
20-week-foresight,Natural Gas CC,2045,395.0,,
20-week-foresight,Natural Gas CT,2045,-14.0,,
20-week-foresight,Nuclear,2045,2.5,,
20-week-foresight,Solar,2045,149373.3,,
20-week-foresight,Wind,2045,58690.7,,
20-week-foresight,Battery,2050,68508.0,100029.0,123396.0
20-week-foresight,CCS,2050,21406.7,301241.0,336653.0
20-week-foresight,Hydrogen,2050,667.3,391.0,52721.0
20-week-foresight,Natural Gas CC,2050,4.0,11018.0,14231.0
20-week-foresight,Natural Gas CT,2050,19.5,0.0,268.0
20-week-foresight,Nuclear,2050,1.5,87.0,116.0
20-week-foresight,Solar,2050,173619.0,725432.0,907846.0
20-week-foresight,Wind,2050,37365.3,557697.0,644172.0
20-week-foresight-current-policy,Battery,2027,1597.2,,
20-week-foresight-current-policy,CCS,2027,101.0,,
20-week-foresight-current-policy,Hydrogen,2027,318.0,,
20-week-foresight-current-policy,Natural Gas CC,2027,821.3,,
20-week-foresight-current-policy,Natural Gas CT,2027,224.5,,
20-week-foresight-current-policy,Nuclear,2027,83.0,,
20-week-foresight-current-policy,Solar,2027,17681.8,,
20-week-foresight-current-policy,Wind,2027,114576.8,,
20-week-foresight-current-policy,Battery,2030,2123.5,,
20-week-foresight-current-policy,CCS,2030,20.5,,
20-week-foresight-current-policy,Hydrogen,2030,30.0,,
20-week-foresight-current-policy,Natural Gas CC,2030,568.7,,
20-week-foresight-current-policy,Natural Gas CT,2030,18.5,,
20-week-foresight-current-policy,Nuclear,2030,12.0,,
20-week-foresight-current-policy,Solar,2030,7025.2,,
20-week-foresight-current-policy,Wind,2030,75223.2,,
20-week-foresight-current-policy,Battery,2035,8701.0,,
20-week-foresight-current-policy,CCS,2035,11.0,,
20-week-foresight-current-policy,Hydrogen,2035,49.0,,
20-week-foresight-current-policy,Natural Gas CC,2035,9494.5,,
20-week-foresight-current-policy,Natural Gas CT,2035,71.7,,
20-week-foresight-current-policy,Nuclear,2035,0.0,,
20-week-foresight-current-policy,Solar,2035,110465.0,,
20-week-foresight-current-policy,Wind,2035,118207.8,,
20-week-foresight-current-policy,Battery,2040,88707.0,,
20-week-foresight-current-policy,CCS,2040,12.0,,
20-week-foresight-current-policy,Hydrogen,2040,300.5,,
20-week-foresight-current-policy,Natural Gas CC,2040,23954.2,,
20-week-foresight-current-policy,Natural Gas CT,2040,1827.0,,
20-week-foresight-current-policy,Nuclear,2040,10.0,,
20-week-foresight-current-policy,Solar,2040,420640.0,,
20-week-foresight-current-policy,Wind,2040,145716.2,,
20-week-foresight-current-policy,Battery,2045,1786.8,,
20-week-foresight-current-policy,CCS,2045,2.7,,
20-week-foresight-current-policy,Hydrogen,2045,640.2,,
20-week-foresight-current-policy,Natural Gas CC,2045,137000.0,,
20-week-foresight-current-policy,Natural Gas CT,2045,3135.8,,
20-week-foresight-current-policy,Nuclear,2045,1.5,,
20-week-foresight-current-policy,Solar,2045,3947.8,,
20-week-foresight-current-policy,Wind,2045,1664.0,,
20-week-foresight-current-policy,Battery,2050,4469.8,82239.0,152427.0
20-week-foresight-current-policy,CCS,2050,9.7,0.0,206.0
20-week-foresight-current-policy,Hydrogen,2050,349.0,191.0,4261.0
20-week-foresight-current-policy,Natural Gas CC,2050,125253.8,246921.0,383527.0
20-week-foresight-current-policy,Natural Gas CT,2050,2246.2,444.0,20886.0
20-week-foresight-current-policy,Nuclear,2050,0.5,97.0,117.0
20-week-foresight-current-policy,Solar,2050,34426.5,354092.0,717657.0
20-week-foresight-current-policy,Wind,2050,8614.5,422590.0,523766.0
20-week-myopic,Battery,2027,14.0,,
20-week-myopic,CCS,2027,0.0,,
20-week-myopic,Hydrogen,2027,0.5,,
20-week-myopic,Natural Gas CC,2027,3799.7,,
20-week-myopic,Natural Gas CT,2027,0.5,,
20-week-myopic,Nuclear,2027,0.0,,
20-week-myopic,Solar,2027,1133.5,,
20-week-myopic,Wind,2027,122440.3,,
20-week-myopic,Battery,2030,38.0,,
20-week-myopic,CCS,2030,88839.7,,
20-week-myopic,Hydrogen,2030,2744.0,,
20-week-myopic,Natural Gas CC,2030,1114.3,,
20-week-myopic,Natural Gas CT,2030,13.0,,
20-week-myopic,Nuclear,2030,2.0,,
20-week-myopic,Solar,2030,273720.0,,
20-week-myopic,Wind,2030,194594.3,,
20-week-myopic,Battery,2035,1711.0,,
20-week-myopic,CCS,2035,94274.7,,
20-week-myopic,Hydrogen,2035,9130.7,,
20-week-myopic,Natural Gas CC,2035,4268.7,,
20-week-myopic,Natural Gas CT,2035,239.5,,
20-week-myopic,Nuclear,2035,88.5,,
20-week-myopic,Solar,2035,141342.7,,
20-week-myopic,Wind,2035,76761.3,,
20-week-myopic,Battery,2040,8290.3,,
20-week-myopic,CCS,2040,57257.3,,
20-week-myopic,Hydrogen,2040,4255.0,,
20-week-myopic,Natural Gas CC,2040,1485.3,,
20-week-myopic,Natural Gas CT,2040,-145.5,,
20-week-myopic,Nuclear,2040,0.5,,
20-week-myopic,Solar,2040,89586.0,,
20-week-myopic,Wind,2040,67081.7,,
20-week-myopic,Battery,2045,25748.3,,
20-week-myopic,CCS,2045,57413.0,,
20-week-myopic,Hydrogen,2045,-1143.0,,
20-week-myopic,Natural Gas CC,2045,2122.7,,
20-week-myopic,Natural Gas CT,2045,186.5,,
20-week-myopic,Nuclear,2045,4.5,,
20-week-myopic,Solar,2045,145744.3,,
20-week-myopic,Wind,2045,67676.7,,
20-week-myopic,Battery,2050,57368.3,78036.0,113749.0
20-week-myopic,CCS,2050,26594.0,319395.0,331063.0
20-week-myopic,Hydrogen,2050,-431.7,0.0,42674.0
20-week-myopic,Natural Gas CC,2050,-325.7,4967.0,16654.0
20-week-myopic,Natural Gas CT,2050,-74.5,0.0,439.0
20-week-myopic,Nuclear,2050,0.0,0.0,191.0
20-week-myopic,Solar,2050,154266.0,701700.0,874553.0
20-week-myopic,Wind,2050,43223.0,542819.0,612244.0
20-week-myopic-current-policy,Battery,2027,30.7,,
20-week-myopic-current-policy,CCS,2027,6.0,,
20-week-myopic-current-policy,Hydrogen,2027,15.7,,
20-week-myopic-current-policy,Natural Gas CC,2027,10.3,,
20-week-myopic-current-policy,Natural Gas CT,2027,8.7,,
20-week-myopic-current-policy,Nuclear,2027,0.0,,
20-week-myopic-current-policy,Solar,2027,16485.2,,
20-week-myopic-current-policy,Wind,2027,127328.4,,
20-week-myopic-current-policy,Battery,2030,319.0,,
20-week-myopic-current-policy,CCS,2030,50.3,,
20-week-myopic-current-policy,Hydrogen,2030,119.3,,
20-week-myopic-current-policy,Natural Gas CC,2030,107.7,,
20-week-myopic-current-policy,Natural Gas CT,2030,72.3,,
20-week-myopic-current-policy,Nuclear,2030,25.7,,
20-week-myopic-current-policy,Solar,2030,46377.8,,
20-week-myopic-current-policy,Wind,2030,79549.4,,
20-week-myopic-current-policy,Battery,2035,6591.6,,
20-week-myopic-current-policy,CCS,2035,13.3,,
20-week-myopic-current-policy,Hydrogen,2035,53.0,,
20-week-myopic-current-policy,Natural Gas CC,2035,4779.2,,
20-week-myopic-current-policy,Natural Gas CT,2035,148.2,,
20-week-myopic-current-policy,Nuclear,2035,8.0,,
20-week-myopic-current-policy,Solar,2035,200532.4,,
20-week-myopic-current-policy,Wind,2035,94158.6,,
20-week-myopic-current-policy,Battery,2040,42474.4,,
20-week-myopic-current-policy,CCS,2040,3508.6,,
20-week-myopic-current-policy,Hydrogen,2040,87.0,,
20-week-myopic-current-policy,Natural Gas CC,2040,48506.6,,
20-week-myopic-current-policy,Natural Gas CT,2040,1358.0,,
20-week-myopic-current-policy,Nuclear,2040,2.3,,
20-week-myopic-current-policy,Solar,2040,182621.0,,
20-week-myopic-current-policy,Wind,2040,86768.0,,
20-week-myopic-current-policy,Battery,2045,2820.0,,
20-week-myopic-current-policy,CCS,2045,11.2,,
20-week-myopic-current-policy,Hydrogen,2045,574.2,,
20-week-myopic-current-policy,Natural Gas CC,2045,156620.4,,
20-week-myopic-current-policy,Natural Gas CT,2045,1469.2,,
20-week-myopic-current-policy,Nuclear,2045,13.7,,
20-week-myopic-current-policy,Solar,2045,11481.8,,
20-week-myopic-current-policy,Wind,2045,2050.6,,
20-week-myopic-current-policy,Battery,2050,13634.6,40045.0,84713.0
20-week-myopic-current-policy,CCS,2050,17.6,112.0,12028.0
20-week-myopic-current-policy,Hydrogen,2050,505.2,199.0,2812.0
20-week-myopic-current-policy,Natural Gas CC,2050,129373.6,326396.0,354742.0
20-week-myopic-current-policy,Natural Gas CT,2050,1820.6,2330.0,5729.0
20-week-myopic-current-policy,Nuclear,2050,4.3,0.0,128.0
20-week-myopic-current-policy,Solar,2050,64843.4,361692.0,582882.0
20-week-myopic-current-policy,Wind,2050,9861.0,354597.0,456136.0
full-base-200,Battery,2027,29.0,,
full-base-200,CCS,2027,0.0,,
full-base-200,Hydrogen,2027,1.0,,
full-base-200,Natural Gas CC,2027,1423.8,,
full-base-200,Natural Gas CT,2027,13.0,,
full-base-200,Nuclear,2027,0.0,,
full-base-200,Solar,2027,105.5,,
full-base-200,Wind,2027,117741.5,,
full-base-200,Battery,2030,571.0,,
full-base-200,CCS,2030,74693.2,,
full-base-200,Hydrogen,2030,309.0,,
full-base-200,Natural Gas CC,2030,1066.8,,
full-base-200,Natural Gas CT,2030,155.0,,
full-base-200,Nuclear,2030,69.0,,
full-base-200,Solar,2030,247809.8,,
full-base-200,Wind,2030,242590.0,,
full-base-200,Battery,2035,3027.8,,
full-base-200,CCS,2035,102819.2,,
full-base-200,Hydrogen,2035,-46.7,,
full-base-200,Natural Gas CC,2035,8736.5,,
full-base-200,Natural Gas CT,2035,-20.5,,
full-base-200,Nuclear,2035,1.0,,
full-base-200,Solar,2035,143283.2,,
full-base-200,Wind,2035,72376.2,,
full-base-200,Battery,2040,13373.5,,
full-base-200,CCS,2040,58720.0,,
full-base-200,Hydrogen,2040,15.7,,
full-base-200,Natural Gas CC,2040,2384.0,,
full-base-200,Natural Gas CT,2040,705.5,,
full-base-200,Nuclear,2040,2.0,,
full-base-200,Solar,2040,109543.8,,
full-base-200,Wind,2040,63188.5,,
full-base-200,Battery,2045,31446.5,,
full-base-200,CCS,2045,55954.8,,
full-base-200,Hydrogen,2045,10.0,,
full-base-200,Natural Gas CC,2045,1255.5,,
full-base-200,Natural Gas CT,2045,4.0,,
full-base-200,Nuclear,2045,1.0,,
full-base-200,Solar,2045,141294.2,,
full-base-200,Wind,2045,72953.5,,
full-base-200,Battery,2050,74257.8,106428.0,128686.0
full-base-200,CCS,2050,27101.2,311403.0,324747.0
full-base-200,Hydrogen,2050,1.3,0.0,194.0
full-base-200,Natural Gas CC,2050,6.5,11380.0,20004.0
full-base-200,Natural Gas CT,2050,0.8,0.0,2806.0
full-base-200,Nuclear,2050,1.5,0.0,80.0
full-base-200,Solar,2050,153450.5,773625.0,805755.0
full-base-200,Wind,2050,41431.8,594720.0,634543.0
full-current-policies,Battery,2027,102.5,,
full-current-policies,CCS,2027,10.0,,
full-current-policies,Hydrogen,2027,26.0,,
full-current-policies,Natural Gas CC,2027,21.5,,
full-current-policies,Natural Gas CT,2027,13.0,,
full-current-policies,Nuclear,2027,0.0,,
full-current-policies,Solar,2027,12925.5,,
full-current-policies,Wind,2027,141779.8,,
full-current-policies,Battery,2030,-21.3,,
full-current-policies,CCS,2030,0.0,,
full-current-policies,Hydrogen,2030,0.5,,
full-current-policies,Natural Gas CC,2030,1.0,,
full-current-policies,Natural Gas CT,2030,0.5,,
full-current-policies,Nuclear,2030,1.5,,
full-current-policies,Solar,2030,37618.0,,
full-current-policies,Wind,2030,78000.2,,
full-current-policies,Battery,2035,11280.5,,
full-current-policies,CCS,2035,133.5,,
full-current-policies,Hydrogen,2035,220.0,,
full-current-policies,Natural Gas CC,2035,10497.2,,
full-current-policies,Natural Gas CT,2035,1356.0,,
full-current-policies,Nuclear,2035,42.5,,
full-current-policies,Solar,2035,216981.8,,
full-current-policies,Wind,2035,105009.0,,
full-current-policies,Battery,2040,44201.5,,
full-current-policies,CCS,2040,4988.0,,
full-current-policies,Hydrogen,2040,183.2,,
full-current-policies,Natural Gas CC,2040,58512.0,,
full-current-policies,Natural Gas CT,2040,4083.2,,
full-current-policies,Nuclear,2040,4.5,,
full-current-policies,Solar,2040,152305.5,,
full-current-policies,Wind,2040,89230.8,,
full-current-policies,Battery,2045,2261.8,,
full-current-policies,CCS,2045,14.2,,
full-current-policies,Hydrogen,2045,1497.0,,
full-current-policies,Natural Gas CC,2045,164247.2,,
full-current-policies,Natural Gas CT,2045,1707.8,,
full-current-policies,Nuclear,2045,16.0,,
full-current-policies,Solar,2045,17930.0,,
full-current-policies,Wind,2045,3630.5,,
full-current-policies,Battery,2050,13874.2,63075.0,84034.0
full-current-policies,CCS,2050,31.0,2255.0,6932.0
full-current-policies,Hydrogen,2050,1214.8,2029.0,5780.0
full-current-policies,Natural Gas CC,2050,125793.5,356298.0,364534.0
full-current-policies,Natural Gas CT,2050,2325.0,7399.0,11565.0
full-current-policies,Nuclear,2050,15.5,27.0,133.0
full-current-policies,Solar,2050,73455.8,504969.0,523088.0
full-current-policies,Wind,2050,9866.2,420553.0,438866.0
