line_name,planning_year,case,start_region,dest_region,value
BASN_to_CANO,2027,full-base-200,BASN,CANO,0.0
MISC_to_MISW,2027,full-base-200,MISC,MISW,0.0
PJMC_to_PJMW,2035,full-base-200,PJMC,PJMW,800.0
PJMC_to_PJMW,2040,full-base-200,PJMC,PJMW,400.3333333333333
MISC_to_MISS,2050,full-base-200,MISC,MISS,0.0
PJMC_to_PJMW,2045,full-base-200,PJMC,PJMW,24.333333333333332
MISC_to_MISS,2045,full-base-200,MISC,MISS,0.0
PJMC_to_PJMW,2050,full-base-200,PJMC,PJMW,67.33333333333333
PJMD_to_PJME,2027,full-base-200,PJMD,PJME,0.0
MISC_to_MISS,2040,full-base-200,MISC,MISS,0.0
PJMD_to_PJME,2030,full-base-200,PJMD,PJME,2827.75
PJMC_to_PJMW,2030,full-base-200,PJMC,PJMW,8991.75
MISC_to_MISS,2035,full-base-200,MISC,MISS,3.6666666666666665
PJMD_to_PJME,2040,full-base-200,PJMD,PJME,1036.0
MISC_to_MISS,2030,full-base-200,MISC,MISS,0.5
PJMD_to_PJME,2045,full-base-200,PJMD,PJME,1798.5
MISC_to_MISS,2027,full-base-200,MISC,MISS,0.0
PJMD_to_PJME,2050,full-base-200,PJMD,PJME,489.0
PJMD_to_PJMW,2027,full-base-200,PJMD,PJMW,0.0
MISC_to_MISE,2050,full-base-200,MISC,MISE,258.6666666666667
PJMD_to_PJMW,2030,full-base-200,PJMD,PJMW,0.5
MISC_to_MISE,2045,full-base-200,MISC,MISE,31.0
PJMD_to_PJMW,2035,full-base-200,PJMD,PJMW,0.0
PJMD_to_PJME,2035,full-base-200,PJMD,PJME,1014.25
PJMD_to_PJMW,2040,full-base-200,PJMD,PJMW,0.0
MISC_to_MISW,2030,full-base-200,MISC,MISW,0.0
NYUP_to_PJME,2050,full-base-200,NYUP,PJME,9.0
NYCW_to_NYUP,2045,full-base-200,NYCW,NYUP,408.3333333333333
MISC_to_PJMC,2045,full-base-200,MISC,PJMC,6.666666666666667
NYCW_to_NYUP,2050,full-base-200,NYCW,NYUP,0.0
NYCW_to_PJME,2027,full-base-200,NYCW,PJME,4309.5
MISC_to_PJMC,2040,full-base-200,MISC,PJMC,7.333333333333333
NYCW_to_PJME,2030,full-base-200,NYCW,PJME,324.6666666666667
MISC_to_PJMC,2035,full-base-200,MISC,PJMC,8.333333333333334
NYCW_to_PJME,2035,full-base-200,NYCW,PJME,4527.0
NYCW_to_PJME,2040,full-base-200,NYCW,PJME,1357.5
MISC_to_PJMC,2030,full-base-200,MISC,PJMC,1.0
PJMC_to_PJMW,2027,full-base-200,PJMC,PJMW,0.0
NYCW_to_PJME,2045,full-base-200,NYCW,PJME,1280.0
NYCW_to_PJME,2050,full-base-200,NYCW,PJME,280.6666666666667
NYUP_to_PJME,2027,full-base-200,NYUP,PJME,0.5
MISC_to_MISW,2050,full-base-200,MISC,MISW,0.0
NYUP_to_PJME,2030,full-base-200,NYUP,PJME,3534.25
MISC_to_MISW,2045,full-base-200,MISC,MISW,0.0
NYUP_to_PJME,2035,full-base-200,NYUP,PJME,3598.0
NYUP_to_PJME,2040,full-base-200,NYUP,PJME,1970.25
MISC_to_MISW,2040,full-base-200,MISC,MISW,0.0
