Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,896769.1139134746,934.8,0.0
BASN_biomass_1,1,70761.60000000114,8.1,1.0000000000000162
BASN_biomass_2,1,145017.59999999404,16.6,0.9999999999999588
BASN_conventional_hydroelectric_1,1,7.550774628764482e6,2480.0,0.3485195958124927
BASN_conventional_steam_coal_1,1,153.93128969054746,1178.2,1.4955304648705475e-5
BASN_conventional_steam_coal_2,1,158.53507260336914,1822.0,9.960115114926812e-6
BASN_geothermal_1,1,3.4285112412741994e6,414.0,0.9479656729647213
BASN_natural_gas_fired_combined_cycle_1,1,354756.17798386177,735.2,0.05523468016475385
BASN_natural_gas_fired_combined_cycle_2,1,8.269035357635282e6,7294.0,0.12977064541286007
BASN_natural_gas_fired_combustion_turbine_1,1,17366.53372304154,1824.7,0.0010894543733418129
BASN_natural_gas_fired_combustion_turbine_2,1,5075.441882431581,236.2,0.0024596954655362363
BASN_natural_gas_internal_combustion_engine_1,1,34226.72087827383,221.4,0.017695997621629544
BASN_natural_gas_steam_turbine_1,1,403.1792242765927,5.0,0.00923029359607584
BASN_onshore_wind_turbine_1,1,3.1731260973575064e6,2019.6,0.17984954504903608
BASN_petroleum_liquids_1,1,71.28481597487155,25.8,0.0003162748813378107
BASN_small_hydroelectric_1,1,1.5122015999999626e6,173.1,0.9999999999999752
BASN_solar_photovoltaic_1,1,1.8759813156713556e7,8006.2,0.26821894403050944
CANO_batteries_1,2,3.623404241064823e6,2645.7,0.0
CANO_biomass_1,2,1.2815712000000528e6,146.7,1.0000000000000413
CANO_biomass_2,2,552988.8000000117,63.3,1.0000000000000213
CANO_conventional_hydroelectric_1,2,1.770482234770945e7,6903.7,0.29356010686519923
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.642335372380751e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,62606.50195312646,3112.8,0.0023022665082697673
CANO_natural_gas_fired_combined_cycle_2,2,6.862830584304731e6,8296.9,0.09468360761580304
CANO_natural_gas_fired_combustion_turbine_1,2,2597.0095709415064,2248.7,0.00013219937590627795
CANO_natural_gas_fired_combustion_turbine_2,2,2687.9161529060307,2337.5,0.00013162896676392386
CANO_natural_gas_internal_combustion_engine_1,2,28156.147516898913,444.4,0.007252480274701298
CANO_natural_gas_steam_turbine_1,2,223.08400520023213,2.9,0.008805576812564424
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.997493760579417e6,1262.0,0.18118133324656713
CANO_petroleum_liquids_1,2,119.56778070695995,176.6,7.750163128305723e-5
CANO_small_hydroelectric_1,2,1.8861023999997184e6,215.9,0.9999999999998507
CANO_solar_photovoltaic_1,2,1.5136762083153773e7,6328.2,0.2738042361799526
CASO_batteries_1,3,1.1521066806976916e7,8439.5,0.0
CASO_biomass_1,3,958339.2000000363,109.7,1.000000000000038
