Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,780603.693672525,926.47,0.0
BASN_biomass_1,1,0.0,0.0,0.0
BASN_biomass_2,1,167469.11999999094,19.17,0.9999999999999458
BASN_conventional_hydroelectric_1,1,7.490646919944855e6,2489.26,0.3444581309559004
BASN_conventional_steam_coal_1,1,50.74188652147617,1166.42,4.9796523817504465e-6
BASN_conventional_steam_coal_2,1,53.70146264591456,1803.78,3.407924164474039e-6
BASN_geothermal_1,1,4.160377895230136e6,519.38,0.9169273622941931
BASN_natural_gas_fired_combined_cycle_1,1,140844.7570262742,915.94,0.017601960175547226
BASN_natural_gas_fired_combined_cycle_2,1,8.721092821287263e6,7221.07,0.13824732237470605
BASN_natural_gas_fired_combustion_turbine_1,1,86.03642859119878,1927.33,5.109914899779005e-6
BASN_natural_gas_fired_combustion_turbine_2,1,100.11398027575534,233.84,4.9007584842730106e-5
BASN_natural_gas_internal_combustion_engine_1,1,12150.247244705562,219.17,0.006345873089918306
BASN_natural_gas_steam_turbine_1,1,44.575898849116065,240.08,2.1253550999405524e-5
BASN_onshore_wind_turbine_1,1,3.3431433807683103e6,2030.09,0.1885068280485836
BASN_petroleum_liquids_1,1,42.29660945180343,25.8,0.0001876606532880224
BASN_small_hydroelectric_1,1,1.626905279999968e6,186.23,0.9999999999999802
BASN_solar_photovoltaic_1,1,1.9358378466901872e7,8006.24,0.2767755651922469
CANO_batteries_1,2,3.4161746904911255e6,2624.1,0.0
CANO_biomass_1,2,1.257896639999961e6,143.99,0.999999999999969
CANO_biomass_2,2,609073.9200000088,69.72,1.0000000000000144
CANO_conventional_hydroelectric_1,2,1.7629048108138748e7,6902.95,0.292335467967409
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,4.652685802523064e6,2254.13,0.0
CANO_natural_gas_fired_combined_cycle_1,2,28722.695364532203,3081.67,0.0010669066846427807
CANO_natural_gas_fired_combined_cycle_2,2,1.4269087362810664e7,8213.93,0.19885319541656193
CANO_natural_gas_fired_combustion_turbine_1,2,110.637673251225,2226.2,5.6888728885746955e-6
CANO_natural_gas_fired_combustion_turbine_2,2,107.6102593920018,2396.98,5.138976628007911e-6
CANO_natural_gas_internal_combustion_engine_1,2,1102.956632813664,439.94,0.00028698048214888944
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.2836845770710497e6,1441.98,0.18128599588231603
CANO_petroleum_liquids_1,2,46.772171201658665,175.51,3.050514116686908e-5
CANO_small_hydroelectric_1,2,1.972326720000055e6,225.77,1.000000000000028
CANO_solar_photovoltaic_1,2,1.5147834421713622e7,6328.22,0.2740036543318558
CASO_batteries_1,3,1.078606500050715e7,8838.49,0.0
CASO_biomass_1,3,890373.1200000382,101.92,1.0000000000000429
CASO_biomass_2,3,180573.1199999905,20.67,0.9999999999999474
CASO_conventional_hydroelectric_1,3,2.2140761676986567e6,961.31,0.2636431377641348
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,184928.44649489172,23.73,0.892058545228041
CASO_hydroelectric_pumped_storage_1,3,3.5169505737950224e6,1648.35,0.0
CASO_natural_gas_fired_combined_cycle_1,3,52694.57410058491,2083.85,0.002894588411336896
CASO_natural_gas_fired_combined_cycle_2,3,1.993008044535973e7,7481.58,0.30493207014473533
CASO_natural_gas_fired_combustion_turbine_1,3,116.66743683994724,1853.37,7.205678852879742e-6
CASO_natural_gas_fired_combustion_turbine_2,3,2456.537183031836,4527.66,6.210647925577392e-5
CASO_natural_gas_internal_combustion_engine_1,3,11736.792273327472,50.2,0.026762894104277648
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.1714774339463172e7,3944.87,0.33992930467856763
CASO_petroleum_liquids_1,3,48.172796324308855,14.1,0.00039108406337117185
CASO_small_hydroelectric_1,3,575527.6800000175,65.88,1.0000000000000304
CASO_solar_photovoltaic_1,3,3.1449869687771544e7,13797.3,0.2609228523590101
FRCC_batteries_1,4,642934.1434798753,549.67,0.0
FRCC_biomass_1,4,740987.5200000386,84.82,1.000000000000052
FRCC_biomass_2,4,1.0048147199999623e6,115.02,0.9999999999999625
FRCC_conventional_hydroelectric_1,4,112652.56282330814,43.5,0.29644163094003445
FRCC_conventional_steam_coal_1,4,55.50200116141673,3103.65,2.0470256145818536e-6
FRCC_conventional_steam_coal_2,4,26.854003986695304,437.58,7.024880805337015e-6
FRCC_natural_gas_fired_combined_cycle_1,4,2.684046448879692e7,29626.9,0.10370296898593724
FRCC_natural_gas_fired_combined_cycle_2,4,387.3630751989609,2671.71,1.6596491144320457e-5
FRCC_natural_gas_fired_combustion_turbine_1,4,72588.01302034856,7785.73,0.001067217515183605
FRCC_natural_gas_fired_combustion_turbine_2,4,66.30443600630255,929.52,8.165282617791919e-6
FRCC_natural_gas_internal_combustion_engine_1,4,143458.2998520774,248.39,0.06611179468859926
FRCC_natural_gas_steam_turbine_1,4,57.544375728846624,229.68,2.8679203005271502e-5
FRCC_nuclear_1,4,3.108318657945131e7,3737.0,0.9521158875631894
FRCC_petroleum_liquids_1,4,42.54457299094622,447.1,1.0892482575679568e-5
FRCC_solar_photovoltaic_1,4,1.8515507804439295e7,9458.55,0.22407759682388573
ISNE_batteries_1,5,350707.203835468,366.39,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,1.6347676800000325e6,187.13,1.00000000000002
ISNE_conventional_hydroelectric_1,5,2.14653532544388e6,593.38,0.41408787159301863
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,22672.910706674964,326.7,0.007944114915203682
ISNE_hydroelectric_pumped_storage_1,5,3.4492034644236336e6,1800.99,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,840151.5386829603,3370.79,0.028530757660610043
ISNE_natural_gas_fired_combined_cycle_2,5,1.935042704477636e7,10513.3,0.21068754918086188
ISNE_natural_gas_fired_combustion_turbine_1,5,159912.15727371315,1338.39,0.013676852829062088
ISNE_natural_gas_fired_combustion_turbine_2,5,20244.925340607315,437.76,0.0052937993763620675
ISNE_natural_gas_internal_combustion_engine_1,5,29588.992592686525,63.62,0.05323826442726295
ISNE_natural_gas_steam_turbine_1,5,5706.455282874117,41.9,0.015589772228471431
ISNE_nuclear_1,5,2.6164967297504827e7,3355.5,0.8925865282105054
ISNE_offshore_wind_turbine_1,5,94106.57963711771,29.3,0.36765437918462895
ISNE_onshore_wind_turbine_1,5,2.876000521027258e6,1542.12,0.21348047742967657
ISNE_petroleum_liquids_1,5,24064.708515117414,1041.56,0.0026447442850145012
ISNE_small_hydroelectric_1,5,2.2788729599999073e6,260.86,0.9999999999999591
ISNE_solar_photovoltaic_1,5,4.791841243929922e6,2681.89,0.2045261460789701
MISC_batteries_1,6,34395.62793179067,36.3,0.0
MISC_biomass_1,6,302702.40000000095,34.65,1.000000000000003
MISC_biomass_2,6,300867.8400000093,34.44,1.0000000000000309
MISC_conventional_hydroelectric_1,6,1.3109250229777563e6,446.99,0.3357124293252283
MISC_conventional_steam_coal_1,6,48.24682895160594,1323.63,4.172434686667624e-6
MISC_conventional_steam_coal_2,6,65.29103926086195,12185.7,6.133247268669764e-7
MISC_hydroelectric_pumped_storage_1,6,1.157668929400153e6,466.29,0.0
MISC_natural_gas_fired_combined_cycle_1,6,776323.8454082354,1567.77,0.05668236351249418
MISC_natural_gas_fired_combined_cycle_2,6,6.568650693166846e6,3192.49,0.23552336450213732
MISC_natural_gas_fired_combustion_turbine_1,6,89024.9196242176,571.83,0.017820998301621316
MISC_natural_gas_fired_combustion_turbine_2,6,194052.72565343668,8811.43,0.0025209296507646296
MISC_natural_gas_internal_combustion_engine_1,6,11962.385599780213,76.7,0.017852942580776233
MISC_natural_gas_steam_turbine_1,6,1902.4406219360621,198.6,0.0010965267759942667
MISC_nuclear_1,6,1.743433406303363e7,2349.27,0.849493001215826
MISC_onshore_wind_turbine_1,6,1.382895486999931e7,6436.97,0.24592079204346054
MISC_petroleum_liquids_1,6,58.33761927820863,429.01,1.556570018086636e-5
