region,marginal_price,total_demand
BASN,228.01451441435066,117622650.0
CASO,238.12076223854805,115510879.0
CANO,249.09990521178423,178550343.0
FRCC,228.7334902801766,263664150.0
ISNE,269.8631721576023,149354094.0
MISC,219.83453791813565,200796305.0
MISE,238.82923010898972,108618551.0
MISS,212.58955001070228,185407544.0
MISW,214.19646418681222,244560055.0
NWPP,214.11525640912745,213747716.0
NYCW,328.8014732389051,83015898.0
NYUP,269.0289214842858,74762455.0
PJMC,223.65048445564122,125041636.0
PJMD,269.35019621288984,116835353.0
PJME,301.90908292151,308414943.0
PJMW,230.54728123978336,328889729.0
RMRG,189.05451725444746,100288099.0
SPPC,199.94895030149442,83557695.0
SPPN,194.3535819102814,54220969.0
SPPS,191.31291345240302,131322851.0
SRCA,235.03771018198046,228687588.0
SRCE,218.53748963527048,225061849.0
SRSE,228.2497192894116,255962582.0
SRSG,219.2945085801299,147664933.0
TRE,199.28649012487074,442846698.0
TREW,183.6646541494922,20819394.0
