model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2027,full-base-1000,MWh,114384
USENSYS,BASN,BASN_batteries_1,Battery,2030,full-base-1000,MWh,636971
USENSYS,BASN,BASN_batteries_1,Battery,2035,full-base-1000,MWh,769991
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,full-base-1000,MWh,2458518
USENSYS,BASN,BASN_battery_moderate_0,Battery,2045,full-base-1000,MWh,7628577
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,full-base-1000,MWh,13407204
USENSYS,BASN,BASN_biomass_1,Other,2027,full-base-1000,MWh,69176
USENSYS,BASN,BASN_biomass_1,Other,2030,full-base-1000,MWh,47309
USENSYS,BASN,BASN_biomass_1,Other,2035,full-base-1000,MWh,46524
USENSYS,BASN,BASN_biomass_1,Other,2040,full-base-1000,MWh,45803
USENSYS,BASN,BASN_biomass_1,Other,2045,full-base-1000,MWh,41286
USENSYS,BASN,BASN_biomass_1,Other,2050,full-base-1000,MWh,28044
USENSYS,BASN,BASN_biomass_2,Other,2027,full-base-1000,MWh,181776
USENSYS,BASN,BASN_biomass_2,Other,2030,full-base-1000,MWh,126138
USENSYS,BASN,BASN_biomass_2,Other,2035,full-base-1000,MWh,99345
USENSYS,BASN,BASN_biomass_2,Other,2040,full-base-1000,MWh,98105
USENSYS,BASN,BASN_biomass_2,Other,2045,full-base-1000,MWh,101329
USENSYS,BASN,BASN_biomass_2,Other,2050,full-base-1000,MWh,67874
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,full-base-1000,MWh,8467816
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,full-base-1000,MWh,7922232
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2035,full-base-1000,MWh,7717014
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,full-base-1000,MWh,5192487
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2045,full-base-1000,MWh,4826142
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,full-base-1000,MWh,4295100
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2027,full-base-1000,MWh,2276003
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,full-base-1000,MWh,1456
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2027,full-base-1000,MWh,11269757
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,full-base-1000,MWh,2726
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2027,full-base-1000,MWh,2824359
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,full-base-1000,MWh,3872685
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2035,full-base-1000,MWh,4679511
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,full-base-1000,MWh,4541821
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2045,full-base-1000,MWh,4493803
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,full-base-1000,MWh,4552660
USENSYS,BASN,BASN_geothermal_1,Geothermal,2027,full-base-1000,MWh,4036032
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,full-base-1000,MWh,3782688
USENSYS,BASN,BASN_geothermal_1,Geothermal,2035,full-base-1000,MWh,3616704
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,full-base-1000,MWh,2507232
USENSYS,BASN,BASN_geothermal_1,Geothermal,2045,full-base-1000,MWh,1327872
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,full-base-1000,MWh,489216
USENSYS,BASN,BASN_hydrogen_hframe_cc_moderate_0,BASN_hydrogen_hframe_cc_moderate_0,2045,full-base-1000,MWh,7234153
USENSYS,BASN,BASN_hydrogen_hframe_cc_moderate_0,BASN_hydrogen_hframe_cc_moderate_0,2050,full-base-1000,MWh,5754100
