region,marginal_price,total_demand
BASN,51.28845671552801,223174656.0
CASO,54.34090029664319,199559149.0
CANO,55.78987711239842,309235468.0
FRCC,54.850069150386005,398150391.0
ISNE,77.47395409063164,233966756.0
MISC,46.17574759861753,302266317.0
MISE,50.40535551149107,154617099.0
MISS,47.52696544967186,285422687.0
MISW,46.075316100966845,372086880.0
NWPP,52.8585665976854,372645986.0
NYCW,76.27166706804515,120232798.0
NYUP,61.83450843328451,103480882.0
PJMC,49.39070630250271,168907776.0
PJMD,58.55960261837296,168177932.0
PJME,64.28433232237157,442681870.0
PJMW,49.53174093933282,466199508.0
RMRG,42.940191500396196,188991709.0
SPPC,43.66927536237063,124929928.0
SPPN,42.06632549825848,88318595.0
SPPS,41.625946621855384,210273247.0
SRCA,54.66496343701858,340830683.0
SRCE,48.55764727485535,332833523.0
SRSE,52.84220700916964,398994725.0
SRSG,48.7246808333318,258600147.0
TRE,43.11905281415068,648762932.0
TREW,39.252783301893125,31419683.0
