model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2027,Results_p1,MW,0.00412108
GenX,2,BASN_to_CASO,2027,Results_p1,MW,0.113927
GenX,3,BASN_to_NWPP,2027,Results_p1,MW,0.0737955
GenX,4,BASN_to_RMRG,2027,Results_p1,MW,0.00996269
GenX,5,BASN_to_SRSG,2027,Results_p1,MW,1.15946
GenX,6,CANO_to_CASO,2027,Results_p1,MW,0.0266546
GenX,7,CANO_to_NWPP,2027,Results_p1,MW,0.008223
GenX,8,CASO_to_NWPP,2027,Results_p1,MW,0.0146221
GenX,9,CASO_to_SRSG,2027,Results_p1,MW,0.0336638
GenX,10,FRCC_to_SRSE,2027,Results_p1,MW,0.331981
GenX,11,ISNE_to_NYCW,2027,Results_p1,MW,0.00980592
GenX,12,ISNE_to_NYUP,2027,Results_p1,MW,0.0386718
GenX,13,MISC_to_MISE,2027,Results_p1,MW,1.47192
GenX,14,MISC_to_MISS,2027,Results_p1,MW,0.0283612
GenX,15,MISC_to_MISW,2027,Results_p1,MW,0.0177059
GenX,16,MISC_to_PJMC,2027,Results_p1,MW,0.044976
GenX,17,MISC_to_PJMW,2027,Results_p1,MW,0.05506
GenX,18,MISC_to_SPPC,2027,Results_p1,MW,0.11961
GenX,19,MISC_to_SPPN,2027,Results_p1,MW,4.12798
GenX,20,MISC_to_SPPS,2027,Results_p1,MW,0.0623317
GenX,21,MISC_to_SRCE,2027,Results_p1,MW,0.0961294
GenX,22,MISE_to_MISW,2027,Results_p1,MW,1.46606
GenX,23,MISE_to_PJMW,2027,Results_p1,MW,0.0118588
GenX,24,MISS_to_SPPC,2027,Results_p1,MW,5.53613
GenX,25,MISS_to_SPPS,2027,Results_p1,MW,1654.49
GenX,26,MISS_to_SRCE,2027,Results_p1,MW,0.035688
GenX,27,MISS_to_SRSE,2027,Results_p1,MW,0.0180332
GenX,28,MISW_to_NWPP,2027,Results_p1,MW,0.0142152
GenX,29,MISW_to_PJMC,2027,Results_p1,MW,0.0162996
GenX,30,MISW_to_SPPC,2027,Results_p1,MW,1.10502
GenX,31,MISW_to_SPPN,2027,Results_p1,MW,0.642358
GenX,32,NWPP_to_RMRG,2027,Results_p1,MW,0.0167957
GenX,33,NYCW_to_NYUP,2027,Results_p1,MW,0.0128492
GenX,34,NYCW_to_PJME,2027,Results_p1,MW,4034.6
GenX,35,NYUP_to_PJME,2027,Results_p1,MW,0.0147943
GenX,36,PJMC_to_PJMW,2027,Results_p1,MW,0.14087
GenX,37,PJMD_to_PJME,2027,Results_p1,MW,0.00822975
GenX,38,PJMD_to_PJMW,2027,Results_p1,MW,0.0449381
