Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,1.027012400076732e6,934.8,0.0
BASN_biomass_2,1,144668.1600000026,16.56,1.000000000000018
BASN_conventional_hydroelectric_1,1,7.635047929507029e6,2480.0,0.3524093817161389
BASN_conventional_steam_coal_1,1,10708.575733727039,1178.2,0.0010403993416385768
BASN_conventional_steam_coal_2,1,10639.186631576174,1822.0,0.0006684169114099055
BASN_geothermal_1,1,3.29643056945193e6,413.6,0.9123275243849484
BASN_natural_gas_fired_combined_cycle_1,1,319171.7553027186,735.2,0.04969427149080042
BASN_natural_gas_fired_combined_cycle_2,1,7.71091381142475e6,7294.0,0.12101172854552714
BASN_natural_gas_fired_combustion_turbine_1,1,17599.957979723156,1824.7,0.0011040977720384937
BASN_natural_gas_fired_combustion_turbine_2,1,15575.096077186237,236.2,0.007548109915109967
BASN_natural_gas_internal_combustion_engine_1,1,61871.77024956135,221.4,0.03198912052008021
BASN_onshore_wind_turbine_1,1,3.1632033186553875e6,2019.6000000000001,0.17928713209082284
BASN_petroleum_liquids_1,1,2513.5593363400644,25.8,0.011152103992479059
BASN_small_hydroelectric_1,1,1.51071647999995e6,172.93,0.9999999999999669
BASN_solar_photovoltaic_1,1,1.880755615854423e7,8006.2,0.26890155091091367
CANO_batteries_1,2,3.6876562456552624e6,2645.7,0.0
CANO_biomass_1,2,1.279474560000014e6,146.46,1.0000000000000109
CANO_biomass_2,2,551678.3999999776,63.15,0.9999999999999594
CANO_conventional_hydroelectric_1,2,1.797272730745225e7,6903.7,0.29800218524741967
CANO_hydroelectric_pumped_storage_1,2,5.660831702807347e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,46602.58489515185,3112.8,0.0017137448516647029
CANO_natural_gas_fired_combined_cycle_2,2,5.191672493173249e6,8296.9,0.07162733731728481
CANO_natural_gas_fired_combustion_turbine_1,2,13300.399096334311,2248.7,0.0006770496649353404
CANO_natural_gas_fired_combustion_turbine_2,2,13904.467076821225,2337.5,0.0006809106127608286
CANO_natural_gas_internal_combustion_engine_1,2,67127.51189175248,444.4,0.017290751712126694
CANO_onshore_wind_turbine_1,2,2.022333243006366e6,1262.0,0.18343438185782476
CANO_petroleum_liquids_1,2,3370.8163306989063,176.6,0.002184901006275244
CANO_small_hydroelectric_1,2,1.8843552000000684e6,215.7,1.0000000000000364
CANO_solar_photovoltaic_1,2,1.5202962153670631e7,6328.3,0.27499736331934316
CASO_batteries_1,3,1.1695301003688717e7,8439.5,0.0
CASO_biomass_1,3,957640.3199999732,109.62,0.9999999999999719
CASO_conventional_hydroelectric_1,3,2.259365778134599e6,955.0,0.27081364925956014
CASO_geothermal_1,3,180949.35851675257,23.67,0.8750767890064265
CASO_hydroelectric_pumped_storage_1,3,4.345355392855637e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,68373.17094948336,2104.9,0.0037182760410104576
CASO_natural_gas_fired_combined_cycle_2,3,1.0864116082514957e7,7481.6,0.1662215343540707
CASO_natural_gas_fired_combustion_turbine_1,3,16254.202812081638,1729.3,0.0010759267557656905
CASO_natural_gas_fired_combustion_turbine_2,3,71036.28820691956,4265.4,0.0019063729655200148
