region,marginal_price,total_demand
BASN,52.215137290018994,223174656.0
CASO,54.777015052574775,199559149.0
CANO,56.60454720510255,309235468.0
FRCC,54.94428416268577,398150391.0
ISNE,72.56212320295346,233966756.0
MISC,46.767806258758405,302266317.0
MISE,51.88610297938454,154617099.0
MISS,47.70246900531286,285422687.0
MISW,46.14679400934249,372086880.0
NWPP,57.37667031868066,372645986.0
NYCW,70.23782951666782,120232798.0
NYUP,59.02052245847658,103480882.0
PJMC,50.10048110803933,168907776.0
PJMD,58.08906504668097,168177932.0
PJME,60.4665705864288,442681870.0
PJMW,50.54564440186302,466199508.0
RMRG,44.764888620847415,188991709.0
SPPC,44.57734145500841,124929928.0
SPPN,43.38087879920425,88318595.0
SPPS,43.00171916721201,210273247.0
SRCA,54.63975787042182,340830683.0
SRCE,48.736039767156676,332833523.0
SRSE,53.19372515242524,398994725.0
SRSG,49.91750737130351,258600147.0
TRE,43.70945417332604,648762932.0
TREW,40.8422468851314,31419683.0
