region,marginal_price,total_demand
BASN,60.894313304945186,177158138.0
CASO,70.46402300697892,158791938.0
CANO,70.16615872634229,245898072.0
FRCC,72.32115993973768,334048179.0
ISNE,95.62409137476605,210413923.0
MISC,61.097494574272545,264171318.0
MISE,68.83903449246033,137137308.0
MISS,59.6656535015282,242486982.0
MISW,59.13141579953047,324181570.0
NWPP,62.095041980905485,300529644.0
NYCW,94.10816837224148,106442119.0
NYUP,70.15360769008393,92400602.0
PJMC,64.04507600718851,152682741.0
PJMD,74.78944900571514,145712440.0
PJME,77.10275858637188,389826566.0
PJMW,68.45034186756178,412215498.0
RMRG,49.38833376448281,150676430.0
SPPC,53.95035645684764,108907378.0
SPPN,52.56680047384984,74985567.0
SPPS,51.84579558217212,177543457.0
SRCA,74.26857373234205,287884867.0
SRCE,63.94639180731559,285639456.0
SRSE,67.38323539255916,333542368.0
SRSG,59.21411721345205,204888767.0
TRE,53.28504128440576,555402906.0
TREW,48.15930565321699,26667903.0
