Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,145017.59999999404,16.6,0.9999999999999588
BASN_conventional_hydroelectric_1,1,4.586624626754533e6,1697.6,0.3092752784928845
BASN_conventional_steam_coal_1,1,28839.10686599778,728.2,0.004533342234615488
BASN_conventional_steam_coal_2,1,53345.81683374996,1363.0,0.00448014312334805
BASN_geothermal_1,1,2.088549503489258e6,287.4,0.8318506960731596
BASN_natural_gas_fired_combined_cycle_1,1,536461.5212239054,735.2,0.08352576328310675
BASN_natural_gas_fired_combined_cycle_2,1,9.075544584363976e6,6794.0,0.15290952060769752
BASN_natural_gas_fired_combustion_turbine_1,1,206152.5345208415,1824.7,0.012932562357636382
BASN_natural_gas_fired_combustion_turbine_2,1,35382.628442807196,236.2,0.017147372141286563
BASN_natural_gas_internal_combustion_engine_1,1,105075.3812039172,221.4,0.05432637565512857
BASN_onshore_wind_turbine_1,1,1.8776074364784672e6,1454.0,0.14781815073726665
BASN_petroleum_liquids_1,1,358.87737709539704,13.6,0.0030206092529172475
BASN_small_hydroelectric_1,1,1.4161055999999738e6,162.1,0.9999999999999815
BASN_solar_photovoltaic_1,1,1.623737413881716e7,7934.0,0.23426692458110743
CANO_biomass_1,2,268195.1999999892,30.7,0.9999999999999596
CANO_biomass_2,2,324105.6000000025,37.1,1.0000000000000078
CANO_conventional_hydroelectric_1,2,1.6624517136780318e7,6903.7,0.27564778292660763
CANO_hydroelectric_pumped_storage_1,2,5.856541964292777e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.6922886436668362e6,3112.8,0.06223154696546439
CANO_natural_gas_fired_combined_cycle_2,2,1.9464876217862956e7,8296.9,0.26854876853834303
CANO_natural_gas_fired_combustion_turbine_1,2,291009.85106461175,1999.7,0.01665828234266114
CANO_natural_gas_fired_combustion_turbine_2,2,282896.2389137421,1502.8,0.02154831729502838
CANO_natural_gas_internal_combustion_engine_1,2,309648.9567591317,444.4,0.07975959600401962
CANO_onshore_wind_turbine_1,2,991905.6545779827,698.0,0.16266807154697335
CANO_petroleum_liquids_1,2,1494.6574984186186,169.6,0.001008795675789227
CANO_small_hydroelectric_1,2,1.862515200000068e6,213.2,1.0000000000000364
CANO_solar_photovoltaic_1,2,1.24688217329608e7,6287.4,0.22700828085324962
CASO_batteries_1,3,136998.7451338491,84.0,0.0
CASO_biomass_1,3,665683.2000000074,76.2,1.000000000000011
CASO_conventional_hydroelectric_1,3,2.047660583861316e6,955.0,0.24543809618037368
CASO_geothermal_1,3,162268.95467365364,23.6,0.7870653805102868
CASO_hydroelectric_pumped_storage_1,3,4.557466267269373e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,779654.7176569465,1986.9,0.04491730344153395
CASO_natural_gas_fired_combined_cycle_2,3,1.6337242329637822e7,7481.6,0.24996064719128358
CASO_natural_gas_fired_combustion_turbine_1,3,213710.38121412118,1461.5,0.016738408937932672
CASO_natural_gas_fired_combustion_turbine_2,3,874212.5338110102,3953.4,0.02531241869018949
CASO_natural_gas_internal_combustion_engine_1,3,58023.9069294655,50.2,0.1323093772562349
CASO_onshore_wind_turbine_1,3,9.56464374897202e6,3464.4,0.3160298778992177
CASO_small_hydroelectric_1,3,588806.3999999758,67.4,0.9999999999999588
CASO_solar_photovoltaic_1,3,3.1080380030276783e7,13757.0,0.2586127650887951
FRCC_biomass_1,4,283046.40000000456,32.4,1.0000000000000162
FRCC_biomass_2,4,802838.3999999687,91.9,0.999999999999961
FRCC_conventional_hydroelectric_1,4,101071.568954232,43.5,0.26596661444316033
FRCC_conventional_steam_coal_1,4,75206.19296580482,2549.0,0.0033773116947124282
FRCC_conventional_steam_coal_2,4,425.4419243526923,442.0,0.00011018066510882631
FRCC_natural_gas_fired_combined_cycle_1,4,6.529668686738292e7,28738.2,0.2600871870641981
FRCC_natural_gas_fired_combined_cycle_2,4,1.667977094079713e6,2335.7,0.08174484904712981
FRCC_natural_gas_fired_combustion_turbine_1,4,698229.2924531827,7768.4,0.01028854258869452
FRCC_natural_gas_fired_combustion_turbine_2,4,16847.050304566234,887.7,0.0021724261777780036
FRCC_natural_gas_internal_combustion_engine_1,4,218378.9375089631,250.9,0.09963168194726234
FRCC_nuclear_1,4,2.7457184263837535e7,3737.0,0.8410470174455064
FRCC_petroleum_liquids_1,4,1360.7130430626178,149.7,0.0010404761316456308
FRCC_solar_photovoltaic_1,4,1.796133541289725e7,9409.8,0.21849706359951873
ISNE_biomass_2,5,471744.0,54.0,1.0
ISNE_conventional_hydroelectric_1,5,1.7675208630414477e6,516.7,0.3915736522496261
ISNE_hydroelectric_pumped_storage_1,5,4.093385269846683e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,960364.5340577175,3166.3,0.03471933729897895
ISNE_natural_gas_fired_combined_cycle_2,5,7.919258619715026e6,10513.3,0.08622492857942284
ISNE_natural_gas_fired_combustion_turbine_1,5,201679.77688545658,1338.4,0.017248995103416133
ISNE_natural_gas_fired_combustion_turbine_2,5,30514.785193030424,389.8,0.008960987199993617
ISNE_natural_gas_internal_combustion_engine_1,5,25703.448149733653,54.9,0.05359279640499721
ISNE_natural_gas_steam_turbine_1,5,5824.752897736906,17.2,0.03876470058230648
ISNE_nuclear_1,5,2.379838486904526e7,3355.5,0.8118534025190335
ISNE_offshore_wind_turbine_1,5,87434.55126079985,29.3,0.3415881842378321
ISNE_onshore_wind_turbine_1,5,2.122481852921494e6,1240.7,0.19582339611485033
ISNE_petroleum_liquids_1,5,28024.442516340197,822.1,0.0039021118017497007
ISNE_small_hydroelectric_1,5,1.98132479999993e6,226.8,0.9999999999999646
ISNE_solar_photovoltaic_1,5,4.3024701880609e6,2679.1,0.18382997157197306
MISC_biomass_1,6,311001.60000000044,35.6,1.0000000000000016
MISC_biomass_2,6,362544.0,41.5,1.0
MISC_conventional_hydroelectric_1,6,714969.2903266102,279.5,0.2928147506039247
MISC_conventional_steam_coal_1,6,63722.50099241021,1067.0,0.006836215866651628
MISC_conventional_steam_coal_2,6,509994.8254874057,6872.7,0.008494264053216353
MISC_hydroelectric_pumped_storage_1,6,1.2866500846806166e6,471.0,0.0
