region,marginal_price,total_demand
BASN,60.26466579059421,205854891.0
CASO,69.30146114389018,185445572.0
CANO,66.99422292079508,287331528.0
FRCC,67.90308055054513,373487472.0
ISNE,84.65225477894607,228967778.0
MISC,60.95225044874614,296003389.0
MISE,67.09893551146331,149857318.0
MISS,57.905297984436686,273572998.0
MISW,59.27568697165424,360803886.0
NWPP,65.31026723663115,342473432.0
NYCW,85.64925349419751,116580170.0
NYUP,69.1040336745794,100244191.0
PJMC,63.294404704857,165669492.0
PJMD,72.15573763289672,160553816.0
PJME,75.4284333130625,428793884.0
PJMW,66.26122174051713,452703049.0
RMRG,51.18794460691822,173002995.0
SPPC,54.52263072011417,122568997.0
SPPN,53.70100975142794,85125345.0
SPPS,52.20091532769214,202777705.0
SRCA,71.51648311790518,320053848.0
SRCE,63.049551908284386,318246408.0
SRSE,65.01097724317812,375702387.0
SRSG,58.23237265345679,237915030.0
TRE,52.866066755660334,617229009.0
TREW,48.50843034991646,29860335.0
