model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
SWITCH,BASN,Battery,2027,False,MW,0.0,0.6,0.0,0.6
SWITCH,BASN,Battery,2027,False,MWh,0.0,0.3,0.0,0.3
SWITCH,BASN,Battery,2027,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2027,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2030,False,MW,0.6,9.1,0.0,8.5
SWITCH,BASN,Battery,2030,False,MWh,0.3,14.9,0.0,14.6
SWITCH,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2035,False,MW,9.1,12.5,0.0,3.4
SWITCH,BASN,Battery,2035,False,MWh,14.9,39.4,0.0,24.4
SWITCH,BASN,Battery,2035,True,MW,935.8,934.8,1.0,0.0
SWITCH,BASN,Battery,2035,True,MWh,2195.6,2194.6,1.0,0.0
SWITCH,BASN,Battery,2040,False,MW,12.5,956.1,0.0,943.7
SWITCH,BASN,Battery,2040,False,MWh,39.4,3822.7,0.0,3783.4
SWITCH,BASN,Battery,2045,False,MW,956.1,5830.6,0.0,4874.4
SWITCH,BASN,Battery,2045,False,MWh,3822.7,22716.2,0.0,18893.5
SWITCH,BASN,Battery,2050,False,MW,5830.6,10778.2,0.0,4947.6
SWITCH,BASN,Battery,2050,False,MWh,22716.2,44091.6,0.0,21375.4
SWITCH,BASN,Coal,2027,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2030,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2035,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2040,True,MW,3000.2,2091.2,909.0,0.0
SWITCH,BASN,Coal,2045,True,MW,2091.2,1199.2,892.0,0.0
SWITCH,BASN,Coal,2050,True,MW,728.2,728.2,0.0,0.0
SWITCH,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
SWITCH,BASN,Distributed Solar,2030,True,MW,1193.0,1642.0,0.0,449.0
SWITCH,BASN,Distributed Solar,2035,True,MW,1642.0,2008.0,0.0,366.0
SWITCH,BASN,Distributed Solar,2040,True,MW,2008.0,2011.0,0.0,3.0
SWITCH,BASN,Distributed Solar,2045,True,MW,2011.0,2029.0,0.0,18.0
SWITCH,BASN,Distributed Solar,2050,True,MW,2029.0,2057.0,0.0,28.0
SWITCH,BASN,Geothermal,2027,True,MW,462.4,461.9,0.5,0.0
